case,dx,k,pmfu,pmfd,puen,pven,puu,pvu,pud,pvd,pmfude_rate
3,1500.0,19,3D283E38,00000000,41825636,00000000,4187E1A5,00000000,4187E1A5,00000000,3A766806
3,1500.0,20,3D2BA386,00000000,417A16B0,00000000,41825636,00000000,41825636,00000000,3A6A4FAC
3,1500.0,21,3D2EACEB,00000000,416FF85D,00000000,417A16B0,00000000,417A16B0,00000000,3A5DF013
3,1500.0,22,3D31527F,00000000,416648F3,00000000,416FF85D,00000000,416FF85D,00000000,3A51235A
3,1500.0,23,3D338E76,00000000,415D0101,00000000,416648F3,00000000,416648F3,00000000,3A43E436
3,1500.0,24,3D355AFF,00000000,415419F5,00000000,415D0101,00000000,415D0101,00000000,3A370923
3,1500.0,25,3D36B4A5,00000000,414B8E1E,00000000,415419F5,00000000,415419F5,00000000,3A2CD28C
3,1500.0,26,3D379824,00000000,41435873,00000000,414B8E1E,00000000,414B8E1E,00000000,3A24A952
3,1500.0,27,3D37FCB9,00000000,413B746D,00000000,41435873,00000000,41435873,00000000,3A1C8FA9
3,1500.0,28,3D37D945,00000000,4133DE0C,00000000,413B746D,00000000,413B746D,00000000,3A148139
3,1500.0,29,3D3725B3,00000000,412C91C0,00000000,4133DE0C,00000000,4133DE0C,00000000,3A0C7C46
3,1500.0,30,3D35DB83,00000000,41258C6F,00000000,412C91C0,00000000,412C91C0,00000000,3A047FE0
3,1500.0,31,3D33F63F,00000000,411ECB54,00000000,41258C6F,00000000,41258C6F,00000000,39F91E56
3,1500.0,32,3D3173F4,00000000,41184C10,00000000,411ECB54,00000000,411ECB54,00000000,39E95ACD
3,1500.0,33,3D2E5592,00000000,41120C90,00000000,41184C10,00000000,41184C10,00000000,39D9C0DD
3,1500.0,34,3D2A9F3B,00000000,410C0B1A,00000000,41120C90,00000000,41120C90,00000000,39CA5E87
3,1500.0,35,3D26586F,00000000,41064642,00000000,410C0B1A,00000000,410C0B1A,00000000,39BB43A8
3,1500.0,36,3D218C0F,00000000,4100BCE4,00000000,41064642,00000000,41064642,00000000,39AC8232
3,1500.0,37,3D1C4847,00000000,40F6DC71,00000000,4100BCE4,00000000,4100BCE4,00000000,399E2B32
3,1500.0,38,3D169E43,00000000,40ECB394,00000000,40F6DC71,00000000,40F6DC71,00000000,3990502E
3,1500.0,39,3D10A1D7,00000000,40E2FF0C,00000000,40ECB394,00000000,40ECB394,00000000,39830056
3,1500.0,40,3D0A68F6,00000000,40D9BF9C,00000000,40E2FF0C,00000000,40E2FF0C,00000000,396D8627
3,1500.0,41,3D03FD6A,00000000,40D0F702,00000000,40D9BF9C,00000000,40D9BF9C,00000000,3956608B
3,1500.0,42,3CFAE538,00000000,40C8A838,00000000,40D0F702,00000000,40D0F702,00000000,39402105
3,1500.0,43,3CEDC877,00000000,40C0D7D2,00000000,40C8A838,00000000,40C8A838,00000000,392ADC74
3,1500.0,44,3CE0DDE7,00000000,40B98CB7,00000000,40C0D7D2,00000000,40C0D7D2,00000000,391696F0
