case,dx,k,t3d,qv3d,qc3d,qi3d,u3d,v3d,pcps,p8w,dz8w,rho3d,pi3d,w,qvften,thften,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
2,1500.0,23,438C563B,3C0AC9E1,00000000,00000000,419ABECA,00000000,4783B0FB,4785A886,437692F0,3F552ED8,3F64BC45,3D168C3F,3287BE59,37848FE3,396BC70A,B4185DDE,324B3994,00000000,36C00001,00000000
2,1500.0,24,438B8914,3BFD9F73,00000000,00000000,419B88C8,00000000,477F7458,4781B970,43804520,3F500B9A,3F62BF27,3D1FC5B8,32851892,3781F9FE,3975AC5D,B40E199A,32639EBA,00000000,36C00001,00000000
2,1500.0,25,438AB3A4,3BE696AB,00000000,00000000,419C5AF1,00000000,47776842,477B75D0,4385876F,3F4AC9FE,3F60AEB7,3D28F8D2,32825766,377E92B2,B97F38F0,B4105112,327E0BD4,00000000,36C00001,00000000
2,1500.0,26,4389D572,3BCEAE56,00000000,00000000,419D35B7,00000000,476F3E84,47735AB4,438B189B,3F456B93,3F5E89FA,3D3217D1,327EF2A2,3778F8F1,B8E08CE3,B40FECCD,328D8C19,00000000,36BEEEF0,00000000
2,1500.0,27,4388EDFE,3BB629BA,00000000,00000000,419E199C,00000000,4766F7E1,476B2254,439102C7,3F3FEFBA,3F5C4FD2,3D3B12CE,3278F940,37732369,3954910F,B3FEEAAC,32954F82,00000000,36BCCCCD,00000000
2,1500.0,28,4387FCB1,3B9F41B2,00000000,00000000,419F0732,00000000,475E9510,4762CD6E,4397539E,3F3A5420,3F59FEFF,3D43D75A,3272BED7,376D0E5D,39A7D9F2,B3DFC889,328D6746,30FCAAD5,36B9999A,00000000
2,1500.0,29,438700E3,3B89FD05,00000000,00000000,419FFF21,00000000,475616BC,475A5CB1,439E18D2,3F349868,3F579615,3D4C503E,326C3EFD,3766B583,39AF1C59,B3C2C889,32751D16,31A82340,36B66667,00000000
2,1500.0,30,4385F9D0,3B6CBF6F,00000000,00000000,41A10228,00000000,474D7D88,4751D0C6,43A562BF,3F2EBC31,3F551379,3D5464D3,326574B1,376013F5,39B69EC8,B3A6F99A,324D4995,3209C8D8,36B22223,00000000
2,1500.0,31,4384E69C,3B48D744,00000000,00000000,41A2111F,00000000,4744CA0D,47492A4A,43AD44B4,3F28BEF7,3F527553,3D5BF86F,325E5A43,37592425,39BD6ED6,B38CE000,3224C9EC,323F8394,36ACCCCD,00000000
2,1500.0,32,4383C64B,3B284012,00000000,00000000,41A32D01,00000000,473BFCDA,474069D0,43B5D5CB,3F22A01D,3F4FB98D,3D62E9A9,3256E928,3751DFB1,39C09541,B3696AAB,31FA3CB0,327416CA,36A77778,00000000
