case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,plude,pdmfup,plglac,pmfude_rate,ptenh_out,pqenh_out,klab
3,1500.0,18,43885A5C,3BFFD8CF,3BA3D70A,3F6686CE,4893DD30,3BE66383,3B938979,38E7C28B,3A1F8BB3,397017F3,3CB50FFD,43832BC4,3B1D0381,2
3,1500.0,19,438938DB,3C0B5526,3BA3D70A,3F6BBDC9,489663CC,3C004E75,3B96DFDD,38DCF7F4,3A206945,00000000,3CACA1B7,43844DEC,3B3AEE23,2
3,1500.0,20,438A1431,3C16B318,3BA3D70A,3F707FDA,4898A7C5,3C0D932A,3B99EB6D,38D21F41,3A1EFAD5,00000000,3CA4286B,438563F7,3B5BF518,2
3,1500.0,21,438AE263,3C21EE30,3BA3D70A,3F74C122,489A98C3,3C1AD130,3B9CA490,38C706AA,3A1C3D73,00000000,3C9B7D35,43866EBE,3B801064,2
3,1500.0,22,438BA4A5,3C2CFEBB,3BA3D70A,3F78768E,489C3114,3C27E6E3,3B9F0432,38BB8C37,3A18D79A,00000000,3C92858B,43876F05,3B93B96A,2
3,1500.0,23,438C5C40,3C37E4FA,3BA3D70A,3F7B97FD,489D6D25,3C34BAAF,3BA1051D,38AFAB29,3A14D6FF,00000000,3C893DB8,43886554,3BA8EEB6,2
3,1500.0,24,438D0A48,3C42A12A,3BA3D70A,3F7E1D4A,489E4958,3C41322C,3BA2A21B,38A423D7,3A103FCD,00000000,3C803C00,43895035,3BBFBE8E,2
3,1500.0,25,438DAFA4,3C4D33CA,3BA3D70A,3F8000CE,489EC417,3C4D3514,3BA3D812,3891AB66,397358C8,00000000,3C722873,438A3109,3BD8368C,2
3,1500.0,26,438E4D50,3C57A394,3B99FF03,3F80A030,489EDC1A,3C58B171,3B9ABFBC,3880C169,3933B068,00000000,3C66B908,438B0939,3BEFDD07,2
3,1500.0,27,438EE433,3C61F93D,3B8EDC8D,3F80E6A8,489E8B61,3C639071,3B8FDDFD,3862AA4D,392E1C2E,00000000,3C5B5F6E,438BD937,3C03360E,2
3,1500.0,28,438F74E6,3C6C37DA,3B844149,3F80CDD1,489DCB64,3C6DB3AD,3B8515F2,38469999,39283F38,00000000,3C50158D,438CA163,3C0EE833,2
3,1500.0,29,438FFFE7,3C76619A,3B7454F5,3F805003,489C967F,3C76FB9D,3B74EDB0,382D220C,392217C3,00000000,3C44D8F8,438D621D,3C1AFDF0,2
3,1500.0,30,4390859C,3C803BA7,3B6128C6,3F7ED15D,489AE860,3C7F481E,3B601E99,38161660,391BA545,00000000,3C39A85F,438E1BB1,3C276FA5,2
3,1500.0,31,43910651,3C853C37,3B4EF3E9,3F7C296A,4898BE61,3C833CD4,3B4BD994,38014EC0,3914ECA2,00000000,3C2E8826,438ECE62,3C3434E0,2
3,1500.0,32,4391823F,3C8A3169,3B3DAA7E,3F78A56F,489617EA,3C86392B,3B3837BB,37DD460D,390DF3DD,00000000,3C237CDD,438F7A6F,3C41451B,2
3,1500.0,33,4391F98E,3C8F196C,3B2D3E14,3F7446BE,4892F6BB,3C888BC6,3B254F0B,37BBDD54,3906C4EE,00000000,3C188EB8,4390200F,3C4E96FB,2
3,1500.0,34,43926C53,3C93F172,3B1D9FA5,3F6F1322,488F5F23,3C8A2978,3B1333D3,379E1C77,38FED99B,00000000,3C0DC788,4390BF6D,3C5C209D,2
3,1500.0,35,4392DA95,3C98B5D5,3B0EBE98,3F69151B,488B5821,3C8B0A16,3B01F73D,3783BF97,38EFF50F,00000000,3C033269,439158B2,3C69D751,2
3,1500.0,36,4393444C,3C9D61FF,3B0089BD,3F625BEA,4886EB5E,3C8B2905,3AE34F7F,37590CA9,38E0FE19,00000000,3BF1B7DC,4391EBFA,3C77AFCD,2
3,1500.0,37,4393A963,3CA1F070,3AE5DFAC,3F5AFB69,48822515,3C8A85C9,3AC4A239,37306353,38D213FD,00000000,3BDDA012,4392795F,3C82CF13,2
3,1500.0,38,439409BB,3CA65AD5,3ACBBF0C,3F530BA8,487A27A8,3C892471,3AA7F7BE,370D0A54,38C34BBD,00000000,3BCA3603,439300EC,3C89CA6C,2
3,1500.0,39,43946529,3CAA9A16,3AB28EC5,3F4AA86E,486F9053,3C870DD4,3A8D5A22,36DD1630,38B49718,00000000,3BB78EF5,439382AC,3C90C31D,2
3,1500.0,40,4394BB7C,3CAEA66F,3A9A2B5E,3F41F080,4864A87E,3C844F8D,3A69970F,36A9C603,38A5AE80,00000000,3BA668A6,4393FE98,3C97B11E,2
3,1500.0,41,43950CD0,3CB27EED,3A82968D,3F38F191,4859808C,3C80F3A9,3A3CAEDE,367CC322,38962783,00000000,3B96312E,439474A4,3C9E12A8,2
3,1500.0,42,43955910,3CB61F14,3A576A20,3F2FC6D7,484E384C,3C7A1967,3A13E8DD,36333091,38848648,00000000,3B869AE9,4394E4B2,3CA41B0B,2
3,1500.0,43,43959FFB,3CB97F17,3A2A6596,3F26971B,4842FCA1,3C716BCD,39DDC4E6,35E90DBA,3859B890,00000000,3B6F68EB,43954E96,3CA9F918,2
3,1500.0,44,4395E14D,3CBC974A,39F9340D,3F1D8A89,4837FBC7,3C681DAE,39995BC7,3575F2DE,380EACAF,00000000,3B530164,4395B20D,3CAFA214,2
3,1500.0,45,43961CBA,3CBF6062,39953280,3F14CA7B,482D6510,3C5E762D,392D6E67,33ACBBC8,00000000,00000000,3B43BE73,43960EB6,3CB50949,2
3,1500.0,46,43964E28,3CC17CB2,37E1E800,3F158E39,482DEB1B,3C621224,3783F989,00000000,00000000,00000000,00000000,439663FC,3CBA1E60,2
