case,dx,k,ptenh,pqenh,pgeo,pgeoh,paph,pmfu,ptd,pqd,pmfd,pmfds,pmfdq,pdmfdp
3,1500.0,12,437624B3,3A1B0772,47A7B6EA,47AC9D34,47007974,3F3E97C1,437624B3,3A1B0772,00000000,00000000,00000000,00000000
3,1500.0,13,43793C78,3A4E2B3A,479E390B,47A2D09E,4709E1F6,3F46628E,43793C78,3A4E2B3A,00000000,00000000,00000000,00000000
3,1500.0,14,437C24CF,3A85ED42,47954F79,4799A178,471333CA,3F4DA762,437C24CF,3A85ED42,00000000,00000000,00000000,00000000
3,1500.0,15,437EE2EE,3AAA7524,478CE983,4790FD79,471C6E89,3F547757,437EE2EE,3AAA7524,00000000,00000000,00000000,00000000
3,1500.0,16,4380BEDF,3AD4817A,4784F952,4788D58D,472591C4,3F5ADF88,4380BEDF,3AD4817A,00000000,00000000,00000000,00000000
3,1500.0,17,4381FC7B,3B0225E9,477AE68E,47811D16,472E9D0C,3F60E52C,4381FC7B,3B0225E9,00000000,00000000,00000000,00000000
3,1500.0,18,43832BC4,3B1D0381,476C9B1F,477392F2,47378FE4,3F6686CE,43832BC4,3B1D0381,00000000,00000000,00000000,00000000
3,1500.0,19,43844DEC,3B3AEE23,475EFF83,4765A34D,474069D0,3F6BBDC9,43844DEC,3B3AEE23,00000000,00000000,00000000,00000000
3,1500.0,20,438563F7,3B5BF518,47520542,47585BB9,47492A4A,3F707FDA,438563F7,3B5BF518,00000000,00000000,00000000,00000000
3,1500.0,21,43866EBE,3B801064,47459FD2,474BAECB,4751D0C6,3F74C122,43866EBE,3B801064,00000000,00000000,00000000,00000000
3,1500.0,22,43876F05,3B93B96A,4739C44C,473F90DA,475A5CB1,3F78768E,43876F05,3B93B96A,00000000,00000000,00000000,00000000
3,1500.0,23,43886554,3BA8EEB6,472E6920,4733F7BC,4762CD6E,3F7B97FD,43886554,3BA8EEB6,00000000,00000000,00000000,00000000
3,1500.0,24,43895035,3BBFBE8E,472385ED,4728DA84,476B2254,3F7E1D4A,43895035,3BBFBE8E,00000000,00000000,00000000,00000000
3,1500.0,25,438A3109,3BD8368C,4719135B,471E3156,47735AB4,3F8000CE,438A3109,3BD8368C,00000000,00000000,00000000,00000000
3,1500.0,26,438B0939,3BEFDD07,470F0AFE,4713F560,477B75D0,3F80A030,438B0939,3BEFDD07,00000000,00000000,00000000,00000000
3,1500.0,27,438BD937,3C03360E,4705671B,470A209B,4781B970,3F80E6A8,438BD937,3C03360E,00000000,00000000,00000000,00000000
3,1500.0,28,438CA163,3C0EE833,46F84534,4700AD9C,4785A886,3F80CDD1,438CA163,3C0EE833,00000000,00000000,00000000,00000000
3,1500.0,29,438D621D,3C1AFDF0,46E671E0,46EF2F2F,478987B5,3F805003,438D621D,3C1AFDF0,00000000,00000000,00000000,00000000
