case,dx,k,puen,pven,pten,pqen,pqte,pverv,puu,pvu,pmfus,pmfuq,pmful,plude
2,1500.0,49,41900000,00000000,43974000,3CC7B8C5,32ABCC77,BB41B38B,419024A8,00000000,00000000,00000000,00000000,00000000
3,1500.0,1,42263741,00000000,43468000,36F520CD,00000000,80000000,42263741,00000000,00000000,00000000,00000000,00000000
3,1500.0,2,421886F0,00000000,43468000,36AD2812,00000000,80000000,42263741,00000000,00000000,00000000,00000000,00000000
3,1500.0,3,420DC514,00000000,434B8FE0,370CC08D,3148B017,BC1132B3,421886F0,00000000,00000000,00000000,00000000,00000000
3,1500.0,4,4204BF23,00000000,4352E4B4,379C6B8C,31F5AC39,BD11D8AF,420DC514,00000000,00000000,00000000,00000000,00000000
3,1500.0,5,41F9E55F,00000000,43593AD2,38139A4C,3239A3AD,BD919F9D,4204BF23,00000000,00000000,00000000,00000000,00000000
3,1500.0,6,41EC2179,00000000,435ED267,3878D23C,327110C0,BDDAE4D4,41F9E55F,00000000,00000000,00000000,00000000,00000000
3,1500.0,7,41DFCB2A,00000000,4363D578,38C13206,32915EE6,BE1106BD,41EC2179,00000000,00000000,00000000,00000000,00000000
3,1500.0,8,41D49AD5,00000000,4368611A,390CFA2E,32A7E58F,BE32AED5,41DFCB2A,00000000,00000000,00000000,00000000,00000000
3,1500.0,9,41CA5CB1,00000000,436C8A58,3944079E,32BC84A0,BE51DDF9,41D49AD5,00000000,00000000,00000000,00000000,00000000
3,1500.0,10,41C0E9FA,00000000,437060F2,39953003,32CF8A22,BE6E3DD6,41CA5CB1,00000000,00000000,00000000,00000000,00000000
3,1500.0,11,41B824EA,00000000,4373F101,39DE5F2F,32E1320C,BE83CFE1,41C0E9FA,00000000,00000000,00000000,00000000,00000000
3,1500.0,12,41AFF614,00000000,43774408,3A1D7D6E,32F1AB83,BE8EF843,41B824EA,00000000,00000000,00000000,00000000,00000000
3,1500.0,13,41A84AB7,00000000,437A61A6,3A565814,33008E24,BE9897F6,41AFF614,00000000,00000000,00000000,00000000,00000000
3,1500.0,14,41A1138C,00000000,437D500F,3A8D3BAE,3307D18F,BEA0B5A3,41A84AB7,00000000,00000000,00000000,00000000,00000000
3,1500.0,15,419A43FF,00000000,43800A30,3AB53A40,330EACAD,BEA75CC1,41A1138C,00000000,00000000,00000000,00000000,00000000
3,1500.0,16,4193D184,00000000,43815971,3AE365C8,33152A1A,BEAC9C0F,419A43FF,00000000,00000000,00000000,00000000,00000000
3,1500.0,17,418DB342,00000000,43829797,3B0BF6F2,331B52C0,BEB08487,4193D184,00000000,00000000,00000000,00000000,00000000
3,1500.0,18,4187E1A5,00000000,4383C62A,3B297A4A,33212E3E,BEB32893,418DB342,00000000,00000000,00000000,00000000,00000000
3,1500.0,19,41825636,00000000,4384E67D,3B4A47CE,3326C318,BEB49B79,4187E1A5,00000000,00000000,00000000,00000000,00000000
3,1500.0,20,417A16B0,00000000,4385F9B2,3B6E6405,332C16F2,BEB4F0E6,41825636,00000000,00000000,00000000,00000000,00000000
3,1500.0,21,416FF85D,00000000,438700C7,3B8AE700,33312EB3,BEB43C98,417A16B0,00000000,00000000,00000000,00000000,00000000
3,1500.0,22,416648F3,00000000,4387FC97,3BA03F7A,33360EA0,BEB29233,416FF85D,00000000,00000000,00000000,00000000,00000000
3,1500.0,23,415D0101,00000000,4388EDE6,3BB735D1,333ABA7B,BEB00501,416648F3,00000000,00000000,00000000,00000000,00000000
3,1500.0,24,415419F5,00000000,4389D55D,3BCFC1A4,333F3590,BEACA7E7,415D0101,00000000,00000000,00000000,00000000,00000000
3,1500.0,25,414B8E1E,00000000,438AB391,3BE78111,334382BD,BEA88F2D,415419F5,00000000,00000000,00000000,00000000,00000000
3,1500.0,26,41435873,00000000,438B8904,3BFE2D5E,3347A48B,BEA3CCC1,414B8E1E,00000000,00000000,00000000,00000000,00000000
3,1500.0,27,413B746D,00000000,438C562D,3C0AD963,334B9D41,BE9E7028,41435873,00000000,00000000,00000000,00000000,00000000
3,1500.0,28,4133DE0C,00000000,438D1B73,3C17012F,334F6EE2,BE9889E4,413B746D,00000000,00000000,00000000,00000000,00000000
3,1500.0,29,412C91C0,00000000,438DD933,3C238647,33531B3A,BE9229CE,4133DE0C,00000000,00000000,00000000,00000000,00000000
3,1500.0,30,41258C6F,00000000,438E8FBD,3C306031,3356A3D9,BE8B5F25,412C91C0,00000000,00000000,00000000,00000000,00000000
3,1500.0,31,411ECB54,00000000,438F3F59,3C3D8614,335A0A22,BE843894,41258C6F,00000000,00000000,00000000,00000000,00000000
3,1500.0,32,41184C10,00000000,438FE846,3C4AEE9F,335D4F48,BE798855,411ECB54,00000000,00000000,00000000,00000000,00000000
3,1500.0,33,41120C90,00000000,43908AB9,3C588FC5,33607456,BE6A1EF2,41184C10,00000000,00000000,00000000,00000000,00000000
3,1500.0,34,410C0B1A,00000000,439126DF,3C665EDF,33637A2B,BE5A4F2C,41120C90,00000000,00000000,00000000,00000000,00000000
3,1500.0,35,41064642,00000000,4391BCDD,3C745093,3366617D,BE4A325C,410C0B1A,00000000,00000000,00000000,00000000,00000000
3,1500.0,36,4100BCE4,00000000,43924CD1,3C812C73,33692ADF,BE39E118,41064642,00000000,00000000,00000000,00000000,00000000
3,1500.0,37,40F6DC71,00000000,4392D6CE,3C883547,336BD6B6,BE29737B,4100BCE4,00000000,00000000,00000000,00000000,00000000
3,1500.0,38,40ECB394,00000000,43935AE2,3C8F3BE1,336E653E,BE190142,40F6DC71,00000000,00000000,00000000,00000000,00000000
3,1500.0,39,40E2FF0C,00000000,4393D90C,3C963854,3370D67E,BE08A20F,40ECB394,00000000,00000000,00000000,00000000,00000000
3,1500.0,40,40D9BF9C,00000000,43945145,3C9CA8F0,33732A47,BDF0DDD3,40E2FF0C,00000000,00000000,00000000,00000000,00000000
3,1500.0,41,40D0F702,00000000,4394C375,3CA2C125,33756028,BDD0FEE4,40D9BF9C,00000000,00000000,00000000,00000000,00000000
3,1500.0,42,40C8A838,00000000,43952F75,3CA8AFE1,33777762,BDB1D969,40D0F702,00000000,00000000,00000000,00000000,00000000
3,1500.0,43,40C0D7D2,00000000,4395950A,3CAE6AB5,33796ECD,BD93A473,40C8A838,00000000,00000000,00000000,00000000,00000000
3,1500.0,44,40B98CB7,00000000,4395F3DB,3CB3E52E,337B44AB,BD6D3AE4,40C0D7D2,00000000,00000000,00000000,00000000,00000000
3,1500.0,45,40B2D12F,00000000,43964B61,3CB90F7B,337CF669,BD361893,40B98CB7,00000000,00000000,00000000,00000000,00000000
3,1500.0,46,40ACB51E,00000000,43969ACD,3CBDD48F,337E8006,BD029548,40B2D12F,00000000,00000000,00000000,00000000,00000000
3,1500.0,47,40A752C9,00000000,4396E0CC,3CC215AE,337FDAE4,BCA74D24,40ACB51E,00000000,00000000,00000000,00000000,00000000
3,1500.0,48,40A2DD1E,00000000,43971AC5,3CC59BD5,33807D1A,BC2B5A4F,40A752C9,00000000,00000000,00000000,00000000,00000000
3,1500.0,49,40A00000,00000000,43974000,3CC7B8C5,3380D959,BB41B38B,40A2DD1E,00000000,00000000,00000000,00000000,00000000
4,1500.0,1,42266007,00000000,4346CCCC,37003AF3,80000000,80000000,42266007,00000000,00000000,00000000,00000000,00000000
4,1500.0,2,4218AA6A,00000000,4346CCCC,36B5295E,80000000,80000000,42266007,00000000,00000000,00000000,00000000,00000000
4,1500.0,3,420DE5E8,00000000,434BC200,3710B934,B1448E9F,BC0E1869,4218AA6A,00000000,00000000,00000000,00000000,00000000
4,1500.0,4,4204DDBE,00000000,435318A2,37A0A09B,B1F3BF52,BD100FFE,420DE5E8,00000000,00000000,00000000,00000000,00000000
