case,dx,k,rthcuten,rqvcuten,rqccuten,rqicuten,rucuten,rvcuten
5,1500.0,47,3A69F2FB,AFAB8223,00000000,322023C8,B7144445,00000000
5,1500.0,48,BA527D98,33581E92,00000000,00000000,BA280CCD,00000000
5,1500.0,49,00000000,00000000,00000000,00000000,00000000,00000000
6,1500.0,1,B845FA38,B3C3CCCD,00000000,00000000,37A63334,00000000
6,1500.0,2,B6DDCC1A,B2F48889,00000000,00000000,37A63334,00000000
6,1500.0,3,374D3CF5,B331BBBC,00000000,00000000,37A63334,00000000
6,1500.0,4,369A5ED3,B3240001,00000000,00000000,37A63334,00000000
6,1500.0,5,384A2FE6,B3D98889,2DBE5362,00000000,36BC0001,00000000
6,1500.0,6,388C4D72,B3E81112,2F7C9417,00000000,378A8889,00000000
6,1500.0,7,3889960A,B3EB5556,2FE1B927,00000000,37500001,00000000
6,1500.0,8,3892D934,B3F3AAAB,302510F1,00000000,375B1112,00000000
6,1500.0,9,389D5116,B3FB3334,305ED9CE,00000000,37666667,00000000
6,1500.0,10,38A90350,B4056667,308FF6AF,00000000,3771BBBD,00000000
6,1500.0,11,38B3C175,B411AAAB,30B5051A,00000000,377D1112,00000000
6,1500.0,12,38BFC136,B412E667,30DFB7EF,00000000,37841112,00000000
6,1500.0,13,38CBEC45,B4134445,3107DE60,00000000,37896667,00000000
6,1500.0,14,38D84579,B412DDDE,3122BE98,00000000,378E8889,00000000
6,1500.0,15,38E4CFDE,B4118889,3140B0AD,00000000,37935556,00000000
6,1500.0,16,38F18EBA,B40F5112,3161E8E6,00000000,3797BBBC,00000000
6,1500.0,17,38FE8599,B40C4000,31834E28,00000000,379BBBBC,00000000
6,1500.0,18,39054917,B4085DDE,319780DF,00000000,379F3334,00000000
6,1500.0,19,390C0172,B403C445,31ADA8CC,00000000,37A24445,00000000
6,1500.0,20,3912DC0D,B3FCF778,31C5E2ED,00000000,37A4CCCD,00000000
6,1500.0,21,39194516,B3F13BBD,31E04F10,00000000,37A6CCCD,00000000
6,1500.0,22,391FD33C,B3E47778,31FD0CFA,00000000,37A86667,00000000
6,1500.0,23,39268959,B3D6DDDF,320E2008,00000000,37A95556,00000000
6,1500.0,24,392D6A9B,B3C8B778,321F06FB,00000000,37AA0001,00000000
6,1500.0,25,B8206CEE,B3CDAAAB,32315015,00000000,37AA0001,00000000
6,1500.0,26,B93E3163,B3CEA223,3245045A,00000000,37A93334,00000000
6,1500.0,27,390361DE,B3B7199A,325008F5,00000000,37A71112,00000000
6,1500.0,28,396CBEDD,B3A0CCCD,324533B5,30B05030,37A46667,00000000
6,1500.0,29,3976FDDC,B38C0889,322B1301,316AC758,37A13334,00000000
6,1500.0,30,39811D9F,B3703334,320F65F4,31C08A85,379D7778,00000000
6,1500.0,31,3985A41C,B34AC889,31E66735,3205EA3A,37991112,00000000
6,1500.0,32,39880E94,B328199A,31AF12EC,322ACFBC,37944445,00000000
6,1500.0,33,398B49D2,B3085556,3175FE59,324E2ED3,378EEEEF,00000000
6,1500.0,34,398F6237,B2D70889,31190297,326F49BB,3788CCCD,00000000
6,1500.0,35,39946658,B2A2CCCD,3098E138,3286B0D5,37815556,00000000
6,1500.0,36,399A3ACA,B26A0889,2FB52770,3293D038,37708889,00000000
6,1500.0,37,39A06958,B215EAAB,2BF0A069,329E6EBC,375A2223,00000000
6,1500.0,38,39A7BA08,B1A3A223,00000000,32A7D209,373DDDDF,00000000
6,1500.0,39,39B07A13,B1023334,00000000,32B0BF4D,371B3334,00000000
6,1500.0,40,39BAA1BC,30600001,00000000,32B651F6,36E00001,00000000
6,1500.0,41,39C5053C,314BC445,00000000,32B45598,36855556,00000000
6,1500.0,42,39CCFA9E,30D62AAB,00000000,32A42E94,36311112,00000000
6,1500.0,43,39D55011,2FC5EEF0,00000000,3291F4F6,35A22223,00000000
6,1500.0,44,3A5A6694,31357EF0,00000000,327A1939,B4BBBBBC,00000000
6,1500.0,45,3A072C69,B15AEEF0,00000000,32535B49,B6200001,00000000
6,1500.0,46,3A617C65,30995112,00000000,32CDDC7E,B8AFDDDE,00000000
6,1500.0,47,B98527E6,B0939DDE,00000000,3310E5E3,B988CCCD,00000000
6,1500.0,48,BA60D79D,321B0AAB,00000000,00000000,B9053334,00000000
6,1500.0,49,00000000,AA888889,00000000,00000000,00000000,00000000
7,1500.0,1,B88FB17B,B40EE667,00000000,00000000,37F0BBBD,00000000
7,1500.0,2,B7198D4D,B3322223,00000000,00000000,37F0BBBD,00000000
