case,dx,k,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,plglac,pdmfup,pdmfdp,pdpmel,pmflxr,pmflxs,pqsen,plude,pmfdde_rate,pmfude_rate
2,1500.0,43,3CED22EF,00000000,4193EC00,00000000,386612B0,00000000,379DD74C,00000000,361AF5B3,00000000,00000000,3A26BF2A,00000000,3CB742E8,33A5DF61,00000000,392A6582
2,1500.0,44,3CE0415C,00000000,41226C00,00000000,38359DE0,00000000,375A4D2B,00000000,35CB17D7,00000000,00000000,3A275A20,00000000,3CBCFE27,332F0CEB,00000000,39162E1A
2,1500.0,45,3CD3CCB5,BBFF7736,40360800,4002A800,3808E0E0,B6C640C0,36F6DFDA,00000000,00000000,B605B627,00000000,3A27BFAC,00000000,3CC26502,3175E197,00000000,390B5165
2,1500.0,46,3CD4E357,BBFF7736,C08E7800,40863800,37C414E0,B64D9FC0,353BDCBE,00000000,00000000,B5F42944,00000000,3A2739F6,00000000,3CC76193,00000000,80000000,00000000
2,1500.0,47,3C905F44,BBFF7736,C08695BF,40C4DE00,3788F4B6,B4E8BA00,00000000,00000000,00000000,B5D7799F,00000000,3A26BFE1,00000000,3CCBD3D3,00000000,80000000,00000000
2,1500.0,48,3C270757,BBFF7736,C01BB4A0,411DFC00,371E72D7,3592A380,00000000,00000000,00000000,B5B2B64F,00000000,3A265424,00000000,3CCF8265,00000000,80000000,00000000
2,1500.0,49,3B830C62,BBFF7736,BF74542E,410C5200,3678A214,36ABFDC0,00000000,00000000,00000000,00000000,00000000,3A25FAC9,00000000,3CD1B73F,00000000,80000000,00000000
3,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3741A6B7,00000000,00000000,00000000
3,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3708CB70,00000000,00000000,00000000
3,1500.0,3,3C9036BF,00000000,C2A57400,00000000,B303DA36,00000000,375B2457,00000000,37140D95,00000000,00000000,00000000,00000000,37688C24,36208F22,00000000,3B00A4E5
3,1500.0,4,3CA04B5B,00000000,422C0200,00000000,34A75CA6,00000000,37C80FB6,00000000,37559540,00000000,00000000,00000000,37140D95,380A66C9,3661E5C1,00000000,3AF61200
3,1500.0,5,3CAFAC7B,00000000,42A80040,00000000,35A32ED9,00000000,382145A3,00000000,378DD7CF,00000000,00000000,00000000,37B4D16A,388AF666,36930CFF,00000000,3AEE4954
