case,dx,k,ptent,ptenq,pcte
7,1500.0,2,B9E475A4,335A4C57,00000000
7,1500.0,3,3A00F964,303004C2,32216BC9
7,1500.0,4,393CC14E,2ED69B00,326479F6
7,1500.0,5,39CD9F64,31247965,32958FEB
7,1500.0,6,39CCB430,318D7180,32B75961
7,1500.0,7,39CBBBAB,31DAE943,32D587BA
7,1500.0,8,39CA4E40,321B765E,32EFC9F8
7,1500.0,9,39C85007,324D4658,330382FA
7,1500.0,10,39C306D1,32238178,330494A1
7,1500.0,11,39BD1142,31D25816,330017DD
7,1500.0,12,39B7C9EB,3129FD00,32F26EC0
7,1500.0,13,39B39B1F,B143249C,32E4A3E3
7,1500.0,14,39B03864,B2236A2C,32D92D9D
7,1500.0,15,39ACC081,B290E466,32CFC4CA
7,1500.0,16,39A9CC9D,B2D9B236,32C7B56B
7,1500.0,17,39A7D7E1,B3151EC2,32C072AB
7,1500.0,18,39A6A42A,B341D6F6,32B99379
7,1500.0,19,39A610F8,B372C4AB,32B2C824
7,1500.0,20,39A23073,B393CF3C,32ABD5BF
7,1500.0,21,399DAE8B,B3AFF7C9,32A49032
7,1500.0,22,3999397B,B3CD3B41,329CD6DA
7,1500.0,23,3941A4A6,B3ECE48C,3294A48B
7,1500.0,24,B8BFF4F7,B406F572,328C9F42
7,1500.0,25,B948E7A3,B404C483,327E6C91
7,1500.0,26,396E06B9,B3FE5E29,32646815
7,1500.0,27,39676A13,B4088EA3,324C534F
7,1500.0,28,3960BD1F,B4117C31,32361211
7,1500.0,29,395A0546,B419CF20,32218A67
7,1500.0,30,3953299F,B4216897,320EA477
7,1500.0,31,394C328E,B4282B52,31FA93E4
7,1500.0,32,39451898,B42DF1FB,31DACC10
7,1500.0,33,393DE37E,B432AE73,31BDC8A2
7,1500.0,34,39368DA6,B4364451,31A36396
7,1500.0,35,392F29BE,B438A61F,318B77D7
7,1500.0,36,3927AB62,B439D3F2,316BC16F
7,1500.0,37,392031E2,B439C104,3144F5C5
7,1500.0,38,3918BE92,B43882F5,312243E4
7,1500.0,39,3911640E,B4361E6C,31036285
7,1500.0,40,390A2D5E,B425FE16,30D1034F
7,1500.0,41,390325A5,B41B3A20,30A1C277
7,1500.0,42,38F8AF79,B41592BB,306F978A
7,1500.0,43,38EBB874,B40F52F2,3023C4F3
7,1500.0,44,38F1077C,B40CA484,2FB73167
7,1500.0,45,38BA4787,B4022F7F,2E09F420
7,1500.0,46,37DD059F,B30ECE59,00000000
