case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,plu,pmfu,pmfub_s,pqsen,pap,paph,pgeoh,pgeo,klab
2,1500.0,30,438E1BB9,3C264BA8,3C3AC2C4,438FC18F,3C6832AF,39EB8A88,00000000,3F158E39,3C43C95F,478F3572,478D5682,46DDB3B0,46D54B78,2
2,1500.0,31,438ECE68,3C332097,3C479DFD,43904D15,3C72C30D,39E264F0,00000000,3F158E39,3C50EB16,4792EA95,47911463,46CCE340,46C4CCB7,2
2,1500.0,32,438F7A76,3C4043C4,3C54AA09,4390D460,3C7D6802,39D947A0,00000000,3F158E39,3C5E3522,47968DEA,4794C0C7,46BCB62C,46B4EE75,2
2,1500.0,33,43902013,3C4DAB61,3C61DD71,43915799,3C840FE2,39D0367F,00000000,3F158E39,3C6B9E44,479A1ECA,47985B0D,46AD26BF,46A5AB64,2
2,1500.0,34,4390BF71,3C5B4DA2,3C6F2F05,4391D6D3,3C8972E4,39C7397E,00000000,3F158E39,3C791C74,479D9C7B,479BE286,469E3009,4696FEF6,2
2,1500.0,35,439158B5,3C691FB8,3C7C94D1,43925209,3C8ED97B,39BE4F3D,00000000,3F158E39,3C8352A2,47A10632,479F5670,468FCDE3,4688E562,2
2,1500.0,36,4391EBFC,3C77162E,3C85023D,4392C920,3C943E56,39B5787A,00000000,3F158E39,3C8A16F4,47A45B0A,47A2B5F3,4681FCE2,4676B735,2
2,1500.0,37,43927960,3C829266,3C8BB994,43933BEA,3C999A87,39ACA874,00000000,3F158E39,3C90D553,47A79A06,47A60021,466974A6,465CBEA7,2
2,1500.0,38,439300EC,3C899F06,3C926A77,4393AA20,3C9EE507,39A3C627,00000000,3F158E39,3C978784,47AAC205,47A933EB,465008A8,4643DE1F,2
2,1500.0,39,439382AC,3C90A9DF,3C990EC0,43941365,3CA412A0,399A9C4E,00000000,3F158E39,3C9E26B4,47ADD1BE,47AC501F,4637B395,462C1457,2
2,1500.0,40,4393FE98,3C97AAE8,3C9F9F7E,43947745,3CA915B2,3990BB9B,00000000,3F158E39,3CA4AB94,47B0C7B3,47AF535C,46207519,46156211,2
2,1500.0,41,439474A4,3C9E12A8,3CA6154C,4394D588,3CADE50C,3985D3F6,00000000,3F158E39,3CAB0DBC,47B3A227,47B23C0A,460A4F09,45FF94A2,2
2,1500.0,42,4394E4B2,3CA41B0B,3CAC67A2,43952E23,3CB27B73,39733158,00000000,3F158E39,3CB143C6,47B65F04,47B50844,45EA8B2F,45D6A57A,2
2,1500.0,43,43954E96,3CA9F918,3CB28CFD,439580B9,3CB6CD21,39560EB0,00000000,3F158E39,3CB742E8,47B8FBC1,47B7B5C4,45C2BFC5,45B008C7,2
2,1500.0,44,4395B20D,3CAFA214,3CB87A47,4395CCB4,3CBAC9AE,392FCC60,00000000,3F158E39,3CBCFE27,47BB7530,47BA41BE,459D51CA,458BDA08,2
2,1500.0,45,43960EB6,3CB50949,3CBE2242,4396116A,3CBE5F78,38EF4380,00000000,3F158E39,3CC26502,47BDC730,47BCA8A3,4574C48E,455484C8,2
2,1500.0,46,439663FC,3CBA1E60,3CC373E7,43964E28,3CC17CB2,37E1E800,00000000,3F158E39,3CC76193,47BFEC14,47BEE5BD,45344503,4517010F,2
2,1500.0,47,4396B0FB,3CBECB55,3CC85859,4396B150,3CC2DB43,00000000,00000000,3F158E39,3CCBD3D3,47C1DB71,47C0F26C,44F37A35,44BFE5AF,1
2,1500.0,48,43971561,3CC215AE,3CCBD3D3,43971C61,3CC33D97,00000000,00000000,3F158E39,3CCF8265,47C386CA,47C2C476,448C5129,44432FC8,1
2,1500.0,49,43972408,3CC7B8C5,3CCF8265,43972408,3CC7B8C5,00000000,00000000,3F158E39,3CD1B73F,47C4C68E,47C4491D,43DB7A80,435B7A80,1
3,1500.0,1,43468000,36F520CD,00000000,43468000,36F520CD,00000000,00000000,3F158E39,3741A6B7,45C56DA0,459C4000,4846A5F2,483ADF1E,0
3,1500.0,2,43526077,385C7D10,386E42A4,432C3572,339E8FCF,37E36520,00000000,3F158E39,3708CB70,460BBE28,45EE9B40,482F184B,4826E611,0
3,1500.0,3,434ECE7C,37BB3D0A,37D458BD,433CEA62,35BEFB4B,385DBC8E,00000000,3F158E39,37688C24,46347860,46202EB0,481EB3D7,481842F4,2
3,1500.0,4,43521359,37E174E0,3807AD56,434A060E,372552FE,38CC0E1B,00000000,3F158E39,380A66C9,465CE468,4648C210,4811D211,480C6AFA,2
3,1500.0,5,43585074,384E4FFD,38854080,4354F3D4,3828F14C,392C26F8,00000000,3F158E39,388AF666,46828094,467106C0,480703E4,48025881,2
3,1500.0,6,435DDC27,38A9D359,38EAFC99,435E40BE,38F6F2CD,3983886E,00000000,3F158E39,38F7CAAE,469666B6,468C7DC8,47FB5A3C,47F31C49,2
3,1500.0,7,4362D794,390105A1,393EB669,436637B8,398E883F,39B64550,00000000,3F158E39,394A7A02,46AA2402,46A04FA4,47EADE56,47E37B48,2
3,1500.0,8,43675C9A,39384D61,39911730,436D072A,3A09CA2D,39E77E8C,00000000,3F158E39,399ACEC6,46BDB7DA,46B3F860,47DC183A,47D56531,2
3,1500.0,9,436B7F32,397ACE50,39D1B8D7,4372D583,3A685863,3A08F06E,00000000,3F158E39,39E0AFC1,46D1219A,46C77754,47CEB229,47C89025,2
3,1500.0,10,436F4EEF,39A42D62,3A116CAA,4377C8BE,3AB0426B,3A19B4D2,00000000,3F158E39,3A1C5B3E,46E46098,46DACBE0,47C26E1F,47BCC5E8,2
3,1500.0,11,4372D828,39E262F9,3A42F4B9,437C0391,3AF6CA72,3A265B08,00000000,3F158E39,3A524249,46F7741C,46EDF550,47B71DB1,47B1DD73,2
3,1500.0,12,437624B3,3A1B0772,3A7E1A24,437FA0DF,3B23202C,3A2DCE89,00000000,3F158E39,3A896169,47052DB5,47007974,47AC9D34,47A7B6EA,2
3,1500.0,13,43793C78,3A4E2B3A,3AA1B84F,43816131,3B4DC1CE,3A31218E,00000000,3F158E39,3AAF3D0D,470E8AE0,4709E1F6,47A2D09E,479E390B,2
