case,dx,k,zmfd,zmfds,zmfdq,zdmfdp,ztd,zqd,pmfdde_rate,ztenh,zqenh
4,1500.0,13,00000000,00000000,00000000,00000000,437977AF,3A5308BC,00000000,437977AF,3A5308BC
4,1500.0,14,00000000,00000000,00000000,00000000,437C607A,3A8943E7,00000000,437C607A,3A8943E7
4,1500.0,15,00000000,00000000,00000000,00000000,437F1F5D,3AAED19F,00000000,437F1F5D,3AAED19F
4,1500.0,16,00000000,00000000,00000000,00000000,4380DD7F,3ADA1119,00000000,4380DD7F,3ADA1119
4,1500.0,17,00000000,00000000,00000000,00000000,43821B88,3B059F74,00000000,43821B88,3B059F74
4,1500.0,18,00000000,00000000,00000000,00000000,43834B3E,3B214824,00000000,43834B3E,3B214824
4,1500.0,19,00000000,00000000,00000000,00000000,43846DD3,3B4017F5,00000000,43846DD3,3B4017F5
4,1500.0,20,00000000,00000000,00000000,00000000,43858448,3B621E1B,00000000,43858448,3B621E1B
4,1500.0,21,00000000,00000000,00000000,00000000,43868F78,3B83B1B6,00000000,43868F78,3B83B1B6
4,1500.0,22,00000000,00000000,00000000,00000000,43879027,3B97F4D4,00000000,43879027,3B97F4D4
4,1500.0,23,00000000,00000000,00000000,00000000,438886BE,3BADCD2C,00000000,438886BE,3BADCD2C
4,1500.0,24,00000000,00000000,00000000,00000000,4389719C,3BC55ADA,00000000,4389719C,3BC55ADA
4,1500.0,25,00000000,00000000,00000000,00000000,438A52B7,3BDE95A1,00000000,438A52B7,3BDE95A1
4,1500.0,26,00000000,00000000,00000000,00000000,438B2B2E,3BF705DD,00000000,438B2B2E,3BF705DD
4,1500.0,27,00000000,00000000,00000000,00000000,438BFB6F,3C071BD5,00000000,438BFB6F,3C071BD5
4,1500.0,28,00000000,00000000,00000000,00000000,438CC3DF,3C1321FE,00000000,438CC3DF,3C1321FE
4,1500.0,29,00000000,00000000,00000000,00000000,438D84D8,3C1F8DE1,00000000,438D84D8,3C1F8DE1
4,1500.0,30,00000000,00000000,00000000,00000000,438E3EA9,3C2C57D6,00000000,438E3EA9,3C2C57D6
4,1500.0,31,00000000,00000000,00000000,00000000,438EF197,3C397739,00000000,438EF197,3C397739
4,1500.0,32,00000000,00000000,00000000,00000000,438F9DDF,3C46E33D,00000000,438F9DDF,3C46E33D
4,1500.0,33,00000000,00000000,00000000,00000000,439043B8,3C549241,00000000,439043B8,3C549241
4,1500.0,34,00000000,00000000,00000000,00000000,4390E34E,3C627A00,00000000,4390E34E,3C627A00
4,1500.0,35,00000000,00000000,00000000,00000000,43917CC9,3C708FE2,00000000,43917CC9,3C708FE2
4,1500.0,36,00000000,00000000,00000000,00000000,43921045,3C7EC806,00000000,43921045,3C7EC806
4,1500.0,37,00000000,00000000,00000000,00000000,43929DDA,3C868B09,00000000,43929DDA,3C868B09
4,1500.0,38,00000000,00000000,00000000,00000000,43932599,3C8DB64D,00000000,43932599,3C8DB64D
4,1500.0,39,00000000,00000000,00000000,00000000,4393A787,3C94DE91,00000000,4393A787,3C94DE91
4,1500.0,40,00000000,00000000,00000000,00000000,439423A2,3C9BFBD8,00000000,439423A2,3C9BFBD8
4,1500.0,41,00000000,00000000,00000000,00000000,439499D9,3CA28B75,00000000,439499D9,3CA28B75
4,1500.0,42,00000000,00000000,00000000,00000000,43950A11,3CA8BE47,00000000,43950A11,3CA8BE47
4,1500.0,43,00000000,00000000,00000000,00000000,4395741E,3CAEC59D,00000000,4395741E,3CAEC59D
4,1500.0,44,00000000,00000000,00000000,00000000,4395D7BB,3CB49661,00000000,4395D7BB,3CB49661
4,1500.0,45,00000000,00000000,00000000,B78912E8,43963488,3CBA2398,00000000,43963488,3CBA2398
4,1500.0,46,BE244DFA,C73F36D2,BB7BB966,B81DD618,43966AEE,3CC41A7C,00000000,439689EF,3CBF5C75
4,1500.0,47,BE244DFA,C73ED8BF,BB7E30BE,B80BA329,439697B8,3CC60654,80000000,4396D70F,3CC42A94
4,1500.0,48,BE244DFA,C73E8584,BB802FA5,B7E79849,4396BEEF,3CC7B975,80000000,43973BB7,3CC79134
4,1500.0,49,BE244DFA,C73E407F,BB81173D,00000000,4396DF59,3CC9224D,80000000,43974A64,3CCD5B59
