case,dx,k,prsl,ghtl,omg,tf,qvf,qcf,qif,uf,vf,qvftenz,thftenz,prsi,ghti
2,1500.0,47,47C1DB71,431C7DB8,BCA74D24,4396E0CC,3CC6CB66,00000000,00000000,41905DBD,00000000,32AA91EE,37A69282,47C0F26C,43468DEF
2,1500.0,48,47C386CA,429F2C72,BC2B5A4F,43971AC5,3CCA7E48,00000000,00000000,419024A8,00000000,32AB5178,37A74D8F,47C2C476,42E4DB02
2,1500.0,49,47C4C68E,41B2FBC6,BB41B38B,43974000,3CCCB672,00000000,00000000,41900000,00000000,32ABCC77,37A7C5AC,47C4491D,4232FBC6
3,1500.0,1,45C56DA0,46986488,80000000,43468000,36F52142,00000000,00000000,42263741,00000000,00000000,00000000,459C4000,46A1FF1B
3,1500.0,2,460BBE28,46881ADE,80000000,43468000,36AD284C,00000000,00000000,421886F0,00000000,00000000,00000000,45EE9B40,468EC9F5
3,1500.0,3,46347860,4678563B,BC1132B3,434B8FE0,370CC0DA,00000000,00000000,420DC514,00000000,3148B017,3643FBF7,46202EB0,46816BC6
3,1500.0,4,465CE468,4665051D,BD11D8AF,4352E4B4,379C6C4B,00000000,00000000,4204BF23,00000000,31F5AC39,36EFEA30,4648C210,466DD4EA
3,1500.0,5,46828094,465497A7,BD919F9D,43593AD2,38139BA0,00000000,00000000,41F9E55F,00000000,3239A3AD,373549D7,467106C0,465C3550
3,1500.0,6,469666B6,46464157,BDDAE4D4,435ED267,3878D604,00000000,00000000,41EC2179,00000000,327110C0,376B6A5B,468C7DC8,464CF9FE
3,1500.0,7,46AA2402,4639828B,BE1106BD,4363D578,38C13695,00000000,00000000,41DFCB2A,00000000,32915EE6,378DF6AC,46A04FA4,463F88B0
3,1500.0,8,46BDB7DA,462E05CC,BE32AED5,4368611A,390CFF08,00000000,00000000,41D49AD5,00000000,32A7E58F,37A3F62E,46B3F860,46337C66
3,1500.0,9,46D1219A,46238EDC,BE51DDF9,436C8A58,39441101,00000000,00000000,41CA5CB1,00000000,32BC84A0,37B81984,46C77754,46288F33
3,1500.0,10,46E46098,4619F181,BE6E3DD6,437060F2,39953AE2,00000000,00000000,41C0E9FA,00000000,32CF8A22,37CAACE5,46DACBE0,461E8E84
3,1500.0,11,46F7741C,46110C45,BE83CFE1,4373F101,39DE7756,00000000,00000000,41B824EA,00000000,32E1320C,37DBEAE0,46EDF550,4615547E
3,1500.0,12,47052DB5,4608C52E,BE8EF843,43774408,3A1D95AB,00000000,00000000,41AFF614,00000000,32F1AB83,37EC017E,47007974,460CC40C
3,1500.0,13,470E8AE0,460107A2,BE9897F6,437A61A6,3A5684FC,00000000,00000000,41A84AB7,00000000,33008E24,37FB159F,4709E1F6,4604C64F
3,1500.0,14,4717D12A,45F3860D,BEA0B5A3,437D500F,3A8D62AF,00000000,00000000,41A1138C,00000000,3307D18F,3804A2A5,471333CA,45FA91EC
3,1500.0,15,47210026,45E5D37E,BEA75CC1,43800A30,3AB57A7D,00000000,00000000,419A43FF,00000000,330EACAD,380B54A1,471C6E89,45EC7A2E
3,1500.0,16,472A1768,45D8E102,BEAC9C0F,43815971,3AE3CAF4,00000000,00000000,4193D184,00000000,33152A1A,3811AB1D,472591C4,45DF2CCD
3,1500.0,17,47331678,45CC9BA8,BEB08487,43829797,3B0C43A2,00000000,00000000,418DB342,00000000,331B52C0,3817AED0,472E9D0C,45D29536
3,1500.0,18,473BFCDA,45C0F368,BEB32893,4383C62A,3B29EAC7,00000000,00000000,4187E1A5,00000000,33212E3E,381D6728,47378FE4,45C6A21B
3,1500.0,19,4744CA0D,45B5DA8B,BEB49B79,4384E67D,3B4AE822,00000000,00000000,41825636,00000000,3326C318,3822DA86,474069D0,45BB44B6
3,1500.0,20,474D7D88,45AB4544,BEB4F0E6,4385F9B2,3B6F42D2,00000000,00000000,417A16B0,00000000,332C16F2,38280E68,47492A4A,45B07060
3,1500.0,21,475616BC,45A12958,BEB43C98,438700C7,3B8B7E60,00000000,00000000,416FF85D,00000000,33312EB3,382D079B,4751D0C6,45A61A27
3,1500.0,22,475E9510,45977DE4,BEB29233,4387FC97,3BA10915,00000000,00000000,416648F3,00000000,33360EA0,3831CA48,475A5CB1,459C388A
3,1500.0,23,4766F7E1,458E3B1C,BEB00501,4388EDE6,3BB83D87,00000000,00000000,415D0101,00000000,333ABA7B,38365A1C,4762CD6E,4592C33D
3,1500.0,24,476F3E84,45855A2A,BEACA7E7,4389D55D,3BD11500,00000000,00000000,415419F5,00000000,333F3590,383ABA4F,476B2254,4589B2FB
3,1500.0,25,47776842,4579AA22,BEA88F2D,438AB391,3BE926C0,00000000,00000000,414B8E1E,00000000,334382BD,383EEDAC,47735AB4,45810159
3,1500.0,26,477F7458,45694D2A,BEA3CCC1,438B8904,3C001506,00000000,00000000,41435873,00000000,3347A48B,3842F6B0,477B75D0,45715193
3,1500.0,27,4783B0FB,45599412,BE9E7028,438C562D,3C0C0932,00000000,00000000,413B746D,00000000,334B9D41,3846D792,4781B970,456148C0
3,1500.0,28,4787981E,454A768A,BE9889E4,438D1B73,3C1868CA,00000000,00000000,4133DE0C,00000000,334F6EE2,384A9249,4785A886,4551DF64
3,1500.0,29,478B6F1C,453BED2C,BE9229CE,438DD933,3C252C4F,00000000,00000000,412C91C0,00000000,33531B3A,384E2897,478987B5,45430DAF
3,1500.0,30,478F3572,452DF179,BE8B5F25,438E8FBD,3C324B8D,00000000,00000000,41258C6F,00000000,3356A3D9,38519C02,478D5682,4534CCAA
3,1500.0,31,4792EA95,45207DB4,BE843894,438F3F59,3C3FBDE3,00000000,00000000,411ECB54,00000000,335A0A22,3854EDE6,47911463,45271648
3,1500.0,32,47968DEA,45138CD8,BE798855,438FE846,3C4D7A26,00000000,00000000,41184C10,00000000,335D4F48,38581F6D,4794C0C7,4519E521
3,1500.0,33,479A1ECA,45071A8C,BE6A1EF2,43908AB9,3C5B7662,00000000,00000000,41120C90,00000000,33607456,385B319D,47985B0D,450D348E
3,1500.0,34,479D9C7B,44F6463A,BE5A4F2C,439126DF,3C69A7ED,00000000,00000000,410C0B1A,00000000,33637A2B,385E254E,479BE286,4501008A
3,1500.0,35,47A10632,44DF46E7,BE4A325C,4391BCDD,3C780359,00000000,00000000,41064642,00000000,3366617D,3860FB34,479F5670,44EA8B5F
3,1500.0,36,47A45B0A,44C93224,BE39E118,43924CD1,3C833E3C,00000000,00000000,4100BCE4,00000000,33692ADF,3863B3DE,47A2B5F3,44D4026F
