case,dx,k,ptu,pqu,plu,pmfu,pmfus,pmfuq,pmful,pdmfup,plrain,klab
4,1500.0,7,43676DDD,39A42A77,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,8,436E2A51,3A1C21EF,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,9,4373E269,3A81AA1F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,10,4378BEA7,3AC21B51,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,11,437CE244,3B067AE5,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,12,43803554,3B302B33,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,13,4381BDC2,3B5C6E6C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,14,438318B4,3B84FD00,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,15,438450C5,3B9BF540,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,16,43856DD8,3BB2D480,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,17,438675EA,3BC96A0C,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,18,43876DA2,3BDF952F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,19,43885A36,3BF57389,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,20,43893C58,3C058105,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,21,438A122D,3C104A95,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,22,438ADBE2,3C1B0011,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,23,438B9AC3,3C25A009,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,24,438C5016,3C302DF7,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,25,438CFCFA,3C3AAEE3,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,26,438DA268,3C4528EA,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,27,438E414A,3C4FA43E,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,28,438EDA64,3C5A28EB,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,29,438F6E4A,3C64BC60,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,30,438FFD73,3C6F62C6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,31,43908837,3C7A1E70,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,32,43910ED6,3C8277E1,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,33,43919178,3C87EA7A,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,34,4392102B,3C8D64C2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,35,43928AED,3C92E317,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,36,439301A0,3C986028,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,37,43937416,3C9DD505,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,38,4393E20B,3CA338A6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,39,43944B22,3CA87FC6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,40,4394AEE9,3CAD9CB9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,41,43950D21,3CB285C6,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,42,439565B3,3CB7349F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,43,4395B83E,3CBB9CC8,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,44,43960426,3CBFAD42,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,45,439648C3,3CC353D9,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,46,4396855D,3CC67E26,00000000,00000000,00000000,00000000,00000000,00000000,00000000,2
4,1500.0,47,4396D76A,3CC854ED,322BCC77,3F08EBA5,481F4CCA,3C564B0A,31B7C585,00000000,00000000,2
