case,dx,k,ptenh,pqenh,pqsenh,ptu,pqu,ptd,pqd,puu,pvu,pud,pvd,plu,klab
2,1500.0,41,439474A4,3C9E12A8,3CA6154C,439474A4,3C9E12A8,439474A4,3C9E12A8,4192E32E,00000000,4192E32E,00000000,00000000,0
2,1500.0,42,4394E4B2,3CA41B0B,3CAC67A2,4394E4B2,3CA41B0B,4394E4B2,3CA41B0B,419272C0,00000000,419272C0,00000000,00000000,0
2,1500.0,43,43954E96,3CA9F918,3CB28CFD,43954E96,3CA9F918,43954E96,3CA9F918,41920869,00000000,41920869,00000000,00000000,0
2,1500.0,44,4395B20D,3CAFA214,3CB87A47,4395B20D,3CAFA214,4395B20D,3CAFA214,4191A464,00000000,4191A464,00000000,00000000,0
2,1500.0,45,43960EB6,3CB50949,3CBE2242,43960EB6,3CB50949,43960EB6,3CB50949,41914709,00000000,41914709,00000000,00000000,0
2,1500.0,46,439663FC,3CBA1E60,3CC373E7,439663FC,3CBA1E60,439663FC,3CBA1E60,4190F0DC,00000000,4190F0DC,00000000,00000000,0
2,1500.0,47,4396B0FB,3CBECB55,3CC85859,4396B0FB,3CBECB55,4396B0FB,3CBECB55,4190A2A8,00000000,4190A2A8,00000000,00000000,0
2,1500.0,48,43971561,3CC215AE,3CCBD3D3,43971561,3CC215AE,43971561,3CC215AE,41905DBD,00000000,41905DBD,00000000,00000000,0
2,1500.0,49,43972408,3CC7B8C5,3CCF8265,43972408,3CC7B8C5,43972408,3CC7B8C5,419024A8,00000000,419024A8,00000000,00000000,0
3,1500.0,1,43468000,36F520CD,00000000,43468000,36F520CD,43468000,36F520CD,42263741,00000000,42263741,00000000,00000000,0
3,1500.0,2,43526077,385C7D10,386E42A4,43526077,385C7D10,43526077,385C7D10,42263741,00000000,42263741,00000000,00000000,0
3,1500.0,3,434ECE7C,37BB3D0A,37D458BD,434ECE7C,37BB3D0A,434ECE7C,37BB3D0A,421886F0,00000000,421886F0,00000000,00000000,0
3,1500.0,4,43521359,37E174E0,3807AD56,43521359,37E174E0,43521359,37E174E0,420DC514,00000000,420DC514,00000000,00000000,0
3,1500.0,5,43585074,384E4FFD,38854080,43585074,384E4FFD,43585074,384E4FFD,4204BF23,00000000,4204BF23,00000000,00000000,0
3,1500.0,6,435DDC27,38A9D359,38EAFC99,435DDC27,38A9D359,435DDC27,38A9D359,41F9E55F,00000000,41F9E55F,00000000,00000000,0
3,1500.0,7,4362D794,390105A1,393EB669,4362D794,390105A1,4362D794,390105A1,41EC2179,00000000,41EC2179,00000000,00000000,0
3,1500.0,8,43675C9A,39384D61,39911730,43675C9A,39384D61,43675C9A,39384D61,41DFCB2A,00000000,41DFCB2A,00000000,00000000,0
3,1500.0,9,436B7F32,397ACE50,39D1B8D7,436B7F32,397ACE50,436B7F32,397ACE50,41D49AD5,00000000,41D49AD5,00000000,00000000,0
3,1500.0,10,436F4EEF,39A42D62,3A116CAA,436F4EEF,39A42D62,436F4EEF,39A42D62,41CA5CB1,00000000,41CA5CB1,00000000,00000000,0
3,1500.0,11,4372D828,39E262F9,3A42F4B9,4372D828,39E262F9,4372D828,39E262F9,41C0E9FA,00000000,41C0E9FA,00000000,00000000,0
3,1500.0,12,437624B3,3A1B0772,3A7E1A24,437624B3,3A1B0772,437624B3,3A1B0772,41B824EA,00000000,41B824EA,00000000,00000000,0
3,1500.0,13,43793C78,3A4E2B3A,3AA1B84F,43793C78,3A4E2B3A,43793C78,3A4E2B3A,41AFF614,00000000,41AFF614,00000000,00000000,0
3,1500.0,14,437C24CF,3A85ED42,3AC9FE45,437C24CF,3A85ED42,437C24CF,3A85ED42,41A84AB7,00000000,41A84AB7,00000000,00000000,0
3,1500.0,15,437EE2EE,3AAA7524,3AF90926,437EE2EE,3AAA7524,437EE2EE,3AAA7524,41A1138C,00000000,41A1138C,00000000,00000000,0
3,1500.0,16,4380BEDF,3AD4817A,3B1796EB,4380BEDF,3AD4817A,4380BEDF,3AD4817A,419A43FF,00000000,419A43FF,00000000,00000000,0
3,1500.0,17,4381FC7B,3B0225E9,3B36267E,4381FC7B,3B0225E9,4381FC7B,3B0225E9,4193D184,00000000,4193D184,00000000,00000000,0
3,1500.0,18,43832BC4,3B1D0381,3B58019B,43832BC4,3B1D0381,43832BC4,3B1D0381,418DB342,00000000,418DB342,00000000,00000000,0
3,1500.0,19,43844DEC,3B3AEE23,3B7CD43B,43844DEC,3B3AEE23,43844DEC,3B3AEE23,4187E1A5,00000000,4187E1A5,00000000,00000000,0
3,1500.0,20,438563F7,3B5BF518,3B9214D2,438563F7,3B5BF518,438563F7,3B5BF518,41825636,00000000,41825636,00000000,00000000,0
3,1500.0,21,43866EBE,3B801064,3BA6B6AF,43866EBE,3B801064,43866EBE,3B801064,417A16B0,00000000,417A16B0,00000000,00000000,0
3,1500.0,22,43876F05,3B93B96A,3BBBF770,43876F05,3B93B96A,43876F05,3B93B96A,416FF85D,00000000,416FF85D,00000000,00000000,0
3,1500.0,23,43886554,3BA8EEB6,3BD16E39,43886554,3BA8EEB6,43886554,3BA8EEB6,416648F3,00000000,416648F3,00000000,00000000,0
3,1500.0,24,43895035,3BBFBE8E,3BE6D86D,43895035,3BBFBE8E,43895035,3BBFBE8E,415D0101,00000000,415D0101,00000000,00000000,0
3,1500.0,25,438A3109,3BD8368C,3BFCEF47,438A3109,3BD8368C,438A3109,3BD8368C,415419F5,00000000,415419F5,00000000,00000000,0
3,1500.0,26,438B0939,3BEFDD07,3C09E392,438B0939,3BEFDD07,438B0939,3BEFDD07,414B8E1E,00000000,414B8E1E,00000000,00000000,0
3,1500.0,27,438BD937,3C03360E,3C15A8A1,438BD937,3C03360E,438BD937,3C03360E,41435873,00000000,41435873,00000000,00000000,0
3,1500.0,28,438CA163,3C0EE833,3C21BF3E,438CA163,3C0EE833,438CA163,3C0EE833,413B746D,00000000,413B746D,00000000,00000000,0
3,1500.0,29,438D621D,3C1AFDF0,3C2E1FB7,438D621D,3C1AFDF0,438D621D,3C1AFDF0,4133DE0C,00000000,4133DE0C,00000000,00000000,0
3,1500.0,30,438E1BB1,3C276FA5,3C3AC1F8,438E1BB1,3C276FA5,438E1BB1,3C276FA5,412C91C0,00000000,412C91C0,00000000,00000000,0
3,1500.0,31,438ECE62,3C3434E0,3C479D59,438ECE62,3C3434E0,438ECE62,3C3434E0,41258C6F,00000000,41258C6F,00000000,00000000,0
3,1500.0,32,438F7A6F,3C41451B,3C54A95C,438F7A6F,3C41451B,438F7A6F,3C41451B,411ECB54,00000000,411ECB54,00000000,00000000,0
3,1500.0,33,4390200F,3C4E96FB,3C61DCEE,4390200F,3C4E96FB,4390200F,3C4E96FB,41184C10,00000000,41184C10,00000000,00000000,0
3,1500.0,34,4390BF6D,3C5C209D,3C6F2EA0,4390BF6D,3C5C209D,4390BF6D,3C5C209D,41120C90,00000000,41120C90,00000000,00000000,0
3,1500.0,35,439158B2,3C69D751,3C7C9487,439158B2,3C69D751,439158B2,3C69D751,410C0B1A,00000000,410C0B1A,00000000,00000000,0
3,1500.0,36,4391EBFA,3C77AFCD,3C850220,4391EBFA,3C77AFCD,4391EBFA,3C77AFCD,41064642,00000000,41064642,00000000,00000000,0
3,1500.0,37,4392795F,3C82CF13,3C8BB985,4392795F,3C82CF13,4392795F,3C82CF13,4100BCE4,00000000,4100BCE4,00000000,00000000,0
3,1500.0,38,439300EC,3C89CA6C,3C926A65,439300EC,3C89CA6C,439300EC,3C89CA6C,40F6DC71,00000000,40F6DC71,00000000,00000000,0
3,1500.0,39,439382AC,3C90C31D,3C990EC0,439382AC,3C90C31D,439382AC,3C90C31D,40ECB394,00000000,40ECB394,00000000,00000000,0
3,1500.0,40,4393FE98,3C97B11E,3C9F9F7E,4393FE98,3C97B11E,4393FE98,3C97B11E,40E2FF0C,00000000,40E2FF0C,00000000,00000000,0
3,1500.0,41,439474A4,3C9E12A8,3CA6154C,439474A4,3C9E12A8,439474A4,3C9E12A8,40D9BF9C,00000000,40D9BF9C,00000000,00000000,0
3,1500.0,42,4394E4B2,3CA41B0B,3CAC67A2,4394E4B2,3CA41B0B,4394E4B2,3CA41B0B,40D0F702,00000000,40D0F702,00000000,00000000,0
3,1500.0,43,43954E96,3CA9F918,3CB28CFD,43954E96,3CA9F918,43954E96,3CA9F918,40C8A838,00000000,40C8A838,00000000,00000000,0
3,1500.0,44,4395B20D,3CAFA214,3CB87A47,4395B20D,3CAFA214,4395B20D,3CAFA214,40C0D7D2,00000000,40C0D7D2,00000000,00000000,0
3,1500.0,45,43960EB6,3CB50949,3CBE2242,43960EB6,3CB50949,43960EB6,3CB50949,40B98CB7,00000000,40B98CB7,00000000,00000000,0
3,1500.0,46,439663FC,3CBA1E60,3CC373E7,439663FC,3CBA1E60,439663FC,3CBA1E60,40B2D12F,00000000,40B2D12F,00000000,00000000,0
3,1500.0,47,4396B0FB,3CBECB55,3CC85859,4396B0FB,3CBECB55,4396B0FB,3CBECB55,40ACB51E,00000000,40ACB51E,00000000,00000000,0
3,1500.0,48,43971561,3CC215AE,3CCBD3D3,43971561,3CC215AE,43971561,3CC215AE,40A752C9,00000000,40A752C9,00000000,00000000,0
3,1500.0,49,43972408,3CC7B8C5,3CCF8265,43972408,3CC7B8C5,43972408,3CC7B8C5,40A2DD1E,00000000,40A2DD1E,00000000,00000000,0
4,1500.0,1,4346CCCC,37003AF3,00000000,4346CCCC,37003AF3,4346CCCC,37003AF3,42266007,00000000,42266007,00000000,00000000,0
4,1500.0,2,4352B078,38664751,38790099,4352B078,38664751,4352B078,38664751,42266007,00000000,42266007,00000000,00000000,0
4,1500.0,3,434F1DF4,37C3C0E0,37DE34E1,434F1DF4,37C3C0E0,434F1DF4,37C3C0E0,4218AA6A,00000000,4218AA6A,00000000,00000000,0
4,1500.0,4,435246B7,37E7C503,380B9662,435246B7,37E7C503,435246B7,37E7C503,420DE5E8,00000000,420DE5E8,00000000,00000000,0
4,1500.0,5,43588527,3853D412,3888F556,43588527,3853D412,43588527,3853D412,4204DDBE,00000000,4204DDBE,00000000,00000000,0
4,1500.0,6,435E11F9,38AE2CEA,38F15162,435E11F9,38AE2CEA,435E11F9,38AE2CEA,41FA1EBC,00000000,41FA1EBC,00000000,00000000,0
4,1500.0,7,43630E5A,3904328F,3943B4D9,43630E5A,3904328F,43630E5A,3904328F,41EC5772,00000000,41EC5772,00000000,00000000,0
4,1500.0,8,4367943C,393CABF5,3994CB1B,4367943C,393CABF5,4367943C,393CABF5,41DFFE17,00000000,41DFFE17,00000000,00000000,0
4,1500.0,9,436BB799,398045E0,39D6F3BC,436BB799,398045E0,436BB799,398045E0,41D4CB00,00000000,41D4CB00,00000000,00000000,0
4,1500.0,10,436F880F,39A7D067,3A14FA3D,436F880F,39A7D067,436F880F,39A7D067,41CA8A54,00000000,41CA8A54,00000000,00000000,0
4,1500.0,11,437311FE,39E727D2,3A47A228,437311FE,39E727D2,437311FE,39E727D2,41C11548,00000000,41C11548,00000000,00000000,0
4,1500.0,12,43765F37,3A1E8228,3A820CF0,43765F37,3A1E8228,43765F37,3A1E8228,41B84E0C,00000000,41B84E0C,00000000,00000000,0
4,1500.0,13,437977AF,3A5308BC,3AA57C21,437977AF,3A5308BC,437977AF,3A5308BC,41B01D2C,00000000,41B01D2C,00000000,00000000,0
4,1500.0,14,437C607A,3A8943E7,3ACEB324,437C607A,3A8943E7,437C607A,3A8943E7,41A86FE6,00000000,41A86FE6,00000000,00000000,0
4,1500.0,15,437F1F5D,3AAED19F,3AFEDD69,437F1F5D,3AAED19F,437F1F5D,3AAED19F,41A136EC,00000000,41A136EC,00000000,00000000,0
4,1500.0,16,4380DD7F,3ADA1119,3B1B2090,4380DD7F,3ADA1119,4380DD7F,3ADA1119,419A65A6,00000000,419A65A6,00000000,00000000,0
4,1500.0,17,43821B88,3B059F74,3B3A5C85,43821B88,3B059F74,43821B88,3B059F74,4193F188,00000000,4193F188,00000000,00000000,0
4,1500.0,18,43834B3E,3B214824,3B5CECEC,43834B3E,3B214824,43834B3E,3B214824,418DD1B4,00000000,418DD1B4,00000000,00000000,0
4,1500.0,19,43846DD3,3B4017F5,3B813C48,43846DD3,3B4017F5,43846DD3,3B4017F5,4187FE96,00000000,4187FE96,00000000,00000000,0
4,1500.0,20,43858448,3B621E1B,3B95420B,43858448,3B621E1B,43858448,3B621E1B,418271B3,00000000,418271B3,00000000,00000000,0
4,1500.0,21,43868F78,3B83B1B6,3BAA3A4F,43868F78,3B83B1B6,43868F78,3B83B1B6,417A4ADF,00000000,417A4ADF,00000000,00000000,0
4,1500.0,22,43879027,3B97F4D4,3BBFC94A,43879027,3B97F4D4,43879027,3B97F4D4,417029D8,00000000,417029D8,00000000,00000000,0
4,1500.0,23,438886BE,3BADCD2C,3BD57E29,438886BE,3BADCD2C,438886BE,3BADCD2C,416677D0,00000000,416677D0,00000000,00000000,0
4,1500.0,24,4389719C,3BC55ADA,3BEB3B05,4389719C,3BC55ADA,4389719C,3BC55ADA,415D2D53,00000000,415D2D53,00000000,00000000,0
4,1500.0,25,438A52B7,3BDE95A1,3C00DB04,438A52B7,3BDE95A1,438A52B7,3BDE95A1,415443CE,00000000,415443CE,00000000,00000000,0
4,1500.0,26,438B2B2E,3BF705DD,3C0C7A8A,438B2B2E,3BF705DD,438B2B2E,3BF705DD,414BB58E,00000000,414BB58E,00000000,00000000,0
