case,dx,k,ptenh,pqenh,puen,pven,pten,pqsen,pgeo,pgeoh,paph,ptu,pqu,plu,puu,pvu,ptd_in,pqd_in,pmfd_in,pmfds_in,pmfdq_in,pdmfdp_in
1,1500.0,47,43963206,3CB031B6,40A74A69,00000000,43966139,3CC02E29,44BF0A94,44F2647A,47C0F26C,43961CDA,3CB6E18D,322BCC77,40ACA69F,00000000,43963206,3CB031B6,00000000,00000000,00000000,00000000
1,1500.0,48,43969592,3CB32FE1,40A2D9D6,00000000,43969AF0,3CC3AA28,44425071,448BB0AF,47C2C476,43967AD7,3CB9DE12,00000000,40A74A69,00000000,43969592,3CB32FE1,00000000,00000000,00000000,00000000
1,1500.0,49,4396A428,3CB8697E,40A00000,00000000,4396C000,3CC5C0E4,435A7F09,43DA7F09,47C4491D,4396DBED,3CBE633B,00000000,40A2D9D6,00000000,4396A428,3CB8697E,00000000,00000000,00000000,00000000
2,1500.0,1,43468000,36F520CD,41CA7C65,00000000,43468000,3741A6B7,483ADECD,4846A5A1,459C4000,43468000,36F520CD,00000000,41CA7C65,00000000,43468000,36F520CD,00000000,00000000,00000000,00000000
2,1500.0,2,43526078,385C7CEA,41C502AB,00000000,43468000,3708CB70,4826E5C0,482F17FA,45EE9B40,432C228A,339C118B,00000000,41CA7C65,00000000,43526078,385C7CEA,00000000,00000000,00000000,00000000
2,1500.0,3,4349080C,36E35909,41C0B51F,00000000,434B9019,376893F8,481842A1,481EB386,46202EB0,43443F56,36A5EFEE,3A419797,41C502AB,00000000,434ECE7D,37BB3D2C,00000000,00000000,00000000,00000000
2,1500.0,4,434F3A84,3762D2AD,41BD1924,00000000,4352E4EE,380A6B32,480C6AA5,4811D1BD,4648C210,43514FAA,37F36366,3A9F0C0A,41C0B51F,00000000,43521392,37E17BA4,00000000,00000000,00000000,00000000
2,1500.0,5,435850B1,384E563A,41B9FA8E,00000000,43593B0F,388AFAC3,48025828,4807038C,467106C0,435C1CB8,38DB2BB9,3AEA121F,41BD1924,00000000,435850B1,384E563A,00000000,00000000,00000000,00000000
2,1500.0,6,435DDC66,38A9D85F,41B739C6,00000000,435ED2A6,38F7D255,47F31B92,47FB5988,468C7DC8,43652714,398F760A,3B1D6F6E,41B9FA8E,00000000,435DDC66,38A9D85F,00000000,00000000,00000000,00000000
2,1500.0,7,4362D7D2,3901093A,41B4C21C,00000000,4363D5B8,394A800F,47E37A8C,47EADD9D,46A04FA4,436CB6C3,3A15699D,3B44D867,41B739C6,00000000,4362D7D2,3901093A,00000000,00000000,00000000,00000000
2,1500.0,8,43675CD9,3938523A,41B2853D,00000000,4368615C,399AD35E,47D56472,47DC177C,46B3F860,437304F5,3A834B80,3B689877,41B4C21C,00000000,43675CD9,3938523A,00000000,00000000,00000000,00000000
2,1500.0,9,436B7F71,397AD47A,41B078CF,00000000,436C8A9C,39E0B65D,47C88F61,47CEB167,46C77754,43784B3E,3ACB216D,3B83F606,41B2853D,00000000,436B7F71,397AD47A,00000000,00000000,00000000,00000000
2,1500.0,10,436F4F31,39A43180,41AE9510,00000000,43706136,3A1C5FB3,47BCC521,47C26D5A,46DACBE0,437CBE37,3B0EC3A5,3B91D4D6,41B078CF,00000000,436F4F31,39A43180,00000000,00000000,00000000,00000000
