case,dx,k,pcte,ztp1,ptte,ztt,pqte,zqq,zqp1,qcf,qif,uf,vf,pvom,pvol
4,1500.0,2,00000000,4346CCCC,B9B993FE,80000000,337B181C,80000000,36B5295E,00000000,00000000,4218AA6A,00000000,BA389611,00000000
4,1500.0,3,3238C296,434BC200,39A0A57F,B63FF348,B191E333,B1448E9F,3710B934,00000000,00000000,420DE5E8,00000000,B71FECAE,00000000
4,1500.0,4,3281D015,435318A2,39DE3094,B6EE08D6,B20DDA97,B1F3BF52,37A0A09B,00000000,00000000,4204DDBE,00000000,B6CBE045,00000000
4,1500.0,5,32A85E3B,43597050,39D8C7E8,B7346847,B247D945,B238BCB3,38176B46,00000000,00000000,41FA1EBC,00000000,B651E32E,00000000
4,1500.0,6,32CC61C3,435F0946,39D4F36C,B76A9621,B26E26C7,B270376D,387F0AC3,00000000,00000000,41EC5772,00000000,B505B778,00000000
4,1500.0,7,32EBEE21,43640D92,39D14A5E,B78D928B,B2813544,B290F85D,38C5E2E2,00000000,00000000,41DFFE17,00000000,35FF998B,00000000
4,1500.0,8,3303A112,43689A54,39CD6B80,B7A3977A,B284AC5A,B2A78495,3910504B,00000000,00000000,41D4CB00,00000000,368A94E1,00000000
4,1500.0,9,330F9EF4,436CC49A,39C91099,B7B7BFC9,B283BCD0,B2BC28BD,3948907E,00000000,00000000,41CA8A54,00000000,36D0803C,00000000
4,1500.0,10,330F9CD5,43709C27,39C164E2,B7CA57C1,B2B27B41,B2CF32F3,3998730A,00000000,00000000,41C11548,00000000,372D5D53,00000000
4,1500.0,11,330999D3,43742D17,39B96254,B7DB9A01,B2EA407D,B2E0DF3D,39E3B8AB,00000000,00000000,41B84E0C,00000000,37708814,00000000
4,1500.0,12,33012AF3,437780F2,39B2496B,B7EBB49F,B3114362,B2F15CCC,3A218462,00000000,00000000,41B01D2C,00000000,3793514B,00000000
4,1500.0,13,32F3B07C,437A9F57,39AC902A,B7FACC84,B334A8E8,B30068B6,3A5C0F26,00000000,00000000,41A86FE6,00000000,37A94C22,00000000
