case,dx,k,ptenu,ptenv
9,1500.0,16,00000000,00000000
9,1500.0,17,00000000,00000000
9,1500.0,18,00000000,00000000
9,1500.0,19,00000000,00000000
9,1500.0,20,00000000,00000000
9,1500.0,21,00000000,00000000
9,1500.0,22,00000000,00000000
9,1500.0,23,00000000,00000000
9,1500.0,24,00000000,00000000
9,1500.0,25,00000000,00000000
9,1500.0,26,00000000,00000000
9,1500.0,27,00000000,00000000
9,1500.0,28,00000000,00000000
9,1500.0,29,00000000,00000000
9,1500.0,30,00000000,00000000
9,1500.0,31,00000000,00000000
9,1500.0,32,00000000,00000000
9,1500.0,33,00000000,00000000
9,1500.0,34,00000000,00000000
9,1500.0,35,00000000,00000000
9,1500.0,36,00000000,00000000
9,1500.0,37,00000000,00000000
9,1500.0,38,00000000,00000000
9,1500.0,39,00000000,00000000
9,1500.0,40,00000000,00000000
9,1500.0,41,00000000,00000000
9,1500.0,42,00000000,00000000
9,1500.0,43,00000000,00000000
9,1500.0,44,00000000,00000000
9,1500.0,45,00000000,00000000
9,1500.0,46,00000000,00000000
9,1500.0,47,00000000,00000000
9,1500.0,48,00000000,00000000
9,1500.0,49,00000000,00000000
10,1500.0,1,00000000,00000000
10,1500.0,2,00000000,00000000
10,1500.0,3,00000000,00000000
10,1500.0,4,00000000,00000000
10,1500.0,5,00000000,00000000
10,1500.0,6,00000000,00000000
10,1500.0,7,00000000,00000000
10,1500.0,8,00000000,00000000
10,1500.0,9,00000000,00000000
10,1500.0,10,00000000,00000000
10,1500.0,11,00000000,00000000
10,1500.0,12,00000000,00000000
10,1500.0,13,00000000,00000000
10,1500.0,14,00000000,00000000
10,1500.0,15,00000000,00000000
10,1500.0,16,00000000,00000000
10,1500.0,17,00000000,00000000
10,1500.0,18,00000000,00000000
10,1500.0,19,00000000,00000000
10,1500.0,20,00000000,00000000
10,1500.0,21,00000000,00000000
10,1500.0,22,00000000,00000000
10,1500.0,23,00000000,00000000
10,1500.0,24,00000000,00000000
10,1500.0,25,00000000,00000000
10,1500.0,26,00000000,00000000
10,1500.0,27,00000000,00000000
10,1500.0,28,00000000,00000000
10,1500.0,29,00000000,00000000
10,1500.0,30,00000000,00000000
10,1500.0,31,00000000,00000000
10,1500.0,32,00000000,00000000
10,1500.0,33,00000000,00000000
10,1500.0,34,00000000,00000000
10,1500.0,35,00000000,00000000
10,1500.0,36,00000000,00000000
10,1500.0,37,00000000,00000000
10,1500.0,38,00000000,00000000
10,1500.0,39,00000000,00000000
10,1500.0,40,00000000,00000000
10,1500.0,41,00000000,00000000
10,1500.0,42,00000000,00000000
10,1500.0,43,00000000,00000000
10,1500.0,44,00000000,00000000
10,1500.0,45,00000000,00000000
10,1500.0,46,00000000,00000000
10,1500.0,47,00000000,00000000
10,1500.0,48,00000000,00000000
10,1500.0,49,00000000,00000000
11,1500.0,1,00000000,00000000
11,1500.0,2,00000000,00000000
11,1500.0,3,00000000,00000000
11,1500.0,4,00000000,00000000
11,1500.0,5,00000000,00000000
11,1500.0,6,00000000,00000000
11,1500.0,7,00000000,00000000
11,1500.0,8,00000000,00000000
11,1500.0,9,00000000,00000000
11,1500.0,10,00000000,00000000
11,1500.0,11,00000000,00000000
11,1500.0,12,00000000,00000000
11,1500.0,13,00000000,00000000
11,1500.0,14,00000000,00000000
11,1500.0,15,00000000,00000000
11,1500.0,16,00000000,00000000
11,1500.0,17,00000000,00000000
11,1500.0,18,00000000,00000000
11,1500.0,19,00000000,00000000
11,1500.0,20,00000000,00000000
11,1500.0,21,00000000,00000000
11,1500.0,22,00000000,00000000
11,1500.0,23,00000000,00000000
11,1500.0,24,00000000,00000000
11,1500.0,25,00000000,00000000
11,1500.0,26,00000000,00000000
11,1500.0,27,00000000,00000000
11,1500.0,28,00000000,00000000
11,1500.0,29,00000000,00000000
11,1500.0,30,00000000,00000000
11,1500.0,31,00000000,00000000
11,1500.0,32,00000000,00000000
11,1500.0,33,00000000,00000000
11,1500.0,34,00000000,00000000
11,1500.0,35,00000000,00000000
11,1500.0,36,B667C6EA,00000000
11,1500.0,37,B66FCD48,00000000
11,1500.0,38,35347104,00000000
11,1500.0,39,3536A948,00000000
11,1500.0,40,352F3A78,00000000
11,1500.0,41,3524DC57,00000000
11,1500.0,42,351BA8A3,00000000
11,1500.0,43,3513D3DC,00000000
11,1500.0,44,350DA7A1,00000000
11,1500.0,45,3509B5F9,00000000
11,1500.0,46,355DAD71,00000000
11,1500.0,47,35F81C1C,00000000
11,1500.0,48,35F81C1E,00000000
11,1500.0,49,35F81C1E,00000000
12,1500.0,1,00000000,00000000
12,1500.0,2,00000000,00000000
12,1500.0,3,00000000,00000000
12,1500.0,4,00000000,00000000
12,1500.0,5,00000000,00000000
12,1500.0,6,00000000,00000000
12,1500.0,7,00000000,00000000
12,1500.0,8,00000000,00000000
12,1500.0,9,00000000,00000000
12,1500.0,10,00000000,00000000
12,1500.0,11,00000000,00000000
12,1500.0,12,00000000,00000000
12,1500.0,13,00000000,00000000
12,1500.0,14,00000000,00000000
12,1500.0,15,00000000,00000000
12,1500.0,16,00000000,00000000
12,1500.0,17,00000000,00000000
12,1500.0,18,00000000,00000000
12,1500.0,19,00000000,00000000
12,1500.0,20,00000000,00000000
12,1500.0,21,00000000,00000000
12,1500.0,22,00000000,00000000
12,1500.0,23,00000000,00000000
12,1500.0,24,00000000,00000000
12,1500.0,25,00000000,00000000
12,1500.0,26,00000000,00000000
12,1500.0,27,00000000,00000000
12,1500.0,28,00000000,00000000
12,1500.0,29,00000000,00000000
12,1500.0,30,00000000,00000000
12,1500.0,31,00000000,00000000
12,1500.0,32,00000000,00000000
12,1500.0,33,00000000,00000000
12,1500.0,34,00000000,00000000
12,1500.0,35,00000000,00000000
12,1500.0,36,00000000,00000000
12,1500.0,37,00000000,00000000
12,1500.0,38,00000000,00000000
12,1500.0,39,00000000,00000000
12,1500.0,40,00000000,00000000
12,1500.0,41,00000000,00000000
12,1500.0,42,00000000,00000000
12,1500.0,43,00000000,00000000
12,1500.0,44,00000000,00000000
12,1500.0,45,00000000,00000000
12,1500.0,46,00000000,00000000
12,1500.0,47,00000000,00000000
12,1500.0,48,00000000,00000000
12,1500.0,49,00000000,00000000
13,1500.0,1,00000000,00000000
13,1500.0,2,00000000,00000000
13,1500.0,3,00000000,00000000
13,1500.0,4,00000000,00000000
13,1500.0,5,00000000,00000000
13,1500.0,6,00000000,00000000
13,1500.0,7,00000000,00000000
13,1500.0,8,00000000,00000000
13,1500.0,9,00000000,00000000
13,1500.0,10,00000000,00000000
13,1500.0,11,00000000,00000000
13,1500.0,12,00000000,00000000
13,1500.0,13,00000000,00000000
13,1500.0,14,00000000,00000000
13,1500.0,15,00000000,00000000
13,1500.0,16,00000000,00000000
13,1500.0,17,00000000,00000000
13,1500.0,18,00000000,00000000
13,1500.0,19,00000000,00000000
13,1500.0,20,00000000,00000000
13,1500.0,21,00000000,00000000
13,1500.0,22,00000000,00000000
13,1500.0,23,00000000,00000000
13,1500.0,24,00000000,00000000
13,1500.0,25,00000000,00000000
13,1500.0,26,00000000,00000000
13,1500.0,27,00000000,00000000
13,1500.0,28,00000000,00000000
13,1500.0,29,00000000,00000000
13,1500.0,30,00000000,00000000
13,1500.0,31,00000000,00000000
13,1500.0,32,00000000,00000000
13,1500.0,33,00000000,00000000
13,1500.0,34,00000000,00000000
13,1500.0,35,00000000,00000000
13,1500.0,36,00000000,00000000
13,1500.0,37,00000000,00000000
13,1500.0,38,00000000,00000000
13,1500.0,39,00000000,00000000
13,1500.0,40,00000000,00000000
13,1500.0,41,00000000,00000000
13,1500.0,42,00000000,00000000
13,1500.0,43,00000000,00000000
13,1500.0,44,00000000,00000000
13,1500.0,45,00000000,00000000
13,1500.0,46,00000000,00000000
13,1500.0,47,00000000,00000000
13,1500.0,48,00000000,00000000
13,1500.0,49,00000000,00000000
14,1500.0,1,00000000,00000000
14,1500.0,2,00000000,00000000
14,1500.0,3,00000000,00000000
14,1500.0,4,00000000,00000000
14,1500.0,5,00000000,00000000
14,1500.0,6,00000000,00000000
14,1500.0,7,00000000,00000000
14,1500.0,8,00000000,00000000
14,1500.0,9,00000000,00000000
14,1500.0,10,00000000,00000000
14,1500.0,11,00000000,00000000
14,1500.0,12,00000000,00000000
14,1500.0,13,00000000,00000000
14,1500.0,14,00000000,00000000
14,1500.0,15,00000000,00000000
14,1500.0,16,00000000,00000000
14,1500.0,17,00000000,00000000
14,1500.0,18,00000000,00000000
14,1500.0,19,00000000,00000000
14,1500.0,20,00000000,00000000
14,1500.0,21,00000000,00000000
14,1500.0,22,00000000,00000000
14,1500.0,23,00000000,00000000
14,1500.0,24,00000000,00000000
14,1500.0,25,00000000,00000000
14,1500.0,26,00000000,00000000
14,1500.0,27,00000000,00000000
14,1500.0,28,00000000,00000000
14,1500.0,29,00000000,00000000
14,1500.0,30,00000000,00000000
14,1500.0,31,00000000,00000000
14,1500.0,32,00000000,00000000
14,1500.0,33,00000000,00000000
14,1500.0,34,00000000,00000000
14,1500.0,35,00000000,00000000
14,1500.0,36,00000000,00000000
14,1500.0,37,00000000,00000000
14,1500.0,38,00000000,00000000
14,1500.0,39,00000000,00000000
14,1500.0,40,00000000,00000000
14,1500.0,41,00000000,00000000
14,1500.0,42,00000000,00000000
14,1500.0,43,00000000,00000000
14,1500.0,44,00000000,00000000
14,1500.0,45,00000000,00000000
14,1500.0,46,00000000,00000000
14,1500.0,47,00000000,00000000
14,1500.0,48,00000000,00000000
14,1500.0,49,00000000,00000000
15,1500.0,1,00000000,00000000
15,1500.0,2,00000000,00000000
15,1500.0,3,00000000,00000000
15,1500.0,4,00000000,00000000
15,1500.0,5,00000000,00000000
15,1500.0,6,00000000,00000000
15,1500.0,7,00000000,00000000
15,1500.0,8,00000000,00000000
15,1500.0,9,00000000,00000000
15,1500.0,10,00000000,00000000
15,1500.0,11,00000000,00000000
15,1500.0,12,00000000,00000000
15,1500.0,13,00000000,00000000
15,1500.0,14,00000000,00000000
15,1500.0,15,00000000,00000000
15,1500.0,16,00000000,00000000
15,1500.0,17,00000000,00000000
15,1500.0,18,00000000,00000000
15,1500.0,19,00000000,00000000
15,1500.0,20,00000000,00000000
15,1500.0,21,00000000,00000000
15,1500.0,22,00000000,00000000
15,1500.0,23,00000000,00000000
15,1500.0,24,00000000,00000000
15,1500.0,25,00000000,00000000
15,1500.0,26,00000000,00000000
15,1500.0,27,00000000,00000000
15,1500.0,28,00000000,00000000
15,1500.0,29,00000000,00000000
15,1500.0,30,00000000,00000000
15,1500.0,31,00000000,00000000
15,1500.0,32,00000000,00000000
15,1500.0,33,00000000,00000000
15,1500.0,34,00000000,00000000
15,1500.0,35,00000000,00000000
15,1500.0,36,00000000,00000000
15,1500.0,37,00000000,00000000
15,1500.0,38,00000000,00000000
