case,dx,k,pmfd,pmfds,pmfdq,pdmfdp,pdmfup,pmfdde_rate,pmfude_rate
6,1500.0,24,00000000,00000000,00000000,00000000,37911550,00000000,3A00F9C7
6,1500.0,25,00000000,00000000,00000000,00000000,36F4C120,00000000,39F38ED3
6,1500.0,26,00000000,00000000,00000000,00000000,36B4BA40,00000000,39E80E7B
6,1500.0,27,00000000,00000000,00000000,00000000,36AF1DC0,00000000,39DCA415
6,1500.0,28,00000000,00000000,00000000,00000000,36A93840,00000000,39D14980
6,1500.0,29,00000000,00000000,00000000,00000000,36A307C0,00000000,39C5FC4A
6,1500.0,30,00000000,00000000,00000000,00000000,369C8B80,00000000,39BABB21
6,1500.0,31,00000000,00000000,00000000,00000000,3695C900,00000000,39AF8A71
6,1500.0,32,00000000,00000000,00000000,00000000,368EC600,00000000,39A46ED0
6,1500.0,33,00000000,00000000,00000000,00000000,36878C80,00000000,3999707E
6,1500.0,34,00000000,00000000,00000000,00000000,36802980,00000000,398E995A
6,1500.0,35,00000000,00000000,00000000,00000000,36715800,00000000,3983F492
6,1500.0,36,00000000,00000000,00000000,00000000,36624B00,00000000,39731D95
6,1500.0,37,00000000,00000000,00000000,00000000,36534B00,00000000,395EE80F
6,1500.0,38,00000000,00000000,00000000,00000000,36446D00,00000000,394B6145
6,1500.0,39,00000000,00000000,00000000,00000000,3635A280,00000000,39389E9C
6,1500.0,40,00000000,00000000,00000000,00000000,3626A380,00000000,39275EEC
6,1500.0,41,00000000,00000000,00000000,00000000,36170580,00000000,39170F74
6,1500.0,42,00000000,00000000,00000000,00000000,36054A80,00000000,3907621D
6,1500.0,43,00000000,00000000,00000000,00000000,35DAFB00,00000000,38F0CB3A
6,1500.0,44,00000000,00000000,00000000,00000000,358F8000,00000000,38D439A9
6,1500.0,45,BB357C57,3F39A508,B4AF4B34,00000000,B53DFC00,00000000,38C4E022
6,1500.0,46,BB357C57,3FBEB409,B5921400,00000000,B52D7200,80000000,00000000
6,1500.0,47,BB357C57,400BDAA2,B42552E5,00000000,B5191400,80000000,00000000
6,1500.0,48,BB357C57,406077C8,34D05977,00000000,B4FDEC00,80000000,00000000
6,1500.0,49,BB357C57,40475F09,35F45E96,00000000,00000000,80000000,00000000
7,1500.0,1,00000000,00000000,00000000,00000000,00000000,00000000,00000000
7,1500.0,2,00000000,00000000,00000000,00000000,00000000,00000000,3C930F09
7,1500.0,3,00000000,00000000,00000000,00000000,3719E7E0,00000000,3B0347E0
7,1500.0,4,00000000,00000000,00000000,00000000,375DC058,00000000,3AFB2110
7,1500.0,5,00000000,00000000,00000000,00000000,3792FD96,00000000,3AF33239
7,1500.0,6,00000000,00000000,00000000,00000000,37B5B1B6,00000000,3AED45A7
7,1500.0,7,00000000,00000000,00000000,00000000,37D44700,00000000,3AE89C27
7,1500.0,8,00000000,00000000,00000000,00000000,37EDC9D0,00000000,3AE4C8AD
7,1500.0,9,00000000,00000000,00000000,00000000,38016D5C,00000000,3AE189C0
7,1500.0,10,00000000,00000000,00000000,00000000,380154B8,00000000,3AD324D5
7,1500.0,11,00000000,00000000,00000000,00000000,37F2C8B8,00000000,3AC35475
7,1500.0,12,00000000,00000000,00000000,00000000,37DB9458,00000000,3AB5A4C5
7,1500.0,13,00000000,00000000,00000000,00000000,37D62310,00000000,3AA9B24B
7,1500.0,14,00000000,00000000,00000000,00000000,37D8F860,00000000,3A9FA143
7,1500.0,15,00000000,00000000,00000000,00000000,37D93B00,00000000,3A9731A2
7,1500.0,16,00000000,00000000,00000000,00000000,37D8B730,00000000,3A8FD737
7,1500.0,17,00000000,00000000,00000000,00000000,37E6E0E0,00000000,3A8925E9
7,1500.0,18,00000000,00000000,00000000,00000000,37E968D0,00000000,3A82CFE7
7,1500.0,19,00000000,00000000,00000000,00000000,37EAC6B0,00000000,3A79371F
7,1500.0,20,00000000,00000000,00000000,00000000,37E84D50,00000000,3A6CC0B8
7,1500.0,21,00000000,00000000,00000000,00000000,37E444D0,00000000,3A600390
7,1500.0,22,00000000,00000000,00000000,00000000,37DF4B50,00000000,3A52D8E9
7,1500.0,23,00000000,00000000,00000000,00000000,37D976C0,00000000,3A4540EC
7,1500.0,24,00000000,00000000,00000000,00000000,37D2D1B0,00000000,3A381D48
7,1500.0,25,00000000,00000000,00000000,00000000,3745B820,00000000,3A2DD44B
7,1500.0,26,00000000,00000000,00000000,00000000,3702BB00,00000000,3A25CE56
7,1500.0,27,00000000,00000000,00000000,00000000,36FD5F80,00000000,3A1DD41C
7,1500.0,28,00000000,00000000,00000000,00000000,36F4E180,00000000,3A15E0DB
7,1500.0,29,00000000,00000000,00000000,00000000,36EBF880,00000000,3A0DF2D4
7,1500.0,30,00000000,00000000,00000000,00000000,36E2A280,00000000,3A0608BA
7,1500.0,31,00000000,00000000,00000000,00000000,36D8E600,00000000,39FC4AE6
7,1500.0,32,00000000,00000000,00000000,00000000,36CECA00,00000000,39EC9862
