case,dx,k,ptte
16,1500.0,2,00000000
16,1500.0,3,00000000
16,1500.0,4,00000000
16,1500.0,5,00000000
16,1500.0,6,00000000
16,1500.0,7,00000000
16,1500.0,8,00000000
16,1500.0,9,00000000
16,1500.0,10,00000000
16,1500.0,11,00000000
16,1500.0,12,00000000
16,1500.0,13,00000000
16,1500.0,14,00000000
16,1500.0,15,00000000
16,1500.0,16,00000000
16,1500.0,17,00000000
16,1500.0,18,00000000
16,1500.0,19,00000000
16,1500.0,20,00000000
16,1500.0,21,00000000
16,1500.0,22,00000000
16,1500.0,23,00000000
16,1500.0,24,00000000
16,1500.0,25,00000000
16,1500.0,26,00000000
16,1500.0,27,00000000
16,1500.0,28,00000000
16,1500.0,29,00000000
16,1500.0,30,00000000
16,1500.0,31,00000000
16,1500.0,32,00000000
16,1500.0,33,00000000
16,1500.0,34,00000000
16,1500.0,35,00000000
16,1500.0,36,00000000
16,1500.0,37,00000000
16,1500.0,38,00000000
16,1500.0,39,00000000
16,1500.0,40,00000000
16,1500.0,41,00000000
16,1500.0,42,00000000
16,1500.0,43,00000000
16,1500.0,44,00000000
16,1500.0,45,00000000
16,1500.0,46,00000000
16,1500.0,47,00000000
16,1500.0,48,00000000
16,1500.0,49,00000000
17,1500.0,1,00000000
17,1500.0,2,00000000
17,1500.0,3,00000000
17,1500.0,4,00000000
17,1500.0,5,00000000
17,1500.0,6,00000000
17,1500.0,7,00000000
17,1500.0,8,00000000
17,1500.0,9,3504CB3E
17,1500.0,10,35DE23EC
17,1500.0,11,36372E34
17,1500.0,12,367A514E
17,1500.0,13,369C8E36
17,1500.0,14,36BA094C
17,1500.0,15,36D5CFC5
17,1500.0,16,36F00EA4
17,1500.0,17,370475D9
17,1500.0,18,37104395
17,1500.0,19,371B7E4B
17,1500.0,20,372631E5
17,1500.0,21,373068B4
17,1500.0,22,373A2BBE
17,1500.0,23,374382E8
17,1500.0,24,374C752A
17,1500.0,25,375508A4
17,1500.0,26,375D42CB
17,1500.0,27,3765286E
17,1500.0,28,376CBDD1
17,1500.0,29,377406C4
17,1500.0,30,377B0698
17,1500.0,31,3780E023
17,1500.0,32,37841B30
17,1500.0,33,37873593
17,1500.0,34,378A3041
17,1500.0,35,378D0C04
17,1500.0,36,378FC982
17,1500.0,37,37926935
