case,dx,k,paph,puen,pven,pmfu,pmfd,puu,pud,pvu,pvd,ptenu_in,ptenv_in
2,1500.0,38,47A933EB,4193D5C7,00000000,3D163939,00000000,4192FDA3,419457D2,00000000,00000000,00000000,00000000
2,1500.0,39,47AC501F,4193598D,00000000,3D103DE6,00000000,4192974F,4193D5C7,00000000,00000000,00000000,00000000
2,1500.0,40,47AF535C,4192E32E,00000000,3D0A089C,00000000,4192358D,4193598D,00000000,00000000,00000000,00000000
2,1500.0,41,47B23C0A,419272C0,00000000,3D03A187,00000000,4191D86F,4192E32E,00000000,00000000,00000000,00000000
2,1500.0,42,47B50844,41920869,00000000,3CFA368F,00000000,41918026,419272C0,00000000,00000000,00000000,00000000
2,1500.0,43,47B7B5C4,4191A464,00000000,3CED22EF,00000000,41912CF9,41920869,00000000,00000000,00000000,00000000
2,1500.0,44,47BA41BE,41914709,00000000,3CE0415C,00000000,4190DF40,4191A464,00000000,00000000,00000000,00000000
2,1500.0,45,47BCA8A3,4190F0DC,00000000,3CD3CCB5,BB806D6A,4190976A,4190EF3A,00000000,00000000,00000000,00000000
2,1500.0,46,47BEE5BD,4190A2A8,00000000,3CD4E357,BB806D6A,41905DBD,4190EF3A,00000000,00000000,00000000,00000000
2,1500.0,47,47C0F26C,41905DBD,00000000,3C905F44,BB806D6A,4190A2A8,4190EF3A,00000000,00000000,00000000,00000000
2,1500.0,48,47C2C476,419024A8,00000000,3C270757,BB806D6A,41905DBD,4190EF3A,00000000,00000000,00000000,00000000
2,1500.0,49,47C4491D,41900000,00000000,3B830C62,BB806D6A,419024A8,4190EF3A,00000000,00000000,00000000,00000000
3,1500.0,1,459C4000,42263741,00000000,00000000,00000000,42263741,42263741,00000000,00000000,00000000,00000000
3,1500.0,2,45EE9B40,421886F0,00000000,00000000,00000000,42263741,42263741,00000000,00000000,00000000,00000000
3,1500.0,3,46202EB0,420DC514,00000000,3C9036BF,00000000,41E222A9,421886F0,00000000,00000000,00000000,00000000
3,1500.0,4,4648C210,4204BF23,00000000,3CA04B5B,00000000,41D395B3,420DC514,00000000,00000000,00000000,00000000
3,1500.0,5,467106C0,41F9E55F,00000000,3CAFAC7B,00000000,41C74925,4204BF23,00000000,00000000,00000000,00000000
3,1500.0,6,468C7DC8,41EC2179,00000000,3CBE910E,00000000,41BC99B4,41F9E55F,00000000,00000000,00000000,00000000
3,1500.0,7,46A04FA4,41DFCB2A,00000000,3CCD1899,00000000,41B322A3,41EC2179,00000000,00000000,00000000,00000000
3,1500.0,8,46B3F860,41D49AD5,00000000,3CDB56DC,00000000,41AAA111,41DFCB2A,00000000,00000000,00000000,00000000
3,1500.0,9,46C77754,41CA5CB1,00000000,3CE958D4,00000000,41A2E61E,41D49AD5,00000000,00000000,00000000,00000000
3,1500.0,10,46DACBE0,41C0E9FA,00000000,3CF72744,00000000,419BCF8C,41CA5CB1,00000000,00000000,00000000,00000000
3,1500.0,11,46EDF550,41B824EA,00000000,3D020A36,00000000,419545C5,41C0E9FA,00000000,00000000,00000000,00000000
3,1500.0,12,47007974,41AFF614,00000000,3D080586,00000000,418F346F,41B824EA,00000000,00000000,00000000,00000000
3,1500.0,13,4709E1F6,41A84AB7,00000000,3D0D952A,00000000,41898ADE,41AFF614,00000000,00000000,00000000,00000000
3,1500.0,14,471333CA,41A1138C,00000000,3D12C532,00000000,41843BAF,41A84AB7,00000000,00000000,00000000,00000000
