case,dx,k,pmfu,pmfd,paph
9,1500.0,26,00000000,00000000,477B75D0
9,1500.0,27,00000000,00000000,4781B970
9,1500.0,28,00000000,00000000,4785A886
9,1500.0,29,00000000,00000000,478987B5
9,1500.0,30,00000000,00000000,478D5682
9,1500.0,31,00000000,00000000,47911463
9,1500.0,32,00000000,00000000,4794C0C7
9,1500.0,33,00000000,00000000,47985B0D
9,1500.0,34,00000000,00000000,479BE286
9,1500.0,35,00000000,00000000,479F5670
9,1500.0,36,00000000,00000000,47A2B5F3
9,1500.0,37,00000000,00000000,47A60021
9,1500.0,38,00000000,00000000,47A933EB
9,1500.0,39,00000000,00000000,47AC501F
9,1500.0,40,00000000,00000000,47AF535C
9,1500.0,41,00000000,00000000,47B23C0A
9,1500.0,42,00000000,00000000,47B50844
9,1500.0,43,00000000,00000000,47B7B5C4
9,1500.0,44,00000000,00000000,47BA41BE
9,1500.0,45,00000000,00000000,47BCA8A3
9,1500.0,46,00000000,00000000,47BEE5BD
9,1500.0,47,00000000,00000000,47C0F26C
9,1500.0,48,00000000,00000000,47C2C476
9,1500.0,49,00000000,00000000,47C4491D
10,1500.0,1,00000000,00000000,459C4000
10,1500.0,2,00000000,00000000,45EE9B40
10,1500.0,3,00000000,00000000,46202EB0
10,1500.0,4,00000000,00000000,4648C210
10,1500.0,5,00000000,00000000,467106C0
10,1500.0,6,00000000,00000000,468C7DC8
10,1500.0,7,00000000,00000000,46A04FA4
10,1500.0,8,00000000,00000000,46B3F860
10,1500.0,9,00000000,00000000,46C77754
10,1500.0,10,00000000,00000000,46DACBE0
10,1500.0,11,00000000,00000000,46EDF550
10,1500.0,12,00000000,00000000,47007974
10,1500.0,13,00000000,00000000,4709E1F6
10,1500.0,14,00000000,00000000,471333CA
10,1500.0,15,00000000,00000000,471C6E89
10,1500.0,16,00000000,00000000,472591C4
10,1500.0,17,00000000,00000000,472E9D0C
10,1500.0,18,00000000,00000000,47378FE4
10,1500.0,19,00000000,00000000,474069D0
10,1500.0,20,00000000,00000000,47492A4A
10,1500.0,21,00000000,00000000,4751D0C6
10,1500.0,22,00000000,00000000,475A5CB1
10,1500.0,23,00000000,00000000,4762CD6E
10,1500.0,24,00000000,00000000,476B2254
10,1500.0,25,00000000,00000000,47735AB4
10,1500.0,26,00000000,00000000,477B75D0
10,1500.0,27,00000000,00000000,4781B970
10,1500.0,28,00000000,00000000,4785A886
10,1500.0,29,00000000,00000000,478987B5
10,1500.0,30,00000000,00000000,478D5682
10,1500.0,31,00000000,00000000,47911463
10,1500.0,32,00000000,00000000,4794C0C7
10,1500.0,33,00000000,00000000,47985B0D
10,1500.0,34,00000000,00000000,479BE286
10,1500.0,35,00000000,00000000,479F5670
10,1500.0,36,00000000,00000000,47A2B5F3
10,1500.0,37,00000000,00000000,47A60021
10,1500.0,38,00000000,00000000,47A933EB
10,1500.0,39,00000000,00000000,47AC501F
10,1500.0,40,00000000,00000000,47AF535C
10,1500.0,41,00000000,00000000,47B23C0A
10,1500.0,42,00000000,00000000,47B50844
10,1500.0,43,00000000,00000000,47B7B5C4
10,1500.0,44,00000000,00000000,47BA41BE
10,1500.0,45,00000000,00000000,47BCA8A3
10,1500.0,46,00000000,00000000,47BEE5BD
10,1500.0,47,00000000,00000000,47C0F26C
10,1500.0,48,00000000,00000000,47C2C476
10,1500.0,49,00000000,00000000,47C4491D
11,1500.0,1,00000000,00000000,459C4000
11,1500.0,2,00000000,00000000,45EE9B40
11,1500.0,3,00000000,00000000,46202EB0
11,1500.0,4,00000000,00000000,4648C210
11,1500.0,5,00000000,00000000,467106C0
11,1500.0,6,00000000,00000000,468C7DC8
11,1500.0,7,00000000,00000000,46A04FA4
11,1500.0,8,00000000,00000000,46B3F860
11,1500.0,9,00000000,00000000,46C77754
11,1500.0,10,00000000,00000000,46DACBE0
11,1500.0,11,00000000,00000000,46EDF550
11,1500.0,12,00000000,00000000,47007974
11,1500.0,13,00000000,00000000,4709E1F6
11,1500.0,14,00000000,00000000,471333CA
11,1500.0,15,00000000,00000000,471C6E89
11,1500.0,16,00000000,00000000,472591C4
11,1500.0,17,00000000,00000000,472E9D0C
11,1500.0,18,00000000,00000000,47378FE4
11,1500.0,19,00000000,00000000,474069D0
11,1500.0,20,00000000,00000000,47492A4A
11,1500.0,21,00000000,00000000,4751D0C6
11,1500.0,22,00000000,00000000,475A5CB1
11,1500.0,23,00000000,00000000,4762CD6E
11,1500.0,24,00000000,00000000,476B2254
11,1500.0,25,00000000,00000000,47735AB4
11,1500.0,26,00000000,00000000,477B75D0
11,1500.0,27,00000000,00000000,4781B970
11,1500.0,28,00000000,00000000,4785A886
11,1500.0,29,00000000,00000000,478987B5
11,1500.0,30,00000000,00000000,478D5682
11,1500.0,31,00000000,00000000,47911463
11,1500.0,32,00000000,00000000,4794C0C7
11,1500.0,33,00000000,00000000,47985B0D
11,1500.0,34,00000000,00000000,479BE286
11,1500.0,35,00000000,00000000,479F5670
11,1500.0,36,00000000,00000000,47A2B5F3
11,1500.0,37,3A8B7CDE,00000000,47A60021
11,1500.0,38,3AF07F00,00000000,47A933EB
11,1500.0,39,3AE9516B,00000000,47AC501F
11,1500.0,40,3AE1AD49,00000000,47AF535C
11,1500.0,41,3AD9C627,00000000,47B23C0A
11,1500.0,42,3AD1B9C0,00000000,47B50844
11,1500.0,43,3AC9A2B3,00000000,47B7B5C4
11,1500.0,44,3AC19E6C,00000000,47BA41BE
11,1500.0,45,3AB9CD6E,00000000,47BCA8A3
11,1500.0,46,3AB2541C,00000000,47BEE5BD
11,1500.0,47,3AB2541C,00000000,47C0F26C
11,1500.0,48,3A4E505D,00000000,47C2C476
11,1500.0,49,39A1DEFC,00000000,47C4491D
12,1500.0,1,00000000,00000000,459C4000
12,1500.0,2,00000000,00000000,45EE9B40
12,1500.0,3,00000000,00000000,46202EB0
12,1500.0,4,00000000,00000000,4648C210
12,1500.0,5,00000000,00000000,467106C0
12,1500.0,6,00000000,00000000,468C7DC8
12,1500.0,7,00000000,00000000,46A04FA4
12,1500.0,8,00000000,00000000,46B3F860
12,1500.0,9,00000000,00000000,46C77754
12,1500.0,10,00000000,00000000,46DACBE0
12,1500.0,11,00000000,00000000,46EDF550
