case,dx,k,pten,pqen,pqsen,ptenh,pqenh,paph,pap,pgeoh,pmfu,pmfd,pmfus,pmfds,pmfuq,pmfdq,pmful,pdmfup,pdmfdp,plglac_in,plude_in,pmfdde_rate_in
2,1500.0,42,43952F75,3CA8AFE1,3CB143C6,4394E4B2,3CA41B0B,47B50844,47B65F04,45EA8B2F,3CFA368F,00000000,4612C629,00000000,3A32012A,00000000,37D28B8C,363CA517,00000000,00000000,33FF1248,00000000
2,1500.0,43,4395950A,3CAE6AB5,3CB742E8,43954E96,3CA9F918,47B7B5C4,47B8FBC1,45C2BFC5,3CED22EF,00000000,460AC772,00000000,3A2BD3F8,00000000,379DD74C,361AF5B3,00000000,00000000,33A5DF61,00000000
2,1500.0,44,4395F3DB,3CB3E52E,3CBCFE27,4395B20D,3CAFA214,47BA41BE,47BB7530,459D51CA,3CE0415C,00000000,4602F297,00000000,3A253487,00000000,375A4D2B,35CB17D7,00000000,00000000,332F0CEB,00000000
2,1500.0,45,43964B61,3CB90F7B,3CC26502,43960EB6,3CB50949,47BCA8A3,47BDC730,4574C48E,3CD3CCB5,BBFF7736,45F6D28F,C514AC60,3A1E5579,B93ADA93,36F6DFDA,00000000,B605B627,00000000,3175E197,00000000
2,1500.0,46,43969ACD,3CBDD48F,3CC76193,439663FC,3CBA1E60,47BEE5BD,47BFEC14,45344503,3CD4E357,BBFF7736,45F7915D,C5145CAE,3A20E717,B93CF16C,353BDCBE,00000000,B5F42944,00000000,00000000,80000000
2,1500.0,47,4396E0CC,3CC215AE,3CCBD3D3,4396B0FB,3CBECB55,47C0F26C,47C1DB71,44F37A35,3ECAD85C,BBFF7736,00000000,C51413E9,00000000,B93ED9BF,00000000,00000000,B5D7799F,00000000,00000000,80000000
2,1500.0,48,43971AC5,3CC59BD5,3CCF8265,43971561,3CC215AE,47C2C476,47C386CA,448C5129,3E6AAD8E,BBFF7736,00000000,C513D3B2,00000000,B94088B2,00000000,00000000,B5B2B64F,00000000,00000000,80000000
2,1500.0,49,43974000,3CC7B8C5,3CD1B73F,43972408,3CC7B8C5,47C4491D,47C4C68E,43DB7A80,3DB82003,BBFF7736,00000000,C5139E6F,00000000,B941EE1F,00000000,00000000,00000000,00000000,00000000,80000000
3,1500.0,1,43468000,36F520CD,3741A6B7,43468000,36F520CD,459C4000,45C56DA0,4846A5F2,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,1500.0,2,43468000,36AD2812,3708CB70,43526077,385C7D10,45EE9B40,460BBE28,482F184B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
3,1500.0,3,434B8FE0,370CC08D,37688C24,434907F0,36E35496,46202EB0,46347860,481EB3D7,3C9036BF,00000000,45C5E8A8,00000000,33BE3349,00000000,375B2457,37140D95,00000000,00000000,36208F22,00000000
3,1500.0,4,4352E4B4,379C6B8C,380A66C9,434F3A4A,3762CBD2,4648C210,465CE468,4811D211,3CA04B5B,00000000,45DBEF1B,00000000,351AAF66,00000000,37C80FB6,37559540,00000000,00000000,3661E5C1,00000000
3,1500.0,5,43593AD2,38139A4C,388AF666,43585074,384E4FFD,467106C0,46828094,480703E4,3CAFAC7B,00000000,45F0E3B9,00000000,36186144,00000000,382145A3,378DD7CF,00000000,00000000,36930CFF,00000000
3,1500.0,6,435ED267,3878D23C,38F7CAAE,435DDC27,38A9D359,468C7DC8,469666B6,47FB5A3C,3CBE910E,00000000,46027A81,00000000,36D80A4D,00000000,386B343C,37AFBA04,00000000,00000000,36B34537,00000000
3,1500.0,7,4363D578,38C13206,394A7A02,4362D794,390105A1,46A04FA4,46AA2402,47EADE56,3CCD1899,00000000,460C17EE,00000000,3771C918,00000000,389E2894,37CDC519,00000000,00000000,36CF8C27,00000000
3,1500.0,8,4368611A,390CFA2E,399ACEC6,43675C9A,39384D61,46B3F860,46BDB7DA,47DC183A,3CDB56DC,00000000,46154DE6,00000000,37E2E861,00000000,38C7C0B1,37E6F0B2,00000000,00000000,36E78662,00000000
3,1500.0,9,436C8A58,3944079E,39E0AFC1,436B7F32,397ACE50,46C77754,46D1219A,47CEB229,3CE958D4,00000000,461E2405,00000000,383A813C,00000000,38F107EC,37FBC68F,00000000,3877D9F5,36FC2454,00000000
3,1500.0,10,437060F2,39953003,3A1C5B3E,436F4EEF,39A42D62,46DACBE0,46E46098,47C26E1F,3CF72744,00000000,4626A3CB,00000000,388AB3E2,00000000,390D0444,37FD9640,00000000,39A02DE1,36FCB29E,00000000
3,1500.0,11,4373F101,39DE5F2F,3A524249,4372D828,39E262F9,46EDF550,46F7741C,47B71DB1,3D020A36,00000000,462E53BF,00000000,38BFE4F6,00000000,391EC985,37EEBE3D,00000000,39FF8F4B,36F2C8BD,00000000
3,1500.0,12,43774408,3A1D7D6E,3A896169,437624B3,3A1B0772,47007974,47052DB5,47AC9D34,3D080586,00000000,463532FC,00000000,38FAC7C8,00000000,392C4B5F,37D8AA8D,00000000,3A1E0094,36E46886,00000000
3,1500.0,13,437A61A6,3A565814,3AAF3D0D,43793C78,3A4E2B3A,4709E1F6,470E8AE0,47A2D09E,3D0D952A,00000000,463B63AA,00000000,391CDAC9,00000000,393539D0,37D08F7F,00000000,3A31D24D,36D59ED3,00000000
