case,dx,k,ptd,pqd,pud,pvd,pmfd,pmfds,pmfdq,pdmfdp
3,1500.0,45,4395ED58,3CBB3EA1,40B98CB7,00000000,BE337778,C750E370,BB83442C,00000000
3,1500.0,46,439663FC,3CBA1E60,40B2D12F,00000000,00000000,00000000,00000000,00000000
3,1500.0,47,4396B0FB,3CBECB55,40ACB51E,00000000,00000000,00000000,00000000,00000000
3,1500.0,48,43971561,3CC215AE,40A752C9,00000000,00000000,00000000,00000000,00000000
3,1500.0,49,43972408,3CC7B8C5,40A2DD1E,00000000,00000000,00000000,00000000,00000000
4,1500.0,1,4346CCCC,37003AF3,42266007,00000000,00000000,00000000,00000000,00000000
4,1500.0,2,4352B078,38664751,42266007,00000000,00000000,00000000,00000000,00000000
4,1500.0,3,434F1DF4,37C3C0E0,4218AA6A,00000000,00000000,00000000,00000000,00000000
4,1500.0,4,435246B7,37E7C503,420DE5E8,00000000,00000000,00000000,00000000,00000000
4,1500.0,5,43588527,3853D412,4204DDBE,00000000,00000000,00000000,00000000,00000000
4,1500.0,6,435E11F9,38AE2CEA,41FA1EBC,00000000,00000000,00000000,00000000,00000000
4,1500.0,7,43630E5A,3904328F,41EC5772,00000000,00000000,00000000,00000000,00000000
4,1500.0,8,4367943C,393CABF5,41DFFE17,00000000,00000000,00000000,00000000,00000000
4,1500.0,9,436BB799,398045E0,41D4CB00,00000000,00000000,00000000,00000000,00000000
4,1500.0,10,436F880F,39A7D067,41CA8A54,00000000,00000000,00000000,00000000,00000000
4,1500.0,11,437311FE,39E727D2,41C11548,00000000,00000000,00000000,00000000,00000000
4,1500.0,12,43765F37,3A1E8228,41B84E0C,00000000,00000000,00000000,00000000,00000000
4,1500.0,13,437977AF,3A5308BC,41B01D2C,00000000,00000000,00000000,00000000,00000000
4,1500.0,14,437C607A,3A8943E7,41A86FE6,00000000,00000000,00000000,00000000,00000000
4,1500.0,15,437F1F5D,3AAED19F,41A136EC,00000000,00000000,00000000,00000000,00000000
4,1500.0,16,4380DD7F,3ADA1119,419A65A6,00000000,00000000,00000000,00000000,00000000
4,1500.0,17,43821B88,3B059F74,4193F188,00000000,00000000,00000000,00000000,00000000
4,1500.0,18,43834B3E,3B214824,418DD1B4,00000000,00000000,00000000,00000000,00000000
4,1500.0,19,43846DD3,3B4017F5,4187FE96,00000000,00000000,00000000,00000000,00000000
4,1500.0,20,43858448,3B621E1B,418271B3,00000000,00000000,00000000,00000000,00000000
4,1500.0,21,43868F78,3B83B1B6,417A4ADF,00000000,00000000,00000000,00000000,00000000
4,1500.0,22,43879027,3B97F4D4,417029D8,00000000,00000000,00000000,00000000,00000000
4,1500.0,23,438886BE,3BADCD2C,416677D0,00000000,00000000,00000000,00000000,00000000
4,1500.0,24,4389719C,3BC55ADA,415D2D53,00000000,00000000,00000000,00000000,00000000
4,1500.0,25,438A52B7,3BDE95A1,415443CE,00000000,00000000,00000000,00000000,00000000
4,1500.0,26,438B2B2E,3BF705DD,414BB58E,00000000,00000000,00000000,00000000,00000000
4,1500.0,27,438BFB6F,3C071BD5,41437D8A,00000000,00000000,00000000,00000000,00000000
4,1500.0,28,438CC3DF,3C1321FE,413B973E,00000000,00000000,00000000,00000000,00000000
4,1500.0,29,438D84D8,3C1F8DE1,4133FEA4,00000000,00000000,00000000,00000000,00000000
4,1500.0,30,438E3EA9,3C2C57D6,412CB030,00000000,00000000,00000000,00000000,00000000
4,1500.0,31,438EF197,3C397739,4125A8C4,00000000,00000000,00000000,00000000,00000000
4,1500.0,32,438F9DDF,3C46E33D,411EE59D,00000000,00000000,00000000,00000000,00000000
4,1500.0,33,439043B8,3C549241,41186459,00000000,00000000,00000000,00000000,00000000
4,1500.0,34,4390E34E,3C627A00,411222E8,00000000,00000000,00000000,00000000,00000000
4,1500.0,35,43917CC9,3C708FE2,410C1F8D,00000000,00000000,00000000,00000000,00000000
4,1500.0,36,43921045,3C7EC806,410658DC,00000000,00000000,00000000,00000000,00000000
4,1500.0,37,43929DDA,3C868B09,4100CDB4,00000000,00000000,00000000,00000000,00000000
4,1500.0,38,43932599,3C8DB64D,40F6FA98,00000000,00000000,00000000,00000000,00000000
4,1500.0,39,4393A787,3C94DE91,40ECCE5E,00000000,00000000,00000000,00000000,00000000
4,1500.0,40,439423A2,3C9BFBD8,40E31695,00000000,00000000,00000000,00000000,00000000
4,1500.0,41,439499D9,3CA28B75,40D9D402,00000000,00000000,00000000,00000000,00000000
4,1500.0,42,43950A11,3CA8BE47,40D10866,00000000,00000000,00000000,00000000,00000000
4,1500.0,43,4395741E,3CAEC59D,40C8B6BA,00000000,00000000,00000000,00000000,00000000
4,1500.0,44,4395D7BB,3CB49661,40C0E399,00000000,00000000,00000000,00000000,00000000
4,1500.0,45,43963488,3CBA2398,40B995EB,00000000,00000000,00000000,00000000,B78912E8
4,1500.0,46,43966AEE,3CC41A7C,40B2D7FE,00000000,BE244DFA,C73F36D2,BB7BB966,00000000
4,1500.0,47,4396D70F,3CC42A94,40ACB9BB,00000000,00000000,00000000,00000000,00000000
4,1500.0,48,43973BB7,3CC79134,40A75573,00000000,00000000,00000000,00000000,00000000
4,1500.0,49,43974A64,3CCD5B59,40A2DE29,00000000,00000000,00000000,00000000,00000000
5,1500.0,1,43470000,3704242C,42267973,00000000,00000000,00000000,00000000,00000000
5,1500.0,2,4352E5C4,386D05D0,42267973,00000000,00000000,00000000,00000000,00000000
5,1500.0,3,434F52EE,37C9A092,4218C04E,00000000,00000000,00000000,00000000,00000000
5,1500.0,4,43526A7D,37EC431B,420DF9F4,00000000,00000000,00000000,00000000,00000000
5,1500.0,5,4358A9DB,3857BF9E,4204F03E,00000000,00000000,00000000,00000000,00000000
5,1500.0,6,435E3772,38B143C0,41FA410F,00000000,00000000,00000000,00000000,00000000
5,1500.0,7,43633482,39067357,41EC7768,00000000,00000000,00000000,00000000,00000000
5,1500.0,8,4367BAF6,393FC471,41E01BEE,00000000,00000000,00000000,00000000,00000000
5,1500.0,9,436BDEDD,39824E12,41D4E6EA,00000000,00000000,00000000,00000000,00000000
5,1500.0,10,436FAFD9,39AA636C,41CAA47B,00000000,00000000,00000000,00000000,00000000
5,1500.0,11,43733A42,39E9B55A,41C12DCF,00000000,00000000,00000000,00000000,00000000
5,1500.0,12,437687F6,3A1FB765,41B86510,00000000,00000000,00000000,00000000,00000000
5,1500.0,13,4379A0E8,3A540B7B,41B032C9,00000000,00000000,00000000,00000000,00000000
5,1500.0,14,437C8A01,3A89A251,41A88431,00000000,00000000,00000000,00000000,00000000
5,1500.0,15,437F496C,3AAEED8B,41A149FA,00000000,00000000,00000000,00000000,00000000
5,1500.0,16,4380F2D1,3AD9D24D,419A778A,00000000,00000000,00000000,00000000,00000000
5,1500.0,17,43823123,3B0545A2,41940254,00000000,00000000,00000000,00000000,00000000
5,1500.0,18,43836120,3B20A61F,418DE175,00000000,00000000,00000000,00000000,00000000
5,1500.0,19,438483FE,3B3F1FBC,41880D5C,00000000,00000000,00000000,00000000,00000000
5,1500.0,20,43859AB9,3B60C127,41827F8B,00000000,00000000,00000000,00000000,00000000
5,1500.0,21,4386A630,3B82C98C,417A64CA,00000000,00000000,00000000,00000000,00000000
5,1500.0,22,4387A721,3B96CAF8,41704216,00000000,00000000,00000000,00000000,00000000
5,1500.0,23,43889DE2,3BAC5718,41668E77,00000000,00000000,00000000,00000000,00000000
5,1500.0,24,438988B6,3BC39A80,415D4278,00000000,00000000,00000000,00000000,00000000
5,1500.0,25,438A69FB,3BDC7DC0,41545783,00000000,00000000,00000000,00000000,00000000
5,1500.0,26,438B429C,3BF4B00A,414BC7E6,00000000,00000000,00000000,00000000,00000000
5,1500.0,27,438C1304,3C05D731,41438E96,00000000,00000000,00000000,00000000,00000000
5,1500.0,28,438CDB98,3C11C304,413BA70A,00000000,00000000,00000000,00000000,00000000
5,1500.0,29,438D9CB5,3C1E142A,41340D41,00000000,00000000,00000000,00000000,00000000
5,1500.0,30,438E56A8,3C2AC30B,412CBDA9,00000000,00000000,00000000,00000000,00000000
5,1500.0,31,438F09B6,3C37C70A,4125B528,00000000,00000000,00000000,00000000,00000000
5,1500.0,32,438FB61D,3C451774,411EF0F8,00000000,00000000,00000000,00000000,00000000
5,1500.0,33,43905C12,3C52AA9D,41186EB8,00000000,00000000,00000000,00000000,00000000
5,1500.0,34,4390FBC5,3C607699,41122C55,00000000,00000000,00000000,00000000,00000000
5,1500.0,35,43919559,3C6E7098,410C2814,00000000,00000000,00000000,00000000,00000000
5,1500.0,36,439228EE,3C7C8D01,41066088,00000000,00000000,00000000,00000000,00000000
5,1500.0,37,4392B69C,3C855FB8,4100D490,00000000,00000000,00000000,00000000,00000000
5,1500.0,38,43933E72,3C8C7D64,40F706C2,00000000,00000000,00000000,00000000,00000000
5,1500.0,39,4393C075,3C93982C,40ECD90D,00000000,00000000,00000000,00000000,00000000
5,1500.0,40,43943CA5,3C9AA845,40E31FDF,00000000,00000000,00000000,00000000,00000000
5,1500.0,41,4394B2EF,3CA129F1,40D9DBFA,00000000,00000000,00000000,00000000,00000000
5,1500.0,42,4395233A,3CA74DB8,40D10F1E,00000000,00000000,00000000,00000000,00000000
5,1500.0,43,43958D57,3CAD4666,40C8BC48,00000000,00000000,00000000,00000000,B7E08B51
5,1500.0,44,4395CFA8,3CBB1E94,40C0E811,00000000,BE337778,C751803E,BB832DB4,00000000
5,1500.0,45,43964DE0,3CB888AB,40B99961,00000000,00000000,00000000,00000000,00000000
5,1500.0,46,4396A356,3CBDB4BD,40B2DA88,00000000,00000000,00000000,00000000,00000000
5,1500.0,47,4396F082,3CC276F2,40ACBB70,00000000,00000000,00000000,00000000,00000000
5,1500.0,48,4397554B,3CC5D27B,40A7566F,00000000,00000000,00000000,00000000,00000000
5,1500.0,49,439763FA,3CCB8E9B,40A2DE8B,00000000,00000000,00000000,00000000,00000000
6,1500.0,1,435D4000,391DF558,42294F08,00000000,00000000,00000000,00000000,00000000
6,1500.0,2,4368B412,3A59B75E,42294F08,00000000,00000000,00000000,00000000,00000000
6,1500.0,3,4365B3AC,39D7010D,421A0CD8,00000000,00000000,00000000,00000000,00000000
6,1500.0,4,4363E873,3983AD17,420E5B90,00000000,00000000,00000000,00000000,00000000
6,1500.0,5,4362B9C0,3936651E,4204E41D,00000000,00000000,00000000,00000000,00000000
6,1500.0,6,4361E3F5,3908867F,41F9E55F,00000000,00000000,00000000,00000000,00000000
6,1500.0,7,4362D794,390105A1,41EC2179,00000000,00000000,00000000,00000000,00000000
6,1500.0,8,43675C9A,39384D61,41DFCB2A,00000000,00000000,00000000,00000000,00000000
6,1500.0,9,436B7F32,397ACE50,41D49AD5,00000000,00000000,00000000,00000000,00000000
6,1500.0,10,436F4EEF,39A42D62,41CA5CB1,00000000,00000000,00000000,00000000,00000000
6,1500.0,11,4372D828,39E262F9,41C0E9FA,00000000,00000000,00000000,00000000,00000000
6,1500.0,12,437624B3,3A1B0772,41B824EA,00000000,00000000,00000000,00000000,00000000
6,1500.0,13,43793C78,3A4E2B3A,41AFF614,00000000,00000000,00000000,00000000,00000000
6,1500.0,14,437C24CF,3A85ED42,41A84AB7,00000000,00000000,00000000,00000000,00000000
6,1500.0,15,437EE2EE,3AAA7524,41A1138C,00000000,00000000,00000000,00000000,00000000
6,1500.0,16,4380BEDF,3AD4817A,419A43FF,00000000,00000000,00000000,00000000,00000000
6,1500.0,17,4381FC7B,3B0225E9,4193D184,00000000,00000000,00000000,00000000,00000000
6,1500.0,18,43832BC4,3B1D0381,418DB342,00000000,00000000,00000000,00000000,00000000
6,1500.0,19,43844DEC,3B3AEE23,4187E1A5,00000000,00000000,00000000,00000000,00000000
6,1500.0,20,438563F7,3B5BF518,41825636,00000000,00000000,00000000,00000000,00000000
6,1500.0,21,43866EBE,3B801064,417A16B0,00000000,00000000,00000000,00000000,00000000
6,1500.0,22,43876F05,3B93B96A,416FF85D,00000000,00000000,00000000,00000000,00000000
6,1500.0,23,43886554,3BA8EEB6,416648F3,00000000,00000000,00000000,00000000,00000000
6,1500.0,24,43895035,3BBFBE8E,415D0101,00000000,00000000,00000000,00000000,00000000
6,1500.0,25,438A3109,3BD8368C,415419F5,00000000,00000000,00000000,00000000,00000000
6,1500.0,26,438B0939,3BEFDD07,414B8E1E,00000000,00000000,00000000,00000000,00000000
6,1500.0,27,438BD937,3C03360E,41435873,00000000,00000000,00000000,00000000,00000000
6,1500.0,28,438CA163,3C0EE833,413B746D,00000000,00000000,00000000,00000000,00000000
6,1500.0,29,438D621D,3C1AFDF0,4133DE0C,00000000,00000000,00000000,00000000,00000000
6,1500.0,30,438E1BB1,3C276FA5,412C91C0,00000000,00000000,00000000,00000000,00000000
6,1500.0,31,438ECE62,3C3434E0,41258C6F,00000000,00000000,00000000,00000000,00000000
6,1500.0,32,438F7A6F,3C41451B,411ECB54,00000000,00000000,00000000,00000000,00000000
6,1500.0,33,4390200F,3C4E96FB,41184C10,00000000,00000000,00000000,00000000,00000000
6,1500.0,34,4390BF6D,3C5C209D,41120C90,00000000,00000000,00000000,00000000,00000000
6,1500.0,35,439158B2,3C69D751,410C0B1A,00000000,00000000,00000000,00000000,00000000
6,1500.0,36,4391EBFA,3C77AFCD,41064642,00000000,00000000,00000000,00000000,00000000
6,1500.0,37,4392795F,3C82CF13,4100BCE4,00000000,00000000,00000000,00000000,00000000
6,1500.0,38,439300EC,3C89CA6C,40F6DC71,00000000,00000000,00000000,00000000,00000000
6,1500.0,39,439382AC,3C90C31D,40ECB394,00000000,00000000,00000000,00000000,00000000
6,1500.0,40,4393FE98,3C97B11E,40E2FF0C,00000000,00000000,00000000,00000000,00000000
6,1500.0,41,439474A4,3C9E12A8,40D9BF9C,00000000,00000000,00000000,00000000,00000000
6,1500.0,42,4394E4B2,3CA41B0B,40D0F702,00000000,00000000,00000000,00000000,00000000
6,1500.0,43,43954E96,3CA9F918,40C8A838,00000000,00000000,00000000,00000000,00000000
6,1500.0,44,4395B20D,3CAFA214,40C0D7D2,00000000,00000000,00000000,00000000,B7BA5555
