case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qc_after,qs_after,qh_after
8,1, 1.0000000000000000E+000, 1.1060000658035278E+000, 8.5200000000000000E+004, 9.5524096488952637E-001, 2.5800000000000000E+002, 1.2000000569969416E-003, 2.5000001187436283E-004, 2.7008892822265625E+002, 1.3735436368733644E-003, 1.0000000474974513E-003, 1.1052425537109375E+003, 4.9999998736893758E-005, 1.2045140625000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7010848999023438E+002, 1.3735436368733644E-003, 9.3758525326848030E-004, 1.0975605468750000E+003, 4.9967708037002012E-005, 1.2037362304687500E+004, 6.2447084928862751E-005, 7.6819791793823242E+000, 6.9385642120778357E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.1080000400543213E+000, 8.4850000000000000E+004, 9.5411741733551025E-001, 2.4800000000000000E+002, 2.0000000949949026E-003, 5.0000002374872565E-004, 2.5992608642578125E+002, 5.7806749828159809E-004, 2.0000000949949026E-003, 4.7746469116210938E+002, 9.9999997473787516E-005, 3.1911520996093750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5996896362304688E+002, 5.7806749828159809E-004, 1.8512327224016190E-003, 4.7032159423828125E+002, 9.9871234851889312E-005, 9.9871240234375000E+003, 1.4889614249113947E-004, 7.1431188583374023E+000, 1.6544014158625941E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 1.1100000143051147E+000, 8.4500000000000000E+004, 9.5299053192138672E-001, 2.4000000000000000E+002, 4.0000001899898052E-003, 1.0000000474974513E-003, 2.5183880615234375E+002, 2.7227826649323106E-004, 2.0000000949949026E-003, 5.9683086395263672E+001, 1.9999999494757503E-004, 8.4544061279296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5189207458496094E+002, 2.7227826649323106E-004, 1.8000000854954123E-003, 1.7392077636718750E+002, 1.9974281894974411E-004, 1.9974283203125000E+004, 2.0025718549732119E-004, 1.4707228660583496E+001, 2.2250797826472990E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 1.1119999885559082E+000, 8.4150000000000000E+004, 9.5186036825180054E-001, 2.6500000000000000E+002, 1.1999999696854502E-004, 3.9999998989515007E-005, 2.7840219116210938E+002, 2.4432693608105183E-003, 4.9999998882412910E-003, 5.5262130000000000E+006, 2.0000000949949026E-003, 1.0090169600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7856774902343750E+002, 2.4432693608105183E-003, 4.4999998062849045E-003, 5.4944850000000000E+006, 1.9932598806917667E-003, 1.0056164800000000E+008, 5.0674023805186152E-004, 3.1728527343750000E+004, 5.6304469353563036E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,2, 1.0000000000000000E+001, 9.6000003814697266E-001, 8.0000000000000000E+004, 9.3819642066955566E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.8245684814453125E+002, 2.5700137484818697E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8245684814453125E+002, 2.5700137484818697E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 9.6200001239776611E-001, 7.9650000000000000E+004, 9.3702107667922974E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 9.9999997473787516E-005, 2.8281112670898438E+002, 2.5813071988523006E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8281112670898438E+002, 2.5813071988523006E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 9.6400004625320435E-001, 7.9300000000000000E+004, 9.3584203720092773E-001, 2.6500000000000000E+002, 7.9999997979030013E-005, 9.9999997473787516E-005, 2.8316744995117188E+002, 2.5927000679075718E-003, 5.0000002374872565E-004, 1.8650972500000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8316760253906250E+002, 2.5927000679075718E-003, 4.9955258145928383E-004, 1.8634273750000000E+006, 1.9999999494757503E-005, 6.9724460937500000E+004, 4.4741642568624229E-007, 4.3484893798828125E+001, 4.9712933769541223E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 9.6600002050399780E-001, 7.8950000000000000E+004, 9.3465930223464966E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 7.9999999798019417E-006, 2.8352575683593750E+002, 2.6041939854621887E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.1023156000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8352575683593750E+002, 2.6041939854621887E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9944163796026260E-005, 2.8988608000000000E+007, 5.5836103740602994E-008, 1.1707771419011692E-009, 6.2040116100003928E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,2, 1.0000000000000000E+001, 9.6800005435943604E-001, 7.8600000000000000E+004, 9.3347281217575073E-001, 2.7100000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.9031375122070312E+002, 4.1284314356744289E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9033132934570312E+002, 4.1284314356744289E-003, 4.5000002137385309E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0061853125000000E+006, 5.0000002374872565E-005, 0.0000000000000000E+000, 5.5555560152242833E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2, 1.0000000000000000E+001, 9.7000002861022949E-001, 7.8250000000000000E+004, 9.3228256702423096E-001, 2.6900000000000000E+002, 3.0000001424923539E-004, 3.9999998989515007E-005, 2.8853912353515625E+002, 3.5710507072508335E-003, 5.0000002374872565E-004, 3.5367761718750000E+004, 1.9999999494757503E-005, 1.0090168750000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8855648803710938E+002, 3.5710507072508335E-003, 4.5000002137385309E-004, 3.4553847656250000E+004, 1.9999999494757503E-005, 1.0061795000000000E+006, 5.0000002374872565E-005, 8.1391156005859375E+002, 5.5555560152242833E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,2, 1.0000000000000000E+001, 9.7200006246566772E-001, 7.7900000000000000E+004, 9.3108844757080078E-001, 2.6700000000000000E+002, 5.0000002374872565E-004, 7.9999997979030013E-005, 2.8676116943359375E+002, 3.0810018070042133E-003, 5.0000002374872565E-004, 7.6394350585937500E+003, 1.9999999494757503E-005, 1.3366079687500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8677832031250000E+002, 3.0810018070042133E-003, 4.5000002137385309E-004, 7.2955019531250000E+003, 1.9943532606703229E-005, 1.3328342187500000E+005, 5.0056471081916243E-005, 3.4393301391601562E+002, 5.5618293970383093E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,2, 1.0000000000000000E+001, 9.7400003671646118E-001, 7.7550000000000000E+004, 9.2989057302474976E-001, 2.6300000000000000E+002, 7.9999997979030013E-004, 1.5000000712461770E-004, 2.8282897949218750E+002, 2.2649376187473536E-003, 5.0000002374872565E-004, 1.8650970458984375E+003, 1.9999999494757503E-005, 2.1372230468750000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8284570312500000E+002, 2.2649376187473536E-003, 4.5000002137385309E-004, 1.7984824218750000E+003, 1.9943265215260908E-005, 2.1311603515625000E+004, 5.0056736654369161E-005, 6.6614700317382812E+001, 5.5618599503759469E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 1.0000000000000000E+001, 9.7600001096725464E-001, 7.7200000000000000E+004, 9.2868876457214355E-001, 2.5800000000000000E+002, 1.2000000569969416E-003, 2.5000001187436283E-004, 2.7781103515625000E+002, 1.5158796450123191E-003, 1.0000000474974513E-003, 1.1052425537109375E+003, 4.9999998736893758E-005, 1.2045140625000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7784326171875000E+002, 1.5158796450123191E-003, 9.0000004274770617E-004, 1.0330786132812500E+003, 4.9715057684807107E-005, 1.1976498046875000E+004, 1.0028494580183178E-004, 7.2163986206054688E+001, 1.1142771683125829E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2, 1.0000000000000000E+001, 9.7800004482269287E-001, 7.6850000000000000E+004, 9.2748308181762695E-001, 2.4800000000000000E+002, 2.0000000949949026E-003, 5.0000002374872565E-004, 2.6739031982421875E+002, 6.3824368407949805E-004, 2.0000000949949026E-003, 4.7746469116210938E+002, 9.9999997473787516E-005, 3.1911520996093750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6744958496093750E+002, 6.3824368407949805E-004, 1.8000000854954123E-003, 4.2971823120117188E+002, 9.8863434686791152E-005, 9.8863427734375000E+003, 2.0113657228648663E-004, 4.7746467590332031E+001, 2.2348507400238304E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,2, 1.0000000000000000E+001, 9.8000001907348633E-001, 7.6500000000000000E+004, 9.2627346515655518E-001, 2.4000000000000000E+002, 4.0000001899898052E-003, 1.0000000474974513E-003, 2.5910275268554688E+002, 3.0075182439759374E-004, 2.0000000949949026E-003, 5.9683086395263672E+001, 1.9999999494757503E-004, 8.4544061279296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5915756225585938E+002, 3.0075182439759374E-004, 1.8000000854954123E-003, 1.6976519775390625E+002, 1.9772948871832341E-004, 1.9772949218750000E+004, 2.0227053028065711E-004, 1.8862800598144531E+001, 2.2474502259228757E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,2, 1.0000000000000000E+001, 9.8200005292892456E-001, 7.6150000000000000E+004, 9.2505991458892822E-001, 2.6500000000000000E+002, 1.1999999696854502E-004, 3.9999998989515007E-005, 2.8646792602539062E+002, 2.6999490801244974E-003, 4.9999998882412910E-003, 5.5262130000000000E+006, 2.0000000949949026E-003, 1.0090169600000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8663827514648438E+002, 2.6999490801244974E-003, 4.4999998062849045E-003, 5.2280505000000000E+006, 1.9404772901907563E-003, 9.7898720000000000E+007, 5.5952282855287194E-004, 7.9156242187500000E+004, 6.2169209513740498E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
