case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,target_rain_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
11,4,6, 1.0000000000000000E+003, 1.3202079534530640E+000, 8.7150000000000000E+004, 9.6144104003906250E-001, 2.2996299743652344E+002, 3.0000000260770321E-003, 2.3918574523925781E+002, 9.3507958808913827E-005, 1.0000000474974513E-003, 7.0735496520996094E+001, 3.0999997397884727E-004, 6.5783996582031250E+002, 3.4444440188963199E-007, 2.3942036437988281E+002, 9.3507958808913827E-005, 4.6566128730773926E-010, 8.5545562207698822E-002, 1.3099994976073503E-003, 7.5206842041015625E+002, 1.4555550933437189E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,7, 1.0000000000000000E+000, 1.0979443788528442E+000, 8.2000000000000000E+004, 9.4484305381774902E-001, 2.5992599487304688E+002, 1.0000000474974513E-003, 2.7509963989257812E+002, 1.6723697772249579E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.4313987500000000E+005, 1.6666667761455756E-006, 2.7509963989257812E+002, 1.6723697772249579E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1789250000000000E+005, 1.6666667761455756E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,7, 1.0000000000000000E+000, 1.0932533740997314E+000, 8.1650000000000000E+004, 9.4368833303451538E-001, 2.5992599487304688E+002, 1.0000000474974513E-003, 2.7543627929687500E+002, 1.6795386327430606E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 5.2000000141561031E-004, 7.3564906250000000E+005, 1.3000000080864993E-006, 2.7543627929687500E+002, 1.6795386327430606E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 5.2000000141561031E-004, 9.1956140625000000E+004, 1.3000000080864993E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,7, 1.0000000000000000E+000, 1.0469635725021362E+000, 8.1300000000000000E+004, 9.4253003597259521E-001, 2.6992599487304688E+002, 5.0000002374872565E-004, 2.8638449096679688E+002, 3.6845875438302755E-003, 3.1622775713913143E-004, 4.8316010742187500E+003, 5.4000003729015589E-004, 6.1115462500000000E+005, 1.0800000609378912E-006, 2.8638449096679688E+002, 3.6845875438302755E-003, 3.1622775713913143E-004, 4.8316010742187500E+003, 5.4000003729015589E-004, 7.6394335937500000E+004, 1.0800000609378912E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,7, 1.0000000149011612E-001, 1.0496499538421631E+000, 8.0950000000000000E+004, 9.4136822223663330E-001, 2.6814898681640625E+002, 3.0000001424923539E-004, 2.8485025024414062E+002, 3.2364220824092627E-003, 3.1622775713913143E-004, 2.2368525390625000E+004, 5.6000001495704055E-004, 5.2815831250000000E+005, 9.3333335371426074E-007, 2.8485025024414062E+002, 3.2364220824092627E-003, 3.1622775713913143E-004, 2.2368525390625000E+004, 5.6000001495704055E-004, 6.6019796875000000E+004, 9.3333341055767960E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,8, 5.0000000000000000E-001, 1.0500756502151489E+000, 8.0600000000000000E+004, 9.4020277261734009E-001, 2.6692599487304688E+002, 3.0000001424923539E-004, 2.8390258789062500E+002, 2.9609317425638437E-003, 6.3245551427826285E-004, 4.4737050781250000E+004, 5.7999999262392521E-004, 1.0940421250000000E+006, 1.9333333511895034E-006, 2.8390258789062500E+002, 2.9609317425638437E-003, 6.3245551427826285E-004, 4.4737050781250000E+004, 5.7999999262392521E-004, 1.3675528125000000E+005, 1.9333333511895034E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,8, 1.0000000000000000E+000, 1.0536732673645020E+000, 8.0250000000000000E+004, 9.3903368711471558E-001, 2.6492599487304688E+002, 5.0000002374872565E-004, 2.8212619018554688E+002, 2.5472475681453943E-003, 1.2649110285565257E-003, 1.9326404296875000E+004, 6.0000002849847078E-004, 8.4882587500000000E+005, 1.5000000530562829E-006, 2.8212619018554688E+002, 2.5472475681453943E-003, 1.2649110285565257E-003, 1.9326404296875000E+004, 6.0000002849847078E-004, 1.0610324218750000E+005, 1.5000000530562829E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,8, 5.0000000000000000E+000, 1.0697977542877197E+000, 7.9900000000000000E+004, 9.3786102533340454E-001, 2.5992599487304688E+002, 1.0000000474974513E-003, 2.7714767456054688E+002, 1.7163244774565101E-003, 1.8973667174577713E-003, 3.6237011718750000E+003, 6.2000000616535544E-004, 7.0169600000000000E+005, 1.2399999604895129E-006, 2.7714767456054688E+002, 1.7163244774565101E-003, 1.8973667174577713E-003, 3.6237011718750000E+003, 6.2000000616535544E-004, 8.7712007812500000E+004, 1.2399999604895129E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,4,8, 1.5000000000000000E+001, 1.0863852500915527E+000, 7.9550000000000000E+004, 9.3668460845947266E-001, 2.5492599487304688E+002, 2.0000000949949026E-003, 2.7215777587890625E+002, 1.1355908354744315E-003, 2.5298220571130514E-003, 6.0395013427734375E+002, 6.3999998383224010E-004, 6.0360943750000000E+005, 1.0666666412362247E-006, 2.7229647827148438E+002, 1.1355908354744315E-003, 2.0849108695983887E-003, 6.0200909423828125E+002, 1.0849111713469028E-003, 7.5453132812500000E+004, 1.5610124819431803E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1,9, 3.0000000000000000E+001, 1.1035113334655762E+000, 7.9200000000000000E+004, 9.3550449609756470E-001, 2.4992599487304688E+002, 4.0000001899898052E-003, 2.6715637207031250E+002, 7.3685852112248540E-004, 3.1622778624296188E-003, 9.4367218017578125E+001, 6.6000001970678568E-004, 1.2449446250000000E+006, 2.2000001536071068E-006, 2.6809313964843750E+002, 7.3685852112248540E-004, 2.9820250347256660E-005, 1.6306138610839844E+002, 3.7924577482044697E-003, 1.5575328125000000E+005, 5.6805088206601795E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2,9, 6.0000000000000000E+001, 1.1447364091873169E+000, 7.8850000000000000E+004, 9.3432068824768066E-001, 2.3992599487304688E+002, 6.0000000521540642E-003, 2.5679190063476562E+002, 2.8967190883122385E-004, 3.1622778624296188E-003, 2.7960660934448242E+001, 6.8000005558133125E-004, 9.6200268750000000E+005, 1.7000000980260666E-006, 2.5765042114257812E+002, 2.8967190883122385E-004, 4.7730281949043274E-008, 7.4906582832336426E+000, 3.8422301877290010E-003, 1.2054109375000000E+005, 5.2135892474325374E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,9, 3.0000000000000000E+002, 1.1639914512634277E+000, 7.8500000000000000E+004, 9.3313312530517578E-001, 2.3492599487304688E+002, 7.9999997979030013E-005, 2.5176042175292969E+002, 1.7570675117895007E-004, 6.3245551427826285E-004, 2.3591810000000000E+006, 7.0000003324821591E-004, 7.9223750000000000E+005, 1.4000000874148100E-006, 2.5192294311523438E+002, 1.7570675117895007E-004, 6.1641912907361984E-008, 2.2993621826171875E+002, 1.3323938474059105E-003, 1.8849507812500000E+005, 2.1026598915341310E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,9, 1.0000000000000000E+003, 1.1840525865554810E+000, 7.8150000000000000E+004, 9.3194174766540527E-001, 2.2992599487304688E+002, 3.0000000260770321E-003, 2.4671713256835938E+002, 1.0384652705397457E-004, 3.1622778624296188E-003, 2.2368528747558594E+002, 7.2000001091510057E-004, 6.7906068750000000E+005, 1.2000000424450263E-006, 2.4748217773437500E+002, 1.0384652705397457E-004, 1.3969838619232178E-009, 2.6722314953804016E-001, 3.8822763599455357E-003, 8.5180570312500000E+004, 4.7136404646153096E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,10, 1.0000000000000000E+000, 9.7745829820632935E-001, 7.3000000000000000E+004, 9.1395431756973267E-001, 2.5988900756835938E+002, 1.0000000474974513E-003, 2.8435665893554688E+002, 1.8730427836999297E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 8.7059080600738525E-001, 1.5384615608127206E-006, 2.8435665893554688E+002, 1.8730427836999297E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.9176590442657471E+000, 1.5384615608127206E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,10, 1.0000000000000000E+000, 9.7276657819747925E-001, 7.2650000000000000E+004, 9.1269940137863159E-001, 2.5988900756835938E+002, 1.0000000474974513E-003, 2.8474765014648438E+002, 1.8820664845407009E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 1.0400000028312206E-003, 7.8469252586364746E-001, 1.3866666677131434E-006, 2.8474765014648438E+002, 1.8820664845407009E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 1.0400000028312206E-003, 3.5311167240142822E+000, 1.3866666677131434E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,10, 1.0000000000000000E+000, 9.3093842267990112E-001, 7.2300000000000000E+004, 9.1144013404846191E-001, 2.6988900756835938E+002, 5.0000002374872565E-004, 2.9611270141601562E+002, 4.1321129538118839E-003, 9.9999993108212948E-004, 1.5278863281250000E+004, 1.0800000745803118E-003, 7.1900558471679688E-001, 1.2705883136732155E-006, 2.9611270141601562E+002, 4.1321129538118839E-003, 9.9999993108212948E-004, 1.5278863281250000E+004, 1.0800000745803118E-003, 3.2355251312255859E+000, 1.2705883136732155E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
