case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,w_m_s,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
8,1,6, 3.0000000000000000E+001, 9.1000000000000000E+004, 9.7339719533920288E-001, 1.1740702390670776E+000, 2.6950000000000000E+002, 6.0000002384185791E-001, 1.0000000000000000E+001, 3.2075464259833097E-003, 2.7686538696289062E+002, 9.9999999747524271E-007, 9.9999999590400000E+011, 3.6734691200000000E+008, 3.1963107176125050E-003, 2.7689425659179688E+002, 1.2235629583301488E-005, 3.6513001600000000E+008, 2.2455798400000000E+008
9,2,6, 6.0000000000000000E+001, 9.0827000000000000E+004, 9.7286772727966309E-001, 1.1709547042846680E+000, 2.6969000244140625E+002, 1.5000000000000000E+000, 1.0000000149011612E-001, 3.2889472786337137E-003, 2.7721136474609375E+002, 1.0000000474974513E-003, 1.0000000000000000E+003, 4.8979593600000000E+008, 3.2674572430551052E-003, 2.7726657104492188E+002, 1.0214900830760598E-003, 5.1523968000000000E+007, 4.3937718400000000E+008
10,3,6, 1.0000000000000000E+000, 9.0654000000000000E+004, 9.7233760356903076E-001, 1.1678286790847778E+000, 2.6988000488281250E+002, 3.0000000000000000E+000, 3.0000000000000000E+000, 3.3918409608304501E-003, 2.7755792236328125E+002, 9.9999997473787516E-006, 5.0000000000000000E+008, 4.0816328125000000E+005, 3.3746429253369570E-003, 2.7760211181640625E+002, 2.7198071620659903E-005, 5.0040819200000000E+008, 0.0000000000000000E+000
11,4,6, 5.0000000000000000E+000, 9.0481000000000000E+004, 9.7180676460266113E-001, 1.1645755767822266E+000, 2.7007000732421875E+002, 1.0000000000000000E+001, 3.0000000000000000E+001, 3.6812040489166975E-003, 2.7790505981445312E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 0.0000000000000000E+000, 3.5010513383895159E-003, 2.7836822509765625E+002, 6.8015279248356819E-004, 2.5000001600000000E+008, 0.0000000000000000E+000
0,1,7, 1.0000000000000000E+000, 8.2000000000000000E+004, 9.4484305381774902E-001, 1.0274821519851685E+000, 2.7700000000000000E+002, 5.0999999046325684E-001, 5.0000000745058060E-002, 6.1365305446088314E-003, 2.9317037963867188E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 2.0408163200000000E+008, 6.1337025836110115E-003, 2.9317779541015625E+002, 1.0282818402629346E-004, 1.3552878400000000E+008, 1.6855286400000000E+008
1,2,7, 5.0000000000000000E+000, 8.1827000000000000E+004, 9.4427275657653809E-001, 1.0245429277420044E+000, 2.7719000244140625E+002, 7.5000000000000000E-001, 5.0000000000000000E-001, 6.2472163699567318E-003, 2.9354864501953125E+002, 4.9999998736893758E-005, 2.0000000000000000E+008, 4.0816328000000000E+007, 6.2326639890670776E-003, 2.9358688354492188E+002, 6.4552601543255150E-005, 2.4081633600000000E+008, 0.0000000000000000E+000
2,3,7, 1.0000000000000000E+001, 8.1654000000000000E+004, 9.4370156526565552E-001, 1.0216065645217896E+000, 2.7738000488281250E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 6.3603855669498444E-003, 2.9392767333984375E+002, 1.9999999494757503E-004, 3.0000000000000000E+008, 3.0612243200000000E+008, 6.3314912840723991E-003, 2.9400363159179688E+002, 2.2889421961735934E-004, 4.0034870400000000E+008, 2.0577374400000000E+008
3,4,7, 3.0000000000000000E+001, 8.1481000000000000E+004, 9.4312947988510132E-001, 1.0186437368392944E+000, 2.7757000732421875E+002, 2.0000000000000000E+000, 5.0000000000000000E+000, 6.5234247595071793E-003, 2.9430743408203125E+002, 5.0000002374872565E-004, 5.0000000000000000E+007, 4.0816326400000000E+008, 6.4640790224075317E-003, 2.9446350097656250E+002, 5.5934558622539043E-004, 2.2528870400000000E+008, 2.3287457600000000E+008
4,1,8, 6.0000000000000000E+001, 7.3000000000000000E+004, 9.1395431756973267E-001, 8.8743180036544800E-001, 2.8450000000000000E+002, 5.0000000000000000E+000, 2.0000000000000000E+001, 1.2022994458675385E-002, 3.1128469848632812E+002, 1.0000000474974513E-003, 8.0000000000000000E+008, 8.1632650000000000E+006, 1.1826988309621811E-002, 3.1181301879882812E+002, 1.1960064293816686E-003, 8.0816332800000000E+008, 0.0000000000000000E+000
5,2,8, 1.0000000000000000E+000, 7.2827000000000000E+004, 9.1333454847335815E-001, 8.8371127843856812E-001, 2.8469000244140625E+002, 2.0000000000000000E+001, 0.0000000000000000E+000, 1.3947634957730770E-002, 3.1170397949218750E+002, 3.0000001424923539E-004, 1.5000000000000000E+008, 3.2653062400000000E+008, 1.3690935447812080E-002, 3.1239624023437500E+002, 5.5669946596026421E-004, 1.5000000000000000E+008, 3.2653062400000000E+008
