case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,cloud_diameter_m,snow_diameter_m,theta_before_k,qv_before,qc_before,qnc_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qc_after,qnc_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg
8,1, 1.0000000000000000E+000, 1.1060000658035278E+000, 8.5200000000000000E+004, 9.5524096488952637E-001, 2.5000000000000000E+002, 7.0000001869630069E-005, 8.0000003799796104E-003, 2.6171408081054688E+002, 6.8951369030401111E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 7.4603862762451172E+000, 2.6171426391601562E+002, 6.8951369030401111E-004, 4.9933517584577203E-004, 2.7803490000000000E+006, 2.0066482829861343E-004, 7.4603857994079590E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,1, 1.0000000000000000E+000, 1.1080000400543213E+000, 8.4850000000000000E+004, 9.5411741733551025E-001, 2.5050000000000000E+002, 2.4999999368446879E-005, 6.9999997504055500E-004, 2.6254629516601562E+002, 7.2391971480101347E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 1.1136206250000000E+005, 2.6254629516601562E+002, 7.2391971480101347E-004, 9.8667794645734830E-007, 1.2060261718750000E+005, 2.0000133663415909E-003, 1.1136206250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
10,1, 1.0000000000000000E+000, 1.1100000143051147E+000, 8.4500000000000000E+004, 9.5299053192138672E-001, 2.5100000000000000E+002, 4.9999998736893758E-005, 2.0000000949949026E-003, 2.6338140869140625E+002, 7.5989833567291498E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 2.3873236179351807E+000, 2.6338140869140625E+002, 7.5989833567291498E-004, 9.9999341182410717E-004, 1.5278773000000000E+007, 1.0066726190416375E-006, 2.3873236179351807E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,1, 1.0000000000000000E+000, 1.1119999885559082E+000, 8.4150000000000000E+004, 9.5186036825180054E-001, 2.5150000000000000E+002, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.6421942138671875E+002, 7.9751451266929507E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 7.6394366455078125E+002, 2.6423934936523438E+002, 7.9751451266929507E-004, 1.9331549992784858E-003, 7.2110435000000000E+006, 5.0668451003730297E-003, 7.6394366455078125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
0,2, 1.0000000000000000E+001, 9.6000003814697266E-001, 8.0000000000000000E+004, 9.3819642066955566E-001, 2.5000000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.6646871948242188E+002, 7.3433201760053635E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6646871948242188E+002, 7.3433201760053635E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2, 1.0000000000000000E+001, 9.6200001239776611E-001, 7.9650000000000000E+004, 9.3702107667922974E-001, 2.5050000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.6733657836914062E+002, 7.7118130866438150E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 2.6733657836914062E+002, 7.7118130866438150E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 1.4147103125000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
2,2, 1.0000000000000000E+001, 9.6400004625320435E-001, 7.9300000000000000E+004, 9.3584203720092773E-001, 2.5100000000000000E+002, 7.9999999798019417E-006, 1.9999999494757503E-005, 2.6820767211914062E+002, 8.0972776049748063E-004, 5.0000002374872565E-004, 1.8650970880000000E+009, 1.9999999494757503E-004, 4.7746486400000000E+008, 2.6820965576171875E+002, 8.0972776049748063E-004, 4.9346347805112600E-004, 1.8407144960000000E+009, 2.0653652609325945E-004, 4.7746486400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000
3,2, 1.0000000000000000E+001, 9.6600002050399780E-001, 7.8950000000000000E+004, 9.3465930223464966E-001, 2.5150000000000000E+002, 1.4999999621068127E-005, 7.9999997979030013E-005, 2.6908200073242188E+002, 8.5004238644614816E-004, 5.0000002374872565E-004, 2.8294214400000000E+008, 1.9999999494757503E-004, 7.4603885000000000E+006, 2.6908380126953125E+002, 8.5004238644614816E-004, 4.9411662621423602E-004, 2.7961280000000000E+008, 2.0588336337823421E-004, 7.4603885000000000E+006, 0.0000000000000000E+000, 0.0000000000000000E+000
4,2, 1.0000000000000000E+001, 9.6800005435943604E-001, 7.8600000000000000E+004, 9.3347281217575073E-001, 2.5200000000000000E+002, 2.9999999242136255E-005, 1.9999999494757503E-004, 2.6995965576171875E+002, 8.9219934307038784E-004, 5.0000002374872565E-004, 3.5367768000000000E+007, 1.9999999494757503E-004, 4.7746484375000000E+005, 2.6996145629882812E+002, 8.9219934307038784E-004, 4.9414188833907247E-004, 3.4953392000000000E+007, 2.0585811580531299E-004, 4.7746484375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2, 1.0000000000000000E+001, 9.7000002861022949E-001, 7.8250000000000000E+004, 9.3228256702423096E-001, 2.5250000000000000E+002, 3.9999998989515007E-005, 5.0000002374872565E-004, 2.7084063720703125E+002, 9.3627575552091002E-004, 5.0000002374872565E-004, 1.4920778000000000E+007, 1.9999999494757503E-004, 3.0557742187500000E+004, 2.7084243774414062E+002, 9.3627575552091002E-004, 4.9416319234296679E-004, 1.4746598000000000E+007, 2.0583682635333389E-004, 3.0557742187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000
6,2, 1.0000000000000000E+001, 9.7200006246566772E-001, 7.7900000000000000E+004, 9.3108844757080078E-001, 2.5300000000000000E+002, 4.9999998736893758E-005, 1.0000000474974513E-003, 2.7172500610351562E+002, 9.8235136829316616E-004, 5.0000002374872565E-004, 7.6394375000000000E+006, 1.9999999494757503E-004, 3.8197177734375000E+003, 2.7172680664062500E+002, 9.8235136829316616E-004, 4.9415568355470896E-004, 7.5501420000000000E+006, 2.0584434969350696E-004, 3.8197177734375000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
7,2, 1.0000000000000000E+001, 9.7400003671646118E-001, 7.7550000000000000E+004, 9.2989057302474976E-001, 2.5350000000000000E+002, 5.9999998484272510E-005, 3.0000000260770321E-003, 2.7261273193359375E+002, 1.0305085452273488E-003, 5.0000002374872565E-004, 4.4209710000000000E+006, 1.9999999494757503E-004, 1.4147105407714844E+002, 2.7261456298828125E+002, 1.0305085452273488E-003, 4.9414503155276179E-004, 4.3692015000000000E+006, 2.0585500169545412E-004, 1.4147105407714844E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
8,2, 1.0000000000000000E+001, 9.7600001096725464E-001, 7.7200000000000000E+004, 9.2868876457214355E-001, 2.5000000000000000E+002, 7.0000001869630069E-005, 8.0000003799796104E-003, 2.6919674682617188E+002, 7.6096586417406797E-004, 5.0000002374872565E-004, 2.7840510000000000E+006, 1.9999999494757503E-004, 7.4603862762451172E+000, 2.6919851684570312E+002, 7.6096586417406797E-004, 4.9413309898227453E-004, 2.7513832500000000E+006, 2.0586693426594138E-004, 7.4603862762451172E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2, 1.0000000000000000E+001, 9.7800004482269287E-001, 7.6850000000000000E+004, 9.2748308181762695E-001, 2.5050000000000000E+002, 2.4999999368446879E-005, 6.9999997504055500E-004, 2.7008578491210938E+002, 7.9927896149456501E-004, 9.9999999747524271E-007, 1.2223099218750000E+005, 2.0000000949949026E-003, 1.1136206250000000E+005, 2.7008581542968750E+002, 7.9927896149456501E-004, 8.9999997499035089E-007, 1.1000789062500000E+005, 2.0000999793410301E-003, 1.1136206250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000
10,2, 1.0000000000000000E+001, 9.8000001907348633E-001, 7.6500000000000000E+004, 9.2627346515655518E-001, 2.5100000000000000E+002, 4.9999998736893758E-005, 2.0000000949949026E-003, 2.7097830200195312E+002, 8.3936483133584261E-004, 1.0000000474974513E-003, 1.5278875000000000E+007, 9.9999999747524271E-007, 2.3873236179351807E+000, 2.7097833251953125E+002, 8.3936483133584261E-004, 9.9994114134460688E-004, 1.5277975000000000E+007, 1.0589116072878824E-006, 2.3873236179351807E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,2, 1.0000000000000000E+001, 9.8200005292892456E-001, 7.6150000000000000E+004, 9.2505991458892822E-001, 2.5150000000000000E+002, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.7187426757812500E+002, 8.8129809591919184E-004, 2.0000000949949026E-003, 7.4603890000000000E+006, 4.9999998882412910E-003, 7.6394366455078125E+002, 2.7193560791015625E+002, 8.8129809591919184E-004, 1.8000000854954123E-003, 6.7143500000000000E+006, 5.2000000141561031E-003, 7.6394372558593750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000
0,3, 6.0000000000000000E+001, 8.3000004291534424E-001, 7.2000000000000000E+004, 9.1035729646682739E-001, 2.5000000000000000E+002, 1.9999999494757503E-005, 3.0000001424923539E-004, 2.7461746215820312E+002, 8.1592448987066746E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7461746215820312E+002, 8.1592448987066746E-004, 5.0000002374872565E-004, 1.1936622400000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
