case,column,k,dt_s,rho_kg_m3,dz_m,qg_before,ng_before_per_kg,qvolg_before_m3_per_kg,qg_after,ng_after_per_kg,qvolg_after_m3_per_kg,graupelncv_kg_m2
2,6,4, 1.0000000000000000E+001, 1.1589999198913574E+000, 1.1650000000000000E+002, 1.3717999536311254E-006, 3.4810546875000000E+001, 8.0694118054225328E-009, 4.4297207750787493E-006, 3.3194896697998047E+001, 1.5209304038421578E-008, 5.3612179726769682E-006
2,1,5, 1.0000000000000000E+001, 1.0720000267028809E+000, 1.1600000000000000E+002, 4.9999996554106474E-004, 1.0834038085937500E+004, 1.4184396377459052E-006, 5.9724436141550541E-004, 1.0622435546875000E+004, 1.4988416978667374E-006, 0.0000000000000000E+000
2,2,5, 1.0000000000000000E+001, 1.0789999961853027E+000, 1.1950000000000000E+002, 8.4898871136829257E-004, 5.9194233398437500E+003, 1.5868947684793966E-006, 8.6907733930274844E-004, 5.4198344726562500E+003, 1.4964407455408946E-006, 1.5208150446414948E-001
2,3,5, 1.0000000000000000E+001, 1.0860000848770142E+000, 1.2300000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,5, 1.0000000000000000E+001, 1.0930000543594360E+000, 1.2650000000000000E+002, 7.9999997979030013E-004, 1.0864971578121185E-001, 8.8888884874904761E-007, 1.9065275409957394E-005, 3.5073451697826385E-002, 2.1183646836675507E-008, 6.9841153919696808E-002
2,5,5, 1.0000000000000000E+001, 1.1000000238418579E+000, 1.3000000000000000E+002, 1.0000000116860974E-007, 1.9920134218409657E-004, 5.8823529380802597E-010, 1.0664962957207536E-007, 1.5435935974121094E+001, 3.9998770962057506E-010, 5.7377992135343447E-008
2,6,5, 1.0000000000000000E+001, 1.1069999933242798E+000, 1.3350000000000000E+002, 2.6064199118991382E-006, 0.0000000000000000E+000, 7.3940991107690479E-009, 1.8358214219915681E-006, 9.5927405357360840E-001, 3.4654707992132217E-009, 5.3612179726769682E-006
2,1,6, 1.0000000000000000E+001, 1.0199999809265137E+000, 1.3300000000000000E+002, 6.9999997504055500E-004, 5.9232714843750000E+003, 1.3084111287753331E-006, 7.4753648368641734E-004, 5.6762973632812500E+003, 1.2866372571807005E-006, 0.0000000000000000E+000
2,2,6, 1.0000000000000000E+001, 1.0269999504089355E+000, 1.3650000000000000E+002, 6.4810056937858462E-004, 1.1343007812500000E+003, 9.0327603174955584E-007, 6.1988079687580466E-004, 1.0215026245117188E+003, 8.5282619011195493E-007, 1.5208150446414948E-001
2,3,6, 1.0000000000000000E+001, 1.0340000391006470E+000, 1.4000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9006073125638068E-004, 9.9186315536499023E+000, 9.9394196695357095E-007, 0.0000000000000000E+000
2,4,6, 1.0000000000000000E+001, 1.0410000085830688E+000, 1.4350000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3723967131227255E-003, 7.3708812500000000E+004, 3.8736161513952538E-006, 6.9841153919696808E-002
2,5,6, 1.0000000000000000E+001, 1.0479999780654907E+000, 1.4700000000000000E+002, 9.9999999747524271E-007, 2.0066806030273438E+002, 2.8368793980604323E-009, 8.9799573288473766E-007, 1.9239762878417969E+002, 2.5475055398516133E-009, 5.7377992135343447E-008
2,6,6, 1.0000000000000000E+001, 1.0549999475479126E+000, 1.5050000000000000E+002, 4.9521977416588925E-006, 4.2964029312133789E+000, 9.2564444997833562E-009, 8.7724129116395488E-006, 4.0924124717712402E+000, 1.3963414424722487E-008, 5.3612179726769682E-006
2,1,7, 1.0000000000000000E+001, 9.6799993515014648E-001, 1.5000000000000000E+002, 6.9999997504055500E-004, 2.8295639648437500E+003, 9.7560973699728493E-007, 6.6201458685100079E-004, 2.6340822753906250E+003, 8.7196269760170253E-007, 0.0000000000000000E+000
2,2,7, 1.0000000000000000E+001, 9.7499996423721313E-001, 1.5350000000000000E+002, 4.9474666593596339E-004, 3.1107687377929688E+002, 5.4971849294815911E-007, 3.6361138336360455E-004, 3.0590347290039062E+002, 7.2304771947528934E-007, 1.5208150446414948E-001
2,3,7, 1.0000000000000000E+001, 9.8199993371963501E-001, 1.5700000000000000E+002, 3.9999998989515007E-004, 3.5950271606445312E+001, 2.3529410100309178E-006, 6.6623429302126169E-004, 3.3687347412109375E+001, 2.5726183139340719E-006, 0.0000000000000000E+000
2,4,7, 1.0000000000000000E+001, 9.8899996280670166E-001, 1.6050000000000000E+002, 1.5999999595806003E-003, 5.5480706691741943E-001, 4.5390070226858370E-006, 3.5620969720184803E-004, 1.0577559375000000E+005, 9.8285386229690630E-007, 6.9841153919696808E-002
2,5,7, 1.0000000000000000E+001, 9.9599993228912354E-001, 1.6400000000000000E+002, 9.9999999600419720E-013, 6.5057385256750422E-008, 1.8691588278926157E-015, 1.0318804838371776E-010, 2.3175583407919476E-007, 3.4430048872699515E-013, 5.7377992135343447E-008
2,6,7, 1.0000000000000000E+001, 1.0029999017715454E+000, 1.6750000000000000E+002, 9.4091756182024255E-006, 1.9965786933898926E+000, 1.3113833574607270E-008, 1.5763032934046350E-005, 1.9059398174285889E+000, 2.9511976862295342E-008, 5.3612179726769682E-006
2,1,8, 1.0000000000000000E+001, 9.1599994897842407E-001, 1.6700000000000000E+002, 4.9999996554106474E-004, 1.0935108642578125E+003, 5.5555551625730004E-007, 3.7205422995612025E-004, 1.0757937011718750E+003, 6.1547279983642511E-007, 0.0000000000000000E+000
2,2,8, 1.0000000000000000E+001, 9.2299997806549072E-001, 1.7050000000000000E+002, 3.7767944741062820E-004, 6.7013220214843750E+002, 2.2216438537725480E-006, 3.9165752241387963E-004, 6.4741333007812500E+002, 2.0432416931726038E-006, 1.5208150446414948E-001
2,3,8, 1.0000000000000000E+001, 9.2999994754791260E-001, 1.7400000000000000E+002, 5.9999997029080987E-004, 1.1837313652038574E+001, 1.7021275198203512E-006, 9.3854009173810482E-004, 1.0836709976196289E+001, 1.9239478206145577E-006, 0.0000000000000000E+000
2,4,8, 1.0000000000000000E+001, 9.3699997663497925E-001, 1.7750000000000000E+002, 3.9999998989515007E-004, 1.4279316250000000E+006, 7.4766353463928681E-007, 3.5441841464489698E-004, 1.3610847500000000E+006, 6.6246428787053446E-007, 6.9841153919696808E-002
2,5,8, 1.0000000000000000E+001, 9.4399994611740112E-001, 1.8100000000000000E+002, 9.9999999600419720E-012, 6.8424341748141160E-008, 1.3937282554996652E-014, 5.9654714501533590E-010, 3.5765981301665306E-003, 2.0922812093981946E-012, 5.7377992135343447E-008
2,6,8, 1.0000000000000000E+001, 9.5099997520446777E-001, 1.8450000000000000E+002, 1.7877433492685668E-005, 9.9200850725173950E-001, 1.9863815481357960E-008, 2.3694730771239847E-005, 1.3052829504013062E+000, 7.4380153591846465E-008, 5.3612179726769682E-006
2,1,9, 1.0000000000000000E+001, 8.6399996280670166E-001, 1.8400000000000000E+002, 2.9999998514540493E-004, 2.4643625488281250E+003, 1.7647057575231884E-006, 2.8072699205949903E-004, 2.3607204589843750E+003, 1.5859152426855871E-006, 0.0000000000000000E+000
2,2,9, 1.0000000000000000E+001, 8.7099999189376831E-001, 1.8750000000000000E+002, 2.8831275994889438E-004, 1.4670262145996094E+002, 8.1790852846097550E-007, 2.4781437241472304E-004, 3.9010897827148438E+002, 6.6146100152764120E-007, 1.5208150446414948E-001
2,3,9, 1.0000000000000000E+001, 8.7799996137619019E-001, 1.9100000000000000E+002, 7.9999997979030013E-004, 5.5778579711914062E+000, 1.4953270692785736E-006, 8.3491718396544456E-004, 4.9426646232604980E+000, 1.2950857808391447E-006, 0.0000000000000000E+000
2,4,9, 1.0000000000000000E+001, 8.8499999046325684E-001, 1.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1636240126099437E-004, 3.5556534375000000E+005, 4.9781334610088379E-007, 6.9841153919696808E-002
2,5,9, 1.0000000000000000E+001, 8.9199995994567871E-001, 1.9800000000000000E+002, 1.0000000133514320E-010, 1.6845629602357803E-007, 1.1111111217296937E-013, 1.9084525071377811E-009, 3.8335662335157394E-002, 5.9704103640145778E-012, 5.7377992135343447E-008
2,6,9, 1.0000000000000000E+001, 8.9899998903274536E-001, 2.0150000000000000E+002, 3.3967124181799591E-005, 3.2730944156646729E+000, 1.9980660681540030E-007, 1.0177750664297491E-004, 2.9359927177429199E+000, 3.2438285302305303E-007, 5.3612179726769682E-006
2,1,10, 1.0000000000000000E+001, 8.1199997663497925E-001, 2.0100000000000000E+002, 9.9999997473787516E-005, 2.9115667724609375E+002, 2.8368793891786481E-007, 7.9076475230976939E-005, 2.6713009643554688E+002, 2.2433042090597155E-007, 0.0000000000000000E+000
2,2,10, 1.0000000000000000E+001, 8.1900000572204590E-001, 2.0450000000000000E+002, 2.2009207168594003E-004, 1.5345529785156250E+003, 4.1138704887089261E-007, 2.2334630193654448E-004, 1.4468023681640625E+003, 3.9519358097095392E-007, 1.5208150446414948E-001
2,3,10, 1.0000000000000000E+001, 8.2599997520446777E-001, 2.0800000000000000E+002, 9.9999993108212948E-004, 3.1046199798583984E+000, 1.3937280982645461E-006, 2.4801091058179736E-004, 1.9741746187210083E+000, 3.4565988471513265E-007, 0.0000000000000000E+000
2,4,10, 1.0000000000000000E+001, 8.3300000429153442E-001, 2.1150000000000000E+002, 1.1999999405816197E-003, 2.5464782500000000E+006, 1.3333332162801526E-006, 1.8774183699861169E-003, 2.4055770000000000E+006, 6.0752540775865782E-006, 6.9841153919696808E-002
2,5,10, 1.0000000000000000E+001, 8.3999997377395630E-001, 2.1500000000000000E+002, 9.9999997171806854E-010, 3.8418825170083437E-006, 5.8823527646079121E-012, 8.1460873602168249E-009, 3.4455606341362000E-001, 2.2211361222490567E-011, 5.7377992135343447E-008
2,6,10, 1.0000000000000000E+001, 8.4700000286102295E-001, 2.1850000000000000E+002, 6.4537533035036176E-005, 0.0000000000000000E+000, 1.8308520566279185E-007, 1.1524527508299798E-004, 2.0382250845432281E-001, 2.0962080782283010E-007, 5.3612179726769682E-006
2,1,11, 1.0000000000000000E+001, 7.5999999046325684E-001, 2.1800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
