kind,column,lwp,iwp,reliq,dgice,band,tau,ssa,g
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,14, 3.2168921604752541E+000, 9.1820494830608368E-001, 7.7456221729516994E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,15, 3.0443249791860580E+000, 6.8940474092960369E-001, 8.2832208275794983E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,0, 5.2313942229375243E-001, 3.3272221684455872E-001, 7.7622328698635101E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,1, 4.9648409010842443E-001, 6.7244666814804088E-001, 8.5214316844940186E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,2, 4.8533896356821060E-001, 5.7265570759773254E-001, 9.1908164322376262E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,3, 4.7856612782925367E-001, 5.3040872514247894E-001, 9.3372917175292969E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,4, 4.7236516932025552E-001, 5.2372443675994873E-001, 9.3294055759906769E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,5, 4.4429865619167686E-001, 5.1894448697566986E-001, 9.5929118990898132E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,6, 4.7750718798488379E-001, 5.9201309084892262E-001, 9.5441463589668274E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,7, 4.7506880341097713E-001, 5.9300579130649567E-001, 9.4715671241283417E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,8, 4.7402401780709624E-001, 5.7270465791225433E-001, 9.5399340987205505E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,9, 4.7129019908607006E-001, 5.4774530231952678E-001, 9.6335370838642120E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,10, 4.7029614867642522E-001, 5.4550738632678986E-001, 9.6564333140850067E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,11, 4.7091509588062763E-001, 6.2205880880355835E-001, 9.2875853180885326E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,12, 4.7434997698292136E-001, 5.7123982906341553E-001, 9.5494888722896576E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,13, 4.7463422548025846E-001, 5.7017686963081371E-001, 9.5591920614242543E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,14, 4.8014449980109930E-001, 6.3118521869182587E-001, 9.2096540331840515E-001
lw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,15, 4.7453921474516392E-001, 5.6806248426437378E-001, 9.3345391750335682E-001
