d,h,pu,pq,pthnl,pthl,ptke
 2.5000000000000000E+002, 5.0000000000000000E+002, 7.1651619672775269E-001, 7.1348315477371216E-001, 6.4358264207839966E-001, 6.9895464181900024E-001, 7.1651619672775269E-001
 5.0000000000000000E+002, 5.0000000000000000E+002, 8.8211053609848022E-001, 9.0777575969696045E-001, 8.7931442260742188E-001, 9.0725374221801758E-001, 8.8211053609848022E-001
 7.0700000000000000E+002, 5.0000000000000000E+002, 9.2810821533203125E-001, 9.5155304670333862E-001, 9.4752353429794312E-001, 9.6147215366363525E-001, 9.2810821533203125E-001
 1.0000000000000000E+003, 5.0000000000000000E+002, 9.5687258243560791E-001, 9.7515833377838135E-001, 9.8539483547210693E-001, 9.8897236585617065E-001, 9.5687258243560791E-001
 1.4140000000000000E+003, 5.0000000000000000E+002, 9.7426104545593262E-001, 9.8741298913955688E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.7426104545593262E-001
 2.0000000000000000E+003, 5.0000000000000000E+002, 9.8463517427444458E-001, 9.9366694688796997E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8463517427444458E-001
 3.1620000000000000E+003, 5.0000000000000000E+002, 9.9217700958251953E-001, 9.9745631217956543E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9217700958251953E-001
 5.0000000000000000E+003, 5.0000000000000000E+002, 9.9597746133804321E-001, 9.9898105859756470E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9597746133804321E-001
 1.0000000000000000E+004, 5.0000000000000000E+002, 9.9850040674209595E-001, 9.9974513053894043E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9850040674209595E-001
 2.0000000000000000E+004, 5.0000000000000000E+002, 9.9942988157272339E-001, 9.9993622303009033E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9942988157272339E-001
 5.0000000000000000E+004, 5.0000000000000000E+002, 9.9983775615692139E-001, 9.9998980760574341E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9983775615692139E-001
 5.0000000000000000E+001, 1.0000000000000000E+003, 1.2935385107994080E-001, 5.9907823801040649E-002, 4.3858349323272705E-002, 8.3006620407104492E-002, 1.2935385107994080E-001
 1.0000000000000000E+002, 1.0000000000000000E+003, 2.2475466132164001E-001, 1.2068966031074524E-001, 1.3438916206359863E-001, 1.9736063480377197E-001, 2.2475466132164001E-001
 1.5800000000000000E+002, 1.0000000000000000E+003, 3.3042782545089722E-001, 2.2116002440452576E-001, 2.3204964399337769E-001, 3.0265745520591736E-001, 3.3042782545089722E-001
 2.5000000000000000E+002, 1.0000000000000000E+003, 4.7552391886711121E-001, 3.9465877413749695E-001, 3.7100374698638916E-001, 4.4100722670555115E-001, 4.7552391886711121E-001
 5.0000000000000000E+002, 1.0000000000000000E+003, 7.1651619672775269E-001, 7.1348315477371216E-001, 6.4358264207839966E-001, 6.9895464181900024E-001, 7.1651619672775269E-001
 7.0700000000000000E+002, 1.0000000000000000E+003, 8.1253463029861450E-001, 8.3164119720458984E-001, 7.7556270360946655E-001, 8.1833976507186890E-001, 8.1253463029861450E-001
 1.0000000000000000E+003, 1.0000000000000000E+003, 8.8211053609848022E-001, 9.0777575969696045E-001, 8.7931442260742188E-001, 9.0725374221801758E-001, 8.8211053609848022E-001
 1.4140000000000000E+003, 1.0000000000000000E+003, 9.2810821533203125E-001, 9.5155304670333862E-001, 9.4752353429794312E-001, 9.6147215366363525E-001, 9.2810821533203125E-001
 2.0000000000000000E+003, 1.0000000000000000E+003, 9.5687258243560791E-001, 9.7515833377838135E-001, 9.8539483547210693E-001, 9.8897236585617065E-001, 9.5687258243560791E-001
 3.1620000000000000E+003, 1.0000000000000000E+003, 9.7820657491683960E-001, 9.8990523815155029E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.7820657491683960E-001
 5.0000000000000000E+003, 1.0000000000000000E+003, 9.8895370960235596E-001, 9.9593722820281982E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.8895370960235596E-001
 1.0000000000000000E+004, 1.0000000000000000E+003, 9.9597746133804321E-001, 9.9898105859756470E-001, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.9597746133804321E-001
