case,k,ux,vx,tx,qvx,qcx,qix,p2d,pi2d,p2di_k,p2di_kp1,dz8w,rthraten,qmix,utnp,vtnp,ttnp,rthblten,qvtnp,qctnp,qitnp,exch_hx,exch_mx,qmixtnp,utnp_ctopo,vtnp_ctopo
1,28, 1.7966251373291016E+001, 4.8819999694824219E+000, 2.6157336425781250E+002, 4.9356865929439664E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9141875000000000E+004, 7.6491272449493408E-001, 4.0442289062500000E+004, 3.7841464843750000E+004, 5.6500000000000000E+002, 0.0000000000000000E+000, 2.4678432964719832E-004, 0.0000000000000000E+000,-5.2981907749938273E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4675180358811368E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0056958533823490E-002, 1.0022784024477005E-001, 3.2337590179405684E-013, 0.0000000000000000E+000,-5.2981907749938273E-009
1,29, 1.8828750610351562E+001, 5.3420000076293945E+000, 2.5915768432617188E+002, 3.9215688593685627E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6583070312500000E+004, 7.5027918815612793E-001, 3.7841464843750000E+004, 3.5324679687500000E+004, 5.8500000000000000E+002, 0.0000000000000000E+000, 1.9607844296842813E-004,-2.1192763099975309E-008,-1.5894572769070692E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7012773248722484E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0062247514724731E-002, 1.0024899244308472E-001, 4.8506386624361242E-013,-2.1192763099975309E-008,-1.5894572769070692E-008
1,30, 1.9721250534057617E+001, 5.8179998397827148E+000, 2.5665447998046875E+002, 3.0909912311471999E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4111234375000000E+004, 7.3543131351470947E-001, 3.5324679687500000E+004, 3.2897792968750000E+004, 6.0500000000000000E+002, 0.0000000000000000E+000, 1.5454956155735999E-004,-2.1192763099975309E-008,-5.2981907749938273E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4675180358811368E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0067929513752460E-002, 1.0027171671390533E-001, 3.2337590179405684E-013,-2.1192763099975309E-008,-5.2981907749938273E-009
1,31, 2.0643749237060547E+001, 6.3099999427795410E+000, 2.5406463623046875E+002, 2.4169146490748972E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1731708984375000E+004, 7.2039312124252319E-001, 3.2897792968750000E+004, 3.0565625000000000E+004, 6.2500000000000000E+002, 0.0000000000000000E+000, 1.2084573245374486E-004,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.8506386624361242E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0074020363390446E-002, 1.0029608756303787E-001, 2.4253193312180621E-013,-2.1192763099975309E-008,-1.0596381549987655E-008
1,32, 2.1596250534057617E+001, 6.8179998397827148E+000, 2.5138909912109375E+002, 1.8747810099739581E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9448837890625000E+004, 7.0518845319747925E-001, 3.0565625000000000E+004, 2.8332050781250000E+004, 6.4500000000000000E+002, 0.0000000000000000E+000, 9.3739050498697907E-005,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.4675180358811368E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0080550797283649E-002, 1.0032220929861069E-001, 3.2337590179405684E-013,-2.1192763099975309E-008,-1.0596381549987655E-008
1,33, 2.2578750610351562E+001, 7.3420000076293945E+000, 2.4862904357910156E+002, 1.4426645066123456E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7266013671875000E+004, 6.8984103202819824E-001, 2.8332050781250000E+004, 2.6199976562500000E+004, 6.6500000000000000E+002, 0.0000000000000000E+000, 7.2133225330617279E-005,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.8506386624361242E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0087547823786736E-002, 1.0035019367933273E-001, 2.4253193312180621E-013,-2.1192763099975309E-008,-1.0596381549987655E-008
1,34, 2.3591249465942383E+001, 7.8819999694824219E+000, 2.4578585815429688E+002, 1.1013005132554099E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5185689453125000E+004, 6.7437440156936646E-001, 2.6199976562500000E+004, 2.4171402343750000E+004, 6.8500000000000000E+002, 0.0000000000000000E+000, 5.5065025662770495E-005,-4.2385526199950618E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2337590179405684E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0095028206706047E-002, 1.0038011521100998E-001, 1.6168795089702842E-013,-4.2385526199950618E-008,-1.0596381549987655E-008
1,35, 2.4633750915527344E+001, 8.4379997253417969E+000, 2.4286106872558594E+002, 8.3401151641737670E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3209445312500000E+004, 6.5881174802780151E-001, 2.4171402343750000E+004, 2.2247488281250000E+004, 7.0500000000000000E+002, 0.0000000000000000E+000, 4.1700575820868835E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6168795089702842E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0103031992912292E-002, 1.0041213035583496E-001, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000
1,36, 2.5706249237060547E+001, 9.0099992752075195E+000, 2.3985641479492188E+002, 6.2656152294948697E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1338035156250000E+004, 6.4317601919174194E-001, 2.2247488281250000E+004, 2.0428580078125000E+004, 7.2500000000000000E+002, 0.0000000000000000E+000, 3.1328076147474349E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6168795089702842E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0111584328114986E-002, 1.0044633597135544E-001, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000
1,37, 2.6808750152587891E+001, 9.5979995727539062E+000, 2.3677377319335938E+002, 4.6696168283233419E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9571439453125000E+004, 6.2748956680297852E-001, 2.0428580078125000E+004, 1.8714298828125000E+004, 7.4500000000000000E+002, 0.0000000000000000E+000, 2.3348084141616710E-005,-4.2385526199950618E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0120714083313942E-002, 1.0048285871744156E-001, 4.0421987724257105E-014,-4.2385526199950618E-008,-1.0596381549987655E-008
1,38, 2.7941249847412109E+001, 1.0201999664306641E+001, 2.3361526489257812E+002, 3.4524255170254037E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7908939453125000E+004, 6.1177450418472290E-001, 1.8714298828125000E+004, 1.7103580078125000E+004, 7.6500000000000000E+002, 0.0000000000000000E+000, 1.7262127585127018E-005, 2.1192763099975309E-008, 1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0843975448514210E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0130452923476696E-002, 1.0052181035280228E-001, 4.0421987724257105E-014, 2.1192763099975309E-008, 1.0596381549987655E-008
1,39, 2.9103750228881836E+001, 1.0821999549865723E+001, 2.3038320922851562E+002, 2.5321709472336806E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6349169921875000E+004, 5.9605246782302856E-001, 1.7103580078125000E+004, 1.5594759765625000E+004, 7.8500000000000000E+002, 0.0000000000000000E+000, 1.2660854736168403E-005,-2.1192763099975309E-008,-1.0596381549987655E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.0632983280451552E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0140839964151382E-002, 1.0056336224079132E-001, 3.0316491640225776E-014,-2.1192763099975309E-008,-1.0596381549987655E-008
1,40, 3.0296249389648438E+001, 1.1457999229431152E+001, 2.2708004760742188E+002, 1.8424141671857797E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4890191406250000E+004, 5.8034437894821167E-001, 1.5594759765625000E+004, 1.4185624023437500E+004, 8.0500000000000000E+002, 0.0000000000000000E+000, 9.2120708359288983E-006,-1.9073486612342094E-007,-1.0596381372351971E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0105496761657687E-013, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0151902213692665E-002, 1.0060761123895645E-001, 5.0527483808288434E-014,-1.9073486612342094E-007,-1.0596381372351971E-007
2,1, 6.0187501907348633E+000,-1.4900000095367432E+000, 2.9989904785156250E+002, 1.1940149590373039E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9853156250000000E+004, 9.9958020448684692E-001, 1.0000000000000000E+005, 9.9706312500000000E+004, 2.5000000000000000E+001, 0.0000000000000000E+000, 5.9700747951865196E-003,-1.3922427315264940E-003, 4.6316519728861749E-004, 1.1205418268218637E-003, 1.1210123775526881E-003, 9.7199034598816070E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.2405035338124435E-007,-1.3922427315264940E-003, 4.6316519728861749E-004
