leaf,case,slot,name,index,baseline_bits,already_zero,noutputs_changed,max_abs_delta
rosr12,three_snow_layers,16,c,-1,BF2AF4F0,0,13,0.667799950
rosr12,three_snow_layers,17,c,0,BF9C0830,0,12,1.21899986
rosr12,three_snow_layers,18,c,1,BFFDB8BA,0,11,1.98219991
rosr12,three_snow_layers,19,c,2,BFC0AA64,0,10,1.50519991
rosr12,three_snow_layers,20,c,3,BF40AA64,0,9,0.752599955
rosr12,three_snow_layers,21,c,4,BE9D6388,0,0,0.00000000
rosr12,three_snow_layers,22,d,-2,3C9E44FA,0,14,0.291095376E-1
rosr12,three_snow_layers,23,d,-1,BD34E11E,0,13,0.162213683
rosr12,three_snow_layers,24,d,0,3DDC725C,0,12,0.522894740
rosr12,three_snow_layers,25,d,1,BE77C45E,0,11,0.827328324
rosr12,three_snow_layers,26,d,2,3D9E44FA,0,10,0.246897146
rosr12,three_snow_layers,27,d,3,BD0B6D87,0,9,0.867804140E-1
rosr12,three_snow_layers,28,d,4,3C07A8D6,0,8,0.103165507E-1
rosr12,three_snow_layers_alt,1,a,-2,BE855326,0,0,0.00000000
rosr12,three_snow_layers_alt,2,a,-1,BECA2339,0,13,0.199552812E-2
rosr12,three_snow_layers_alt,3,a,0,BF45D638,0,12,0.536822900E-2
rosr12,three_snow_layers_alt,4,a,1,BFE617C2,0,11,0.106413662E-1
rosr12,three_snow_layers_alt,5,a,2,BFAF41F2,0,10,0.198258907E-1
rosr12,three_snow_layers_alt,6,a,3,BF3D3C36,0,9,0.108311512E-2
rosr12,three_snow_layers_alt,7,a,4,BE96872B,0,8,0.216891663E-2
rosr12,three_snow_layers_alt,8,b,-2,3FF6C227,0,14,0.00000000
rosr12,three_snow_layers_alt,9,b,-1,4013C01B,0,13,0.848764598
rosr12,three_snow_layers_alt,10,b,0,404E64C4,0,12,0.839088261
rosr12,three_snow_layers_alt,11,b,1,40A6CA58,0,11,0.566672444
rosr12,three_snow_layers_alt,12,b,2,40872F1B,0,10,0.848336294E-1
rosr12,three_snow_layers_alt,13,b,3,40378BAD,0,9,0.213662624
rosr12,three_snow_layers_alt,14,b,4,4006CD9F,0,8,0.120354131
rosr12,three_snow_layers_alt,15,c,-2,BEB1F8A1,0,14,0.347600013
rosr12,three_snow_layers_alt,16,c,-1,BEFED289,0,13,0.497700006
rosr12,three_snow_layers_alt,17,c,0,BF689375,0,12,0.908500016
rosr12,three_snow_layers_alt,18,c,1,BFBD182B,0,11,1.47730005
rosr12,three_snow_layers_alt,19,c,2,BF8F9724,0,10,1.12179995
rosr12,three_snow_layers_alt,20,c,3,BF0F9724,0,9,0.560899973
rosr12,three_snow_layers_alt,21,c,4,BE6A9931,0,0,0.00000000
rosr12,three_snow_layers_alt,22,d,-2,3CE685DC,0,14,0.150908809E-1
rosr12,three_snow_layers_alt,23,d,-1,BD83BA35,0,13,0.305741895E-1
rosr12,three_snow_layers_alt,24,d,0,3E208AF0,0,12,0.579526462E-1
rosr12,three_snow_layers_alt,25,d,1,BEB47066,0,11,0.846709982E-1
rosr12,three_snow_layers_alt,26,d,2,3DE685DC,0,10,0.322079882E-1
rosr12,three_snow_layers_alt,27,d,3,BD4B1466,0,9,0.192848369E-1
rosr12,three_snow_layers_alt,28,d,4,3C45974E,0,8,0.590004027E-2
csnow,snow_free_isnow0,1,snice,-2,00000000,1,0,0.00000000
csnow,snow_free_isnow0,2,snice,-1,00000000,1,0,0.00000000
csnow,snow_free_isnow0,3,snice,0,00000000,1,0,0.00000000
csnow,snow_free_isnow0,4,snliq,-2,00000000,1,0,0.00000000
csnow,snow_free_isnow0,5,snliq,-1,00000000,1,0,0.00000000
csnow,snow_free_isnow0,6,snliq,0,00000000,1,0,0.00000000
csnow,snow_free_isnow0,7,dzsnso,-2,00000000,1,0,0.00000000
csnow,snow_free_isnow0,8,dzsnso,-1,00000000,1,0,0.00000000
csnow,snow_free_isnow0,9,dzsnso,0,00000000,1,0,0.00000000
csnow,single_thin_layer,1,snice,-2,00000000,1,0,0.00000000
csnow,single_thin_layer,2,snice,-1,00000000,1,0,0.00000000
csnow,single_thin_layer,3,snice,0,41466666,0,4,589912.812
csnow,single_thin_layer,4,snliq,-2,00000000,1,0,0.00000000
csnow,single_thin_layer,5,snliq,-1,00000000,1,0,0.00000000
csnow,single_thin_layer,6,snliq,0,3FF33333,0,3,165775.000
csnow,single_thin_layer,7,dzsnso,-2,00000000,1,0,0.00000000
csnow,single_thin_layer,8,dzsnso,-1,00000000,1,0,0.00000000
csnow,single_thin_layer,9,dzsnso,0,3D449BA6,0,5,1338312.25
csnow,two_layer_ripe,1,snice,-2,00000000,1,0,0.00000000
csnow,two_layer_ripe,2,snice,-1,42240000,0,4,693517.438
csnow,two_layer_ripe,3,snice,0,41D40000,0,4,852304.688
csnow,two_layer_ripe,4,snliq,-2,00000000,1,0,0.00000000
csnow,two_layer_ripe,5,snliq,-1,41166666,0,3,291608.875
csnow,two_layer_ripe,6,snliq,0,416CCCCD,0,3,872991.625
csnow,two_layer_ripe,7,dzsnso,-2,00000000,1,0,0.00000000
csnow,two_layer_ripe,8,dzsnso,-1,3E0A3D71,0,5,1108873.75
csnow,two_layer_ripe,9,dzsnso,0,3D916873,0,5,368703.750
csnow,three_layer_cold,1,snice,-2,42B0999A,0,4,826377.000
csnow,three_layer_cold,2,snice,-1,4252CCCD,0,4,813123.000
csnow,three_layer_cold,3,snice,0,41ACCCCD,0,4,795553.562
csnow,three_layer_cold,4,snliq,-2,3F666666,0,3,15447.5625
csnow,three_layer_cold,5,snliq,-1,3EB33333,0,3,9904.06250
csnow,three_layer_cold,6,snliq,0,3F866666,0,3,70925.8125
csnow,three_layer_cold,7,dzsnso,-2,3E79DB23,0,5,1252175.50
csnow,three_layer_cold,8,dzsnso,-1,3E178D50,0,5,1270973.00
csnow,three_layer_cold,9,dzsnso,0,3D7DF3B6,0,5,1227520.62
csnow,ice_saturated_clamp,1,snice,-2,00000000,1,0,0.00000000
csnow,ice_saturated_clamp,2,snice,-1,43520000,0,5,1326200.00
csnow,ice_saturated_clamp,3,snice,0,42C00000,0,5,1108588.25
csnow,ice_saturated_clamp,4,snliq,-2,00000000,1,0,0.00000000
csnow,ice_saturated_clamp,5,snliq,-1,42040000,0,1,1.48645687
csnow,ice_saturated_clamp,6,snliq,0,41400000,0,1,3.03218842
csnow,ice_saturated_clamp,7,dzsnso,-2,00000000,1,0,0.00000000
csnow,ice_saturated_clamp,8,dzsnso,-1,3E3851EC,0,1,0.00000000
csnow,ice_saturated_clamp,9,dzsnso,0,3D50E560,0,1,0.00000000
csnow,three_layer_dense,1,snice,-2,4306B333,0,4,1569346.62
csnow,three_layer_dense,2,snice,-1,428E6666,0,4,1343698.88
csnow,three_layer_dense,3,snice,0,41EE6666,0,4,1237259.75
csnow,three_layer_dense,4,snliq,-2,4019999A,0,3,51281.6250
csnow,three_layer_dense,5,snliq,-1,3FCCCCCD,0,3,55378.5000
csnow,three_layer_dense,6,snliq,0,40466666,0,3,236050.875
csnow,three_layer_dense,7,dzsnso,-2,3E48B439,0,5,473371.750
csnow,three_layer_dense,8,dzsnso,-1,3DF7CED9,0,5,694922.625
csnow,three_layer_dense,9,dzsnso,0,3D6147AE,0,5,620689.375
tdfcnd,wet_unfrozen_loam,1,smc,0,3E9A9FBE,0,1,1.00038934
tdfcnd,wet_unfrozen_loam,2,sh2o,0,3E9A9FBE,0,1,0.604394555
tdfcnd,wet_unfrozen_loam,3,smcmax,1,3EDE353F,0,1,0.00000000
tdfcnd,wet_unfrozen_loam,4,quartz,1,3E800000,0,1,0.205381393
tdfcnd,dry_below_kersten,1,smc,0,3CF5C28F,0,1,0.970095992E-1
tdfcnd,dry_below_kersten,2,sh2o,0,3CED9168,0,1,0.812050402E-1
tdfcnd,dry_below_kersten,3,smcmax,1,3ED2F1AA,0,1,0.00000000
tdfcnd,dry_below_kersten,4,quartz,1,3EA3D70A,0,1,0.255381763E-1
tdfcnd,partly_frozen,1,smc,0,3E8FDF3B,0,1,1.07757413
tdfcnd,partly_frozen,2,sh2o,0,3DCED917,0,1,0.292672753
tdfcnd,partly_frozen,3,smcmax,1,3EE4DD2F,0,1,0.00000000
tdfcnd,partly_frozen,4,quartz,1,3E3851EC,0,1,0.151659131
tdfcnd,bone_dry_zero_smc,1,smc,0,00000000,1,0,0.00000000
tdfcnd,bone_dry_zero_smc,2,sh2o,0,00000000,1,0,0.00000000
tdfcnd,bone_dry_zero_smc,3,smcmax,1,3ED78D50,0,1,2.77320099
tdfcnd,bone_dry_zero_smc,4,quartz,1,3EB33333,0,0,0.00000000
tdfcnd,saturated_loam,1,smc,0,3EDE353F,0,1,1.19813275
tdfcnd,saturated_loam,2,sh2o,0,3EDE353F,0,1,1.12740064
tdfcnd,saturated_loam,3,smcmax,1,3EDE353F,0,1,0.00000000
tdfcnd,saturated_loam,4,quartz,1,3E851EB8,0,1,0.254522324
tdfcnd,quartz_rich_sand,1,smc,0,3E581062,0,1,2.11536980
tdfcnd,quartz_rich_sand,2,sh2o,0,3E581062,0,1,0.614864826
tdfcnd,quartz_rich_sand,3,smcmax,1,3EAD9168,0,1,0.00000000
tdfcnd,quartz_rich_sand,4,quartz,1,3F6B851F,0,1,1.31795311
tdfcnd,clay_wilting,1,smc,0,3E0D4FDF,0,1,0.441795677
tdfcnd,clay_wilting,2,sh2o,0,3D7DF3B6,0,1,0.163777113
tdfcnd,clay_wilting,3,smcmax,1,3EEF9DB2,0,1,0.00000000
tdfcnd,clay_wilting,4,quartz,1,3DCCCCCD,0,1,0.345141888E-1
thermoprop,bare_soil_wet,1,dzsnso,-2,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,2,dzsnso,-1,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,3,dzsnso,0,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,4,dzsnso,1,3DCCCCCD,0,2,0.00000000
thermoprop,bare_soil_wet,5,dzsnso,2,3E99999A,0,1,0.00000000
thermoprop,bare_soil_wet,6,dzsnso,3,3F19999A,0,1,0.00000000
thermoprop,bare_soil_wet,7,dzsnso,4,3F800000,0,1,0.00000000
thermoprop,bare_soil_wet,8,snice,-2,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,9,snice,-1,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,10,snice,0,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,11,snliq,-2,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,12,snliq,-1,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,13,snliq,0,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,14,smc,1,3E9A9FBE,0,3,632084.500
thermoprop,bare_soil_wet,15,smc,2,3E9374BC,0,3,602782.750
thermoprop,bare_soil_wet,16,smc,3,3E8AC083,0,3,567201.750
thermoprop,bare_soil_wet,17,smc,4,3E86A7F0,0,3,550457.750
thermoprop,bare_soil_wet,18,sh2o,1,3E9A9FBE,0,3,632387.875
thermoprop,bare_soil_wet,19,sh2o,2,3E9374BC,0,3,603072.125
thermoprop,bare_soil_wet,20,sh2o,3,3E8AC083,0,3,567474.000
thermoprop,bare_soil_wet,21,sh2o,4,3E86A7F0,0,3,550722.000
thermoprop,bare_soil_wet,22,stc,-2,438E8000,0,0,0.00000000
thermoprop,bare_soil_wet,23,stc,-1,438EB333,0,0,0.00000000
thermoprop,bare_soil_wet,24,stc,0,438EF333,0,0,0.00000000
thermoprop,bare_soil_wet,25,stc,1,438F199A,0,0,0.00000000
thermoprop,bare_soil_wet,26,stc,2,438F8CCD,0,0,0.00000000
thermoprop,bare_soil_wet,27,stc,3,43900000,0,0,0.00000000
thermoprop,bare_soil_wet,28,stc,4,43904CCD,0,0,0.00000000
thermoprop,bare_soil_wet,29,snowh,0,00000000,1,0,0.00000000
thermoprop,bare_soil_wet,30,dt,0,42700000,0,4,0.250322424E-3
thermoprop,bare_soil_wet,31,tg,0,43903333,0,0,0.00000000
thermoprop,bare_soil_wet,32,ur,0,406CCCCD,0,0,0.00000000
thermoprop,bare_soil_wet,33,lat,0,3F32B6AE,0,0,0.00000000
thermoprop,bare_soil_wet,34,z0m,0,3E19999A,0,0,0.00000000
thermoprop,bare_soil_wet,35,zlvl,0,41A00000,0,0,0.00000000
thermoprop,bare_soil_wet,36,smcmax,1,3EDE353F,0,3,867564.000
thermoprop,bare_soil_wet,37,smcmax,2,3EDE353F,0,3,867564.000
thermoprop,bare_soil_wet,38,smcmax,3,3EDE353F,0,3,867564.000
thermoprop,bare_soil_wet,39,smcmax,4,3EDE353F,0,3,867564.000
thermoprop,bare_soil_wet,40,csoil,0,49F42400,0,8,1132000.12
thermoprop,bare_soil_wet,41,quartz,1,3E800000,0,1,0.205381393
thermoprop,bare_soil_wet,42,quartz,2,3E75C28F,0,1,0.191586673
thermoprop,bare_soil_wet,43,quartz,3,3E6B851F,0,1,0.177004397
thermoprop,bare_soil_wet,44,quartz,4,3E6147AE,0,1,0.165886641
