call,a,b,result
logf,3E845E40,,BFAD2680
log10f,3E845E40,,BF166583
logf,3CBD5D3A,,C0711A7C
log10f,3CBD5D3A,,BFD16B78
logf,3E35ECDF,,BFDD2B08
log10f,3E35ECDF,,BF401AAB
logf,3D455CAD,,C0421831
log10f,3D455CAD,,BFA8969D
logf,45F89E75,,410FB4DE
log10f,45F89E75,,4079A4D0
logf,3ECB6007,,BF6C5B97
log10f,3ECB6007,,BECD4C39
logf,3CD43CF5,,C069CE1A
log10f,3CD43CF5,,BFCB149D
logf,35A8B865,,C1596341
log10f,35A8B865,,C0BCD210
logf,4193106F,,403A54D5
log10f,4193106F,,3FA1D86A
logf,42AD67B1,,408ECCA9
log10f,42AD67B1,,3FF8116C
logf,3E04B739,,C002C4D0
log10f,3E04B739,,BF632B2E
logf,368189FF,,C1476F66
log10f,368189FF,,C0AD3A28
logf,4511888F,,40F81888
log10f,4511888F,,40577E49
logf,386DC79F,,C11C7240
log10f,386DC79F,,C087E335
logf,37DD33A1,,C128B166
log10f,37DD33A1,,C092865C
logf,4584346A,,410599F6
log10f,4584346A,,406816E3
logf,44AAEE07,,40E70FEE
log10f,44AAEE07,,4048B2B6
logf,43CAFAFE,,40C03341
log10f,43CAFAFE,,4026F168
logf,40C24CC7,,3FE6DE8F
log10f,40C24CC7,,3F4887D5
logf,4533322B,,40FEC113
log10f,4533322B,,405D46D5
logf,37F29C6A,,C12736FE
log10f,37F29C6A,,C0913DAE
