name,value,bits
powf_fwet_87,4.868142605E-01,3EF93FB8
powf_fwet_88,4.905394018E-01,3EFB27FB
powf_fwet_89,4.942504466E-01,3EFD0E65
powf_fwet_90,4.979476631E-01,3EFEF2FF
powf_fwet_91,5.016312003E-01,3F006AE7
powf_fwet_92,5.053012967E-01,3F015B6D
powf_fwet_93,5.089581609E-01,3F024B15
powf_fwet_94,5.126019120E-01,3F0339E1
powf_fwet_95,5.162327886E-01,3F0427D5
powf_fwet_96,5.198509693E-01,3F0514F4
powf_fwet_97,5.234566331E-01,3F060141
powf_fwet_98,5.270498991E-01,3F06ECBE
powf_fwet_99,5.306310058E-01,3F07D76F
powf_fwet_100,5.342000723E-01,3F08C156
powf_fwet_101,5.377572775E-01,3F09AA76
powf_fwet_102,5.413028002E-01,3F0A92D2
powf_fwet_103,5.448367000E-01,3F0B7A6B
powf_fwet_104,5.483592749E-01,3F0C6146
powf_fwet_105,5.518705249E-01,3F0D4763
powf_fwet_106,5.553706884E-01,3F0E2CC6
powf_fwet_107,5.588598847E-01,3F0F1171
powf_fwet_108,5.623382330E-01,3F0FF566
powf_fwet_109,5.658058524E-01,3F10D8A7
powf_fwet_110,5.692628622E-01,3F11BB36
powf_fwet_111,5.727095008E-01,3F129D17
powf_fwet_112,5.761457682E-01,3F137E4A
powf_fwet_113,5.795718431E-01,3F145ED2
powf_fwet_114,5.829878449E-01,3F153EB1
powf_fwet_115,5.863938332E-01,3F161DE8
powf_fwet_116,5.897900462E-01,3F16FC7B
powf_fwet_117,5.931764841E-01,3F17DA6A
powf_fwet_118,5.965532660E-01,3F18B7B7
powf_fwet_119,5.999205709E-01,3F199465
powf_fwet_120,6.032784581E-01,3F1A7075
powf_fwet_121,6.066270471E-01,3F1B4BE9
powf_fwet_122,6.099664569E-01,3F1C26C3
powf_fwet_123,6.132967472E-01,3F1D0104
powf_fwet_124,6.166180372E-01,3F1DDAAE
powf_fwet_125,6.199303865E-01,3F1EB3C2
powf_fwet_126,6.232339144E-01,3F1F8C42
powf_fwet_127,6.265287995E-01,3F206431
powf_fwet_128,6.298149824E-01,3F213B8E
powf_fwet_129,6.330926418E-01,3F22125C
powf_fwet_130,6.363618970E-01,3F22E89D
powf_fwet_131,6.396227479E-01,3F23BE51
powf_fwet_132,6.428753138E-01,3F24937A
powf_fwet_133,6.461197138E-01,3F25681A
powf_fwet_134,6.493560076E-01,3F263C32
powf_fwet_135,6.525841951E-01,3F270FC2
powf_fwet_136,6.558045149E-01,3F27E2CE
powf_fwet_137,6.590169072E-01,3F28B555
powf_fwet_138,6.622215509E-01,3F29875A
powf_fwet_139,6.654183865E-01,3F2A58DC
powf_fwet_140,6.686076522E-01,3F2B29DF
powf_fwet_141,6.717892885E-01,3F2BFA62
powf_fwet_142,6.749634743E-01,3F2CCA68
powf_fwet_143,6.781302094E-01,3F2D99F1
powf_fwet_144,6.812895536E-01,3F2E68FE
powf_fwet_145,6.844416261E-01,3F2F3791
powf_fwet_146,6.875864267E-01,3F3005AA
powf_fwet_147,6.907240748E-01,3F30D34B
powf_fwet_148,6.938546300E-01,3F31A075
powf_fwet_149,6.969782114E-01,3F326D2A
powf_fwet_150,7.000947595E-01,3F333969
powf_fwet_151,7.032043934E-01,3F340534
powf_fwet_152,7.063071728E-01,3F34D08C
powf_fwet_153,7.094031572E-01,3F359B72
powf_fwet_154,7.124924660E-01,3F3665E8
powf_fwet_155,7.155750394E-01,3F372FED
powf_fwet_156,7.186510563E-01,3F37F984
powf_fwet_157,7.217204571E-01,3F38C2AC
powf_fwet_158,7.247833610E-01,3F398B67
powf_fwet_159,7.278398275E-01,3F3A53B6
powf_fwet_160,7.308899164E-01,3F3B1B9A
powf_fwet_161,7.339336276E-01,3F3BE313
powf_fwet_162,7.369710803E-01,3F3CAA23
powf_fwet_163,7.400023341E-01,3F3D70CB
powf_fwet_164,7.430273294E-01,3F3E370A
powf_fwet_165,7.460462451E-01,3F3EFCE3
powf_fwet_166,7.490590215E-01,3F3FC255
powf_fwet_167,7.520657778E-01,3F408762
powf_fwet_168,7.550665736E-01,3F414C0B
powf_fwet_169,7.580614090E-01,3F421050
powf_fwet_170,7.610503435E-01,3F42D432
powf_fwet_171,7.640334368E-01,3F4397B2
powf_fwet_172,7.670106888E-01,3F445AD0
powf_fwet_173,7.699822187E-01,3F451D8E
powf_fwet_174,7.729480267E-01,3F45DFEC
powf_fwet_175,7.759081721E-01,3F46A1EB
powf_fwet_176,7.788626552E-01,3F47638B
powf_fwet_177,7.818115950E-01,3F4824CE
powf_fwet_178,7.847549915E-01,3F48E5B4
powf_fwet_179,7.876928449E-01,3F49A63D
powf_fwet_180,7.906252742E-01,3F4A666B
powf_fwet_181,7.935522795E-01,3F4B263E
powf_fwet_182,7.964739203E-01,3F4BE5B7
powf_fwet_183,7.993901968E-01,3F4CA4D6
powf_fwet_184,8.023011684E-01,3F4D639C
powf_fwet_185,8.052068949E-01,3F4E220A
powf_fwet_186,8.081073761E-01,3F4EE020
powf_fwet_187,8.110026717E-01,3F4F9DDF
powf_fwet_188,8.138928413E-01,3F505B48
powf_fwet_189,8.167778850E-01,3F51185B
powf_fwet_190,8.196578622E-01,3F51D519
powf_fwet_191,8.225327730E-01,3F529182
powf_fwet_192,8.254026771E-01,3F534D97
powf_fwet_193,8.282675743E-01,3F540958
powf_fwet_194,8.311275840E-01,3F54C4C7
powf_fwet_195,8.339827061E-01,3F557FE4
powf_fwet_196,8.368328810E-01,3F563AAE
powf_fwet_197,8.396782875E-01,3F56F528
powf_fwet_198,8.425188661E-01,3F57AF51
powf_fwet_199,8.453546762E-01,3F58692A
powf_fwet_200,8.481857181E-01,3F5922B3
powf_fwet_201,8.510120511E-01,3F59DBED
powf_fwet_202,8.538337350E-01,3F5A94D9
powf_fwet_203,8.566507697E-01,3F5B4D77
powf_fwet_204,8.594631553E-01,3F5C05C7
powf_fwet_205,8.622709513E-01,3F5CBDCA
powf_fwet_206,8.650742173E-01,3F5D7581
powf_fwet_207,8.678729534E-01,3F5E2CEC
powf_fwet_208,8.706672192E-01,3F5EE40C
powf_fwet_209,8.734569550E-01,3F5F9AE0
powf_fwet_210,8.762422800E-01,3F60516A
powf_fwet_211,8.790231943E-01,3F6107AA
powf_fwet_212,8.817997575E-01,3F61BDA1
powf_fwet_213,8.845719099E-01,3F62734E
powf_fwet_214,8.873397112E-01,3F6328B2
powf_fwet_215,8.901032805E-01,3F63DDCF
powf_fwet_216,8.928624988E-01,3F6492A3
powf_fwet_217,8.956175447E-01,3F654731
powf_fwet_218,8.983682990E-01,3F65FB77
powf_fwet_219,9.011148810E-01,3F66AF77
powf_fwet_220,9.038572907E-01,3F676331
powf_fwet_221,9.065955877E-01,3F6816A6
powf_fwet_222,9.093297124E-01,3F68C9D5
powf_fwet_223,9.120597243E-01,3F697CBF
powf_fwet_224,9.147856832E-01,3F6A2F65
powf_fwet_225,9.175076485E-01,3F6AE1C8
powf_fwet_226,9.202255011E-01,3F6B93E6
powf_fwet_227,9.229394197E-01,3F6C45C2
powf_fwet_228,9.256493449E-01,3F6CF75B
powf_fwet_229,9.283552766E-01,3F6DA8B1
powf_fwet_230,9.310572743E-01,3F6E59C5
powf_fwet_231,9.337553978E-01,3F6F0A98
powf_fwet_232,9.364496469E-01,3F6FBB2A
powf_fwet_233,9.391400218E-01,3F706B7B
powf_fwet_234,9.418265224E-01,3F711B8B
powf_fwet_235,9.445092082E-01,3F71CB5B
powf_fwet_236,9.471881390E-01,3F727AEC
powf_fwet_237,9.498632550E-01,3F732A3D
powf_fwet_238,9.525346160E-01,3F73D94F
powf_fwet_239,9.552022815E-01,3F748823
powf_fwet_240,9.578661919E-01,3F7536B8
powf_fwet_241,9.605264068E-01,3F75E50F
