band,i,x_bits,y_bits,x,y
coarse,204,C2327852,1F462A12,-4.461750031E+01,4.196293064E-20
coarse,205,C2327666,1F46895F,-4.461562347E+01,4.204176159E-20
coarse,206,C232747B,1F46E8A9,-4.461375046E+01,4.212058286E-20
coarse,207,C232728F,1F474851,-4.461187363E+01,4.219970786E-20
coarse,208,C23270A4,1F47A7F6,-4.461000061E+01,4.227882316E-20
coarse,209,C2326EB8,1F4807FB,-4.460812378E+01,4.235824865E-20
coarse,210,C2326CCD,1F4867FC,-4.460625076E+01,4.243766122E-20
coarse,211,C2326AE1,1F48C85D,-4.460437393E+01,4.251738398E-20
coarse,212,C23268F6,1F4928BA,-4.460250092E+01,4.259709382E-20
coarse,213,C232670A,1F498978,-4.460062408E+01,4.267711708E-20
coarse,214,C232651F,1F49EA32,-4.459875107E+01,4.275712742E-20
coarse,215,C2326333,1F4A4B4D,-4.459687424E+01,4.283745118E-20
coarse,216,C2326148,1F4AAC63,-4.459500122E+01,4.291775879E-20
coarse,217,C2325F5C,1F4B0DDC,-4.459312439E+01,4.299838628E-20
coarse,218,C2325D71,1F4B6F50,-4.459125137E+01,4.307899762E-20
coarse,219,C2325B85,1F4BD126,-4.458937454E+01,4.315992561E-20
coarse,220,C232599A,1F4C32F8,-4.458750153E+01,4.324084067E-20
coarse,221,C23257AE,1F4C952C,-4.458562469E+01,4.332207239E-20
coarse,222,C23255C3,1F4CF75C,-4.458375168E+01,4.340329119E-20
coarse,223,C23253D7,1F4D59EF,-4.458187485E+01,4.348482987E-20
coarse,224,C23251EC,1F4DBC7D,-4.458000183E+01,4.356635240E-20
coarse,225,C2325000,1F4E1F6E,-4.457812500E+01,4.364819481E-20
coarse,226,C2324E14,1F4E828F,-4.457624817E+01,4.373019232E-20
coarse,227,C2324C29,1F4EE5AC,-4.457437515E+01,4.381217691E-20
coarse,228,C2324A3D,1F4F492C,-4.457249832E+01,4.389448138E-20
coarse,229,C2324852,1F4FACA9,-4.457062531E+01,4.397677615E-20
coarse,230,C2324666,1F501089,-4.456874847E+01,4.405939082E-20
coarse,231,C232447B,1F507464,-4.456687546E+01,4.414198933E-20
coarse,232,C232428F,1F50D8A4,-4.456499863E+01,4.422491418E-20
coarse,233,C23240A4,1F513CE0,-4.456312561E+01,4.430782611E-20
coarse,234,C2323EB8,1F51A181,-4.456124878E+01,4.439106439E-20
coarse,235,C2323CCD,1F52061D,-4.455937576E+01,4.447428652E-20
coarse,236,C2323AE1,1F526B1E,-4.455749893E+01,4.455783499E-20
coarse,237,C23238F6,1F52D01B,-4.455562592E+01,4.464137054E-20
coarse,238,C232370A,1F53357E,-4.455374908E+01,4.472523567E-20
coarse,239,C232351F,1F539ADC,-4.455187607E+01,4.480908464E-20
coarse,240,C2323333,1F5400A0,-4.454999924E+01,4.489326319E-20
coarse,241,C2323148,1F54665F,-4.454812622E+01,4.497742559E-20
coarse,242,C2322F5C,1F54CC85,-4.454624939E+01,4.506192080E-20
coarse,243,C2322D71,1F5532A7,-4.454437637E+01,4.514640308E-20
coarse,244,C2322B85,1F55992F,-4.454249954E+01,4.523121494E-20
coarse,245,C232299A,1F55FFB2,-4.454062653E+01,4.531601065E-20
coarse,246,C23227AE,1F56669D,-4.453874969E+01,4.540114239E-20
coarse,247,C23225C3,1F56CD83,-4.453687668E+01,4.548625799E-20
coarse,248,C23223D7,1F5734D1,-4.453499985E+01,4.557170962E-20
coarse,249,C23221EC,1F579C1A,-4.453312683E+01,4.565714510E-20
coarse,250,C2322000,1F5803CB,-4.453125000E+01,4.574291662E-20
coarse,251,C2321E14,1F586BAE,-4.452937317E+01,4.582884970E-20
coarse,252,C2321C29,1F58D38C,-4.452750015E+01,4.591476663E-20
coarse,253,C2321A3D,1F593BD3,-4.452562332E+01,4.600102282E-20
coarse,254,C2321852,1F59A415,-4.452375031E+01,4.608726286E-20
coarse,255,C2321666,1F5A0CC0,-4.452187347E+01,4.617384218E-20
coarse,256,C232147B,1F5A7567,-4.452000046E+01,4.626040857E-20
coarse,257,C232128F,1F5ADE77,-4.451812363E+01,4.634731423E-20
coarse,258,C23210A4,1F5B4782,-4.451625061E+01,4.643420374E-20
coarse,259,C2320EB8,1F5BB0F7,-4.451437378E+01,4.652143575E-20
coarse,260,C2320CCD,1F5C1A67,-4.451250076E+01,4.660865161E-20
