case,role,name,hex,value
veg_warm_day_dry,out,IRB,42B823EF,  9.207018280E+01
veg_warm_day_dry,out,TR,416E7654,  1.490388870E+01
veg_warm_day_dry,out,EVC,43977377,  3.029020691E+02
veg_warm_day_dry,out,CHLEAF,3E2A7D2F,  1.664931625E-01
veg_warm_day_dry,out,CHUC,3B0C0B05,  2.136887284E-03
veg_warm_day_dry,out,CHV2,3D34728D,  4.405455664E-02
veg_warm_day_dry,out,CHB2,3C329562,  1.089987345E-02
veg_warm_day_dry,out,EFLXB,80000000, -0.000000000E+00
veg_warm_day_dry,out,ACC_SSOIL,432931EA,  1.691949768E+02
veg_warm_night_rain,cfg,VEGTYP,0000000A,               10
veg_warm_night_rain,cfg,SOILTYPE,00000003,                3
veg_warm_night_rain,cfg,SLOPETYPE,00000001,                1
veg_warm_night_rain,cfg,SOILCOLOR,00000004,                4
veg_warm_night_rain,cfg,CROPTYPE,00000000,                0
veg_warm_night_rain,cfg,YEARLEN,0000016D,              365
veg_warm_night_rain,par,URBAN_FLAG,00000000,                0
veg_warm_night_rain,par,NROOT,00000003,                3
veg_warm_night_rain,par,ISBARREN,00000010,               16
veg_warm_night_rain,par,MFSNO,40000000,  2.000000000E+00
veg_warm_night_rain,par,SCFFAC,3CA3D70A,  1.999999955E-02
veg_warm_night_rain,par,Z0SNO,3B03126F,  2.000000095E-03
veg_warm_night_rain,par,Z0MVT,3DF5C28F,  1.199999973E-01
veg_warm_night_rain,par,HVT,3F800000,  1.000000000E+00
veg_warm_night_rain,par,CWPVT,40A00000,  5.000000000E+00
veg_warm_night_rain,par,SNOW_EMIS,3F733333,  9.499999881E-01
veg_warm_night_rain,par,RSURF_EXP,40A00000,  5.000000000E+00
veg_warm_night_rain,par,RSURF_SNOW,42480000,  5.000000000E+01
veg_warm_night_rain,par,EG_+1,3F7851EC,  9.700000286E-01
veg_warm_night_rain,par,EG_+2,3F7AE148,  9.800000191E-01
veg_warm_night_rain,par,SMCMAX_+1,3EDE353F,  4.339999855E-01
veg_warm_night_rain,par,SMCREF_+1,3E9FBE77,  3.120000064E-01
veg_warm_night_rain,par,SMCWLT_+1,3D408312,  4.699999839E-02
veg_warm_night_rain,par,PSISAT_+1,3E10624E,  1.410000026E-01
veg_warm_night_rain,par,BEXP_+1,4097AE14,  4.739999771E+00
veg_warm_night_rain,par,SMCMAX_+2,3EDE353F,  4.339999855E-01
veg_warm_night_rain,par,SMCREF_+2,3E9FBE77,  3.120000064E-01
veg_warm_night_rain,par,SMCWLT_+2,3D408312,  4.699999839E-02
veg_warm_night_rain,par,PSISAT_+2,3E10624E,  1.410000026E-01
veg_warm_night_rain,par,BEXP_+2,4097AE14,  4.739999771E+00
veg_warm_night_rain,par,SMCMAX_+3,3EDE353F,  4.339999855E-01
veg_warm_night_rain,par,SMCREF_+3,3E9FBE77,  3.120000064E-01
veg_warm_night_rain,par,SMCWLT_+3,3D408312,  4.699999839E-02
veg_warm_night_rain,par,PSISAT_+3,3E10624E,  1.410000026E-01
veg_warm_night_rain,par,BEXP_+3,4097AE14,  4.739999771E+00
veg_warm_night_rain,par,SMCMAX_+4,3EDE353F,  4.339999855E-01
veg_warm_night_rain,par,SMCREF_+4,3E9FBE77,  3.120000064E-01
veg_warm_night_rain,par,SMCWLT_+4,3D408312,  4.699999839E-02
veg_warm_night_rain,par,PSISAT_+4,3E10624E,  1.410000026E-01
veg_warm_night_rain,par,BEXP_+4,4097AE14,  4.739999771E+00
veg_warm_night_rain,seed,SHDFAC,3F3851EC,  7.200000286E-01
veg_warm_night_rain,seed,SHDMAX,3F4CCCCD,  8.000000119E-01
