# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
40123B8C,4433FBC6,44381431,424D5A3D,426E77AE
40126666,4434045E,44381E2E,424D62EA,426E8373
40133333,44342D74,44384DED,424D8C66,426EBBB6
40140000,44345691,44387DB9,424DB5E8,426EF404
401442D2,443463FD,44388D53,424DC375,426F0666
4014CCCD,44347FB7,4438AD8F,424DDF73,426F2C60
40155A30,44349C24,4438CE9C,424DFC24,426F534F
4015999A,4434A8E5,4438DD70,424E0903,426F64C7
40166666,4434D21B,44390D5D,424E329C,426F9D39
40169C53,4434DCF7,443919FE,424E3D91,426FAC19
40173333,4434FB5B,44393D56,424E5C3C,426FD5B8
4017AAD5,44351376,44395961,424E7490,426FF6BE
4017F4E0,44352264,44396ABD,424E839F,42700B31
40180000,443524A2,44396D59,424E85E3,42700E43
4018CCCD,44354DF1,44399D68,424EAF91,427046DA
40197E1D,443571BC,4439C70C,424ED3AD,427077E2
4019999A,44357749,4439CD82,424ED947,42707F7B
401A2028,44359277,4439ED22,424EF4B2,4270A4B8
401A6666,4435A0A9,4439FDA7,424F0303,4270B82A
401B3333,4435CA11,443A2DD8,424F2CC8,4270F0E4
401C0000,4435F383,443A5E14,424F5692,427129AA
401CC0AF,44361A88,443A8B80,424F7DEC,42715F20
401CCCCD,44361CFC,443A8E5B,424F8064,4271627D
401D999A,4436467D,443ABEAD,424FAA3E,42719B5B
401E6666,44367007,443AEF0B,424FD420,4271D445
401F3333,44369999,443B1F74,424FFE08,42720D3C
401F51C0,44369FCE,443B26AE,42500448,427215BD
40200000,4436C335,443B4FE9,425027F7,4272463E
4020CCCD,4436ECD8,443B8069,425051EE,42727F4C
40217ABA,4437103A,443BA9A3,42507597,4272AFCA
4021999A,44371684,443BB0F5,42507BEC,4272B867
40226666,44374037,443BE18C,4250A5F2,4272F18C
40227578,44374349,443BE520,4250A909,4272F5C1
40233333,443769F4,443C122E,4250CFFE,42732ABF
4023BBA3,443785C6,443C329B,4250EC05,427350E0
40240000,443793B9,443C42DC,4250FA12,427363FD
40243B54,44379FD3,443C50F7,42510644,42737494
4024CCCD,4437BD86,443C7395,4251242E,42739D48
4025999A,4437E75C,443CA459,42514E50,4273D69F
40266666,4438113A,443CD52A,4251787A,42741000
40273333,44383B20,443D0605,4251A2AB,4274496F
40280000,4438650F,443D36EB,4251CCE5,427482E9
4028CCCD,44388F06,443D67DE,4251F724,4274BC71
4029999A,4438B907,443D98DC,4252216C,4274F602
4029DFF7,4438C776,443DA9B4,42522FF4,427509CE
402A5282,4438DEF9,443DC521,4252479E,42752A09
402A6666,4438E30F,443DC9E5,42524BB9,42752FA2
402B3333,44390D20,443DFAFA,42527610,4275694D
402C0000,44393739,443E2C1A,4252A06C,4275A305
402CCCCD,4439615B,443E5D45,4252CAD1,4275DCC7
402D8001,4439863F,443E8855,4252EFF0,42760F5D
402D999A,44398B85,443E8E7D,4252F53D,42761697
402E6666,4439B5B8,443EBFBF,42531FB1,42765072
402F1B95,4439DB14,443EEB5E,42534544,427683AC
402F3333,4439DFF3,443EF10E,42534A2B,42768A5B
402FA228,4439F6D8,443F0BCA,42536132,4276A9BF
40300000,443A0A37,443F2268,425374AE,4276C44F
40300E0B,443A0D1C,443F25CB,42537798,4276C848
4030CCCD,443A3483,443F53CE,42539F37,4276FE4F
4031999A,443A5ED8,443F853F,4253C9C8,4277385B
40326666,443A8934,443FB6BB,4253F45F,42777273
40333333,443AB39B,443FE844,42541EFF,4277AC99
40340000,443ADE09,444019D7,425449A6,4277E6C9
40343164,443AE846,444025CE,425453F0,4277F4D3
4034CCCD,443B0880,44404B77,42547454,42782105
4035820B,443B2E1B,4440776B,42549A20,4278549A
4035999A,443B3300,44407D22,42549F09,42785B4F
40366666,443B5D87,4440AED9,4254C9C6,427895A6
4036B5A3,443B6DFE,4440C218,4254DA52,4278AC3B
40373333,443B8818,4440E09B,4254F48A,4278D007
40380000,443BB2B1,44411269,42551F57,42790A75
4038CCCD,443BDD53,44414443,42554A29,427944EF
4039999A,443C07FC,44417628,42557505,42797F76
403A6666,443C32B0,4441A818,42559FE7,4279BA09
403B3333,443C5D6B,4441DA15,4255CAD0,4279F4A7
403B8146,443C6DB7,4441ED27,4255DB2E,427A0B04
403C0000,443C882F,44420C1E,4255F5C1,427A2F54
403CCCCD,443CB2FC,44423E32,425620B9,427A6A0B
403CE0B5,443CB725,44424311,425624E6,427A6FC1
403D150F,443CC217,44424FE0,42562FE4,427A7EC5
403D999A,443CDDD1,44427052,42564BB9,427AA4CF
403E6666,443D08AF,4442A27D,425676BF,427ADF9F
403F3333,443D3395,4442D4B4,4256A1CF,427B1A7D
40400000,443D5E84,444306F7,4256CCE4,427B5565
4040CCCD,443D897B,44433946,4256F802,427B905B
4041999A,443DB47C,44436BA1,42572327,427BCB5D
4041A3EE,443DB6A7,44436E2B,42572555,427BCE57
40426666,443DDF85,44439E06,42574E53,427C066C
40433333,443E0A96,4443D079,42577988,427C4185
40434993,443E0F4B,4443D5FC,42577E3F,427C47FC
40440000,443E35B0,444402F6,4257A4C3,427C7CAD
40446C8D,443E4C8C,44441DBE,4257BBB0,427C9C0C
40448B14,443E52FB,44442547,4257C222,427CA4E0
4044CCCD,443E60D3,44443580,4257D006,427CB7E0
404567A7,443E8177,44445BBE,4257F0C0,427CE4AC
4045999A,443E8BFF,44446816,4257FB4F,427CF320
40463E55,443EAEBE,444490CE,42581E27,427D22D2
40466666,443EB733,44449AB6,425826A2,427D2E6C
4046C009,443ECA1F,4444B0E3,42583998,427D4865
40473333,443EE270,4444CD64,425851FA,427D69C4
40480000,443F0DB5,4445001C,42587D5B,427DA52B
404842FD,443F1BDF,444510B6,42588B8C,427DB89A
4048A728,443F310D,4445298B,4258A0C8,427DD5AD
4048CCCD,443F3904,444532E1,4258A8C4,427DE09C
4048D298,443F3A3D,44453450,4258A9FE,427DE24A
4049999A,443F645A,444565B2,4258D432,427E1C1A
404A3B68,443F869E,44458DE0,4258F689,427E4B22
404A6666,443F8FBA,4445988E,4258FFA9,427E57A4
404B3333,443FBB22,4445CB76,42592B29,427E933A
404B5621,443FC28A,4445D426,42593293,427E9D66
404C0000,443FE693,4445FE6B,425956AF,427ECEDE
404C99FE,44400743,444624C2,4259776E,427EFBBF
404CCCCD,4440120D,4446316B,4259823C,427F0A8D
404D999A,44403D8F,44466477,4259ADD1,427F464B
404E6666,4440691B,4446978F,4259D96D,427F8212
404F3333,444094AE,4446CAB2,425A0513,427FBDE9
40500000,4440C04B,4446FDE2,425A30BD,427FF9CB
405005D1,4440C188,4446FF56,425A31FC,427FFB7E
