tempc_c,rho_kg_m3,nifa_per_m3,xni_per_m3
-2.5000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+009, 6.9977606250000000E+005
-2.5000000000000000E+001, 1.0000000000000000E+000, 9.9989995520000000E+009, 1.1081626250000000E+006
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+003, 1.6398551025390625E+003
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+004, 1.6398551025390625E+003
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+005, 1.6764429931640625E+003
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+006, 7.7212709960937500E+003
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+007, 3.5562210937500000E+004
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+008, 1.6379051562500000E+005
-2.5000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+009, 7.5437743750000000E+005
-2.5000000000000000E+001, 1.2500000000000000E+000, 9.9989995520000000E+009, 1.1946291250000000E+006
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 7.6895520019531250E+002
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 7.6895520019531250E+002
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 2.1730349121093750E+003
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 1.3563341796875000E+004
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 8.4657750000000000E+004
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 5.2840481250000000E+005
-3.0000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 3.2981222500000000E+006
-3.0000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 5.7232315000000000E+006
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 1.4280596923828125E+003
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 1.4280596923828125E+003
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 2.4666032714843750E+003
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+006, 1.5395696289062500E+004
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+007, 9.6094679687500000E+004
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+008, 5.9979018750000000E+005
-3.0000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+009, 3.7436857500000000E+006
-3.0000000000000000E+001, 6.4999997615814209E-001, 9.9989995520000000E+009, 6.4964180000000000E+006
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+003, 2.1970151367187500E+003
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+004, 2.1970151367187500E+003
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+005, 2.6939899902343750E+003
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+006, 1.6814966796875000E+004
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+007, 1.0495328906250000E+005
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+008, 6.5508250000000000E+005
-3.0000000000000000E+001, 1.0000000000000000E+000, 5.0000000000000000E+009, 4.0888012500000000E+006
-3.0000000000000000E+001, 1.0000000000000000E+000, 9.9989995520000000E+009, 7.0952975000000000E+006
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+003, 2.7462687988281250E+003
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+004, 2.7462687988281250E+003
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+005, 2.8198984375000000E+003
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+006, 1.7600841796875000E+004
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+007, 1.0985845312500000E+005
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+008, 6.8569893750000000E+005
-3.0000000000000000E+001, 1.2500000000000000E+000, 5.0000000000000000E+009, 4.2798990000000000E+006
-3.0000000000000000E+001, 1.2500000000000000E+000, 9.9989995520000000E+009, 7.4269085000000000E+006
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+003, 1.1724598388671875E+003
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+004, 1.1724598388671875E+003
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+005, 3.9368227539062500E+003
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+006, 3.3300128906250000E+004
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+007, 2.8167346875000000E+005
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+008, 2.3825717500000000E+006
-3.5000000000000000E+001, 3.4999999403953552E-001, 5.0000000000000000E+009, 2.0153292000000000E+007
-3.5000000000000000E+001, 3.4999999403953552E-001, 9.9989995520000000E+009, 3.8322236000000000E+007
-3.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+003, 2.1774252929687500E+003
-3.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+004, 2.1774252929687500E+003
-3.5000000000000000E+001, 6.4999997615814209E-001, 5.0000000000000000E+005, 4.1180434570312500E+003
