phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
after,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.7968776226043701E+000, 5.0000000000000000E+002, 2.9740133666992188E+002, 2.7938269042968750E+002, 7.4573718011379242E-003, 3.8426782703027129E-004, 1.6793853137642145E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9750334375000000E+005, 1.0281440000000000E+006, 4.0328115200000000E+008, 1.0136591250000000E+006, 4.7368434024974704E-005, 4.9899999794433825E-006, 9.9899998531327583E-006, 8.3553361892700195E+000
after,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.5638670921325684E+000, 5.0000000000000000E+002, 2.9908929443359375E+002, 2.7599563598632812E+002, 6.2507232651114464E-003, 1.0038772597908974E-004, 4.1514198528602719E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9767340625000000E+005, 1.0614651250000000E+006, 4.2440320000000000E+008, 1.0644096250000000E+006, 2.9960838219267316E-005, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.9942934513092041E+000
after,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 9.6179926395416260E-001, 5.0000000000000000E+002, 3.0169189453125000E+002, 2.7347000122070312E+002, 4.9245450645685196E-003, 0.0000000000000000E+000, 2.5436261239519808E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5075459375000000E+005, 0.0000000000000000E+000, 4.4731408000000000E+008, 1.1179460000000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-2.5219974517822266E+001
after,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 4.1799622774124146E-001, 5.0000000000000000E+002, 3.0405609130859375E+002, 2.7073507690429688E+002, 3.8717209827154875E-003, 0.0000000000000000E+000, 1.3426415534922853E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0125865936279297E+001, 0.0000000000000000E+000, 4.6983577600000000E+008, 1.1743551250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.2837001681327820E-001, 5.0000000000000000E+002, 3.0596023559570312E+002, 2.6760888671875000E+002, 3.1302825082093477E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9349523200000000E+008, 1.2337306250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 2.7858518064022064E-002, 5.0000000000000000E+002, 3.0770776367187500E+002, 2.6437399291992188E+002, 2.5579703506082296E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.1847033600000000E+008, 1.2961757500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 4.2722462676465511E-003, 5.0000000000000000E+002, 3.0940216064453125E+002, 2.6112496948242188E+002, 2.0939742680639029E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4708268800000000E+008, 1.3617983750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2902908325195312E-001, 4.6297462540678680E-004, 5.0000000000000000E+002, 3.1105664062500000E+002, 2.5787500000000000E+002, 1.7143904697149992E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.2991152000000000E+008, 1.4307141250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1435638666152954E-001, 3.5453696909826249E-005, 5.0000000000000000E+002, 3.1267022705078125E+002, 2.5462500000000000E+002, 1.4036239590495825E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5091990400000000E+008, 1.5030436250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9994338750839233E-001, 1.9185342807759298E-006, 5.0000000000000000E+002, 3.1424099731445312E+002, 2.5137501525878906E+002, 1.1491900077089667E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.7367446400000000E+008, 1.5789148750000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
