phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
after,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9199978637695312E+002, 2.6000000000000000E+002, 1.8341341055929661E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0701029168558307E-005, 1.0113940334122162E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3709066240000000E+009, 5.6181908480000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 2.0039411901962012E-004, 2.2940046310424805E+001
after,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9726092529296875E+002, 2.6000000000000000E+002, 1.9527969416230917E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1693826965929475E-006, 2.0701172616099939E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5890014720000000E+009, 5.9816724480000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 1.2561836047098041E-004, 1.1947306632995605E+001
after,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0261682128906250E+002, 2.6000000000000000E+002, 2.0791625138372183E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1074111461748544E-007, 2.9894746944592043E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8212485120000000E+009, 6.3687475200000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 7.1407324867323041E-005,-3.5000000000000000E+001
after,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0806921386718750E+002, 2.6000000000000000E+002, 2.2137342020869255E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0685744640000000E+009, 6.7809576960000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2902908325195312E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1361987304687500E+002, 2.6000000000000000E+002, 2.3570489138364792E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.3319695360000000E+009, 7.2199495680000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,12, 5.7500000000000000E+003, 4.8736105468750000E+004, 8.1435638666152954E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1927053833007812E+002, 2.6000000000000000E+002, 2.5096789468079805E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.6124851200000000E+009, 7.6874746880000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,13, 6.2500000000000000E+003, 4.5783335937500000E+004, 7.9994338750839233E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2502301025390625E+002, 2.6000000000000000E+002, 2.6722345501184464E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9112432640000000E+009, 8.1854054400000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,14, 6.7500000000000000E+003, 4.3009464843750000E+004, 7.8578549623489380E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3087908935546875E+002, 2.6000000000000000E+002, 2.8453671839088202E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.2294394880000000E+009, 8.7157319680000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,15, 7.2500000000000000E+003, 4.0403652343750000E+004, 7.7187812328338623E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3684072875976562E+002, 2.6000000000000000E+002, 3.0297716148197651E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5683527680000000E+009, 9.2805877760000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
after,16, 7.7500000000000000E+003, 3.7955718750000000E+004, 7.5821697711944580E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.4290975952148438E+002, 2.6000000000000000E+002, 3.2261884771287441E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.9293419520000000E+009, 9.8822369280000000E+009, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
