temp_k,w_m_s,nccn_per_m3,activated_per_m3
 2.3800000000000000E+002, 1.0000000000000000E+000, 2.0000000000000000E+010, 3.5913797120000000E+009
 2.3800000000000000E+002, 3.1600000858306885E+000, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.3800000000000000E+002, 3.1600000858306885E+000, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.3800000000000000E+002, 3.1600000858306885E+000, 1.1100000000000000E+007, 1.1092252000000000E+007
 2.3800000000000000E+002, 3.1600000858306885E+000, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.3800000000000000E+002, 3.1600000858306885E+000, 1.0000000000000000E+008, 9.9669496000000000E+007
 2.3800000000000000E+002, 3.1600000858306885E+000, 3.1600000000000000E+008, 3.1156649600000000E+008
 2.3800000000000000E+002, 3.1600000858306885E+000, 1.0000000000000000E+009, 9.5146700800000000E+008
 2.3800000000000000E+002, 3.1600000858306885E+000, 3.1600000000000000E+009, 2.4713538560000000E+009
 2.3800000000000000E+002, 3.1600000858306885E+000, 1.0000000000000000E+010, 1.4622926080000000E+009
 2.3800000000000000E+002, 3.1600000858306885E+000, 2.0000000000000000E+010, 2.9245852160000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+001, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+001, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+001, 1.1100000000000000E+007, 1.1092252000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+001, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+001, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+001, 3.1600000000000000E+008, 3.1558412800000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+001, 1.0000000000000000E+009, 9.9421996800000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+001, 3.1600000000000000E+009, 3.0066357760000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+001, 1.0000000000000000E+010, 6.3202700800000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+001, 2.0000000000000000E+010, 1.2640540160000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+002, 5.0000000000000000E+006, 4.9965100000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+007, 9.9930200000000000E+006
 2.3800000000000000E+002, 1.0000000000000000E+002, 1.1100000000000000E+007, 1.1092253000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+002, 3.1600000000000000E+007, 3.1577942000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+008, 9.9930200000000000E+007
 2.3800000000000000E+002, 1.0000000000000000E+002, 3.1600000000000000E+008, 3.1577942400000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+009, 9.9930195200000000E+008
 2.3800000000000000E+002, 1.0000000000000000E+002, 3.1600000000000000E+009, 3.1577034240000000E+009
 2.3800000000000000E+002, 1.0000000000000000E+002, 1.0000000000000000E+010, 4.7898489600000000E+008
