max_cfl,target_cfl,mif,precision,last_S,last_Sn,last_Sd,out_S,out_Sn,out_Sd,out_real
 0.899999976E+00, 0.120000005E+01, 0.104999995E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.899999976E+00, 0.120000005E+01, 0.150999999E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.899999976E+00, 0.120000005E+01, 0.200000000E+01,100,30,0,1,39,9,10, 0.399000015E+02
 0.899999976E+00, 0.839999974E+00, 0.104999995E+01,100,30,0,1,27,0,1, 0.270000000E+02
 0.899999976E+00, 0.839999974E+00, 0.150999999E+01,100,30,0,1,27,0,1, 0.270000000E+02
 0.899999976E+00, 0.839999974E+00, 0.200000000E+01,100,30,0,1,27,0,1, 0.270000000E+02
 0.899999976E+00, 0.200000000E+01, 0.104999995E+01,100,30,0,1,66,3,5, 0.665999985E+02
 0.899999976E+00, 0.200000000E+01, 0.150999999E+01,100,30,0,1,66,3,5, 0.665999985E+02
 0.899999976E+00, 0.200000000E+01, 0.200000000E+01,100,30,0,1,66,3,5, 0.665999985E+02
 0.899999976E+00, 0.500000000E+00, 0.104999995E+01,100,30,0,1,9,9,10, 0.989999962E+01
 0.899999976E+00, 0.500000000E+00, 0.150999999E+01,100,30,0,1,9,9,10, 0.989999962E+01
 0.899999976E+00, 0.500000000E+00, 0.200000000E+01,100,30,0,1,9,9,10, 0.989999962E+01
 0.100000000E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.100000000E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.100000000E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,36,0,1, 0.360000000E+02
 0.100000000E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,22,4,5, 0.227999992E+02
 0.100000000E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,22,4,5, 0.227999992E+02
 0.100000000E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,22,4,5, 0.227999992E+02
 0.100000000E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.100000000E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.100000000E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,60,0,1, 0.600000000E+02
 0.100000000E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,7,1,2, 0.750000000E+01
 0.100000000E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,7,1,2, 0.750000000E+01
 0.100000000E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,7,1,2, 0.750000000E+01
 0.110000002E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,32,7,10, 0.327000008E+02
 0.110000002E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,32,7,10, 0.327000008E+02
 0.110000002E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,32,7,10, 0.327000008E+02
 0.110000002E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,19,1,2, 0.195000000E+02
 0.110000002E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,19,1,2, 0.195000000E+02
 0.110000002E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,19,1,2, 0.195000000E+02
 0.110000002E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,54,3,5, 0.545999985E+02
 0.110000002E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,54,3,5, 0.545999985E+02
 0.110000002E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,54,3,5, 0.545999985E+02
 0.110000002E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,5,2,5, 0.540000010E+01
 0.110000002E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,5,2,5, 0.540000010E+01
 0.110000002E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,5,2,5, 0.540000010E+01
 0.120000005E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.120000005E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.120000005E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,30,0,1, 0.300000000E+02
 0.120000005E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,16,1,2, 0.165000000E+02
 0.120000005E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,16,1,2, 0.165000000E+02
 0.120000005E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,16,1,2, 0.165000000E+02
 0.120000005E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.120000005E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.120000005E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,50,1,10, 0.500999985E+02
 0.120000005E+01, 0.500000000E+00, 0.104999995E+01,100,30,0,1,3,3,5, 0.359999990E+01
 0.120000005E+01, 0.500000000E+00, 0.150999999E+01,100,30,0,1,3,3,5, 0.359999990E+01
 0.120000005E+01, 0.500000000E+00, 0.200000000E+01,100,30,0,1,3,3,5, 0.359999990E+01
 0.129999995E+01, 0.120000005E+01, 0.104999995E+01,100,30,0,1,26,2,5, 0.263999996E+02
 0.129999995E+01, 0.120000005E+01, 0.150999999E+01,100,30,0,1,26,2,5, 0.263999996E+02
 0.129999995E+01, 0.120000005E+01, 0.200000000E+01,100,30,0,1,26,2,5, 0.263999996E+02
 0.129999995E+01, 0.839999974E+00, 0.104999995E+01,100,30,0,1,14,1,10, 0.141000004E+02
 0.129999995E+01, 0.839999974E+00, 0.150999999E+01,100,30,0,1,14,1,10, 0.141000004E+02
 0.129999995E+01, 0.839999974E+00, 0.200000000E+01,100,30,0,1,14,1,10, 0.141000004E+02
 0.129999995E+01, 0.200000000E+01, 0.104999995E+01,100,30,0,1,46,1,5, 0.462000008E+02
 0.129999995E+01, 0.200000000E+01, 0.150999999E+01,100,30,0,1,46,1,5, 0.462000008E+02
 0.129999995E+01, 0.200000000E+01, 0.200000000E+01,100,30,0,1,46,1,5, 0.462000008E+02
