field,step,k,j,i,value,bits
ht,0,0,5,6, 1.218908081E+002,1123272728
ht,0,0,5,7, 1.548759308E+002,1125834813
ht,0,0,5,8, 6.394204330E+001,1115669671
ht,0,0,5,9, 4.536103085E-002,1027198077
ht,0,0,5,10, 6.925860596E+001,1116374120
ht,0,0,5,11, 1.566832123E+002,1125953255
ht,0,0,5,12, 1.171886673E+002,1122656409
ht,0,0,5,13, 1.633847046E+001,1099085104
ht,0,0,5,14, 2.155061531E+001,1101817769
ht,0,0,6,1, 1.016878510E+002,1120624686
ht,0,0,6,2, 2.379429016E+002,1131278690
ht,0,0,6,3, 1.825728455E+002,1127649958
ht,0,0,6,4, 2.749557686E+001,1104934641
ht,0,0,6,5, 3.014959145E+001,1106326109
ht,0,0,6,6, 1.861289673E+002,1127883012
ht,0,0,6,7, 2.364977417E+002,1131183980
ht,0,0,6,8, 9.764041901E+001,1120094181
ht,0,0,6,9, 6.926695257E-002,1032707029
ht,0,0,6,10, 1.057588730E+002,1121158283
ht,0,0,6,11, 2.392574921E+002,1131364843
ht,0,0,6,12, 1.789487762E+002,1127412451
ht,0,0,6,13, 2.494907761E+001,1103599542
ht,0,0,6,14, 3.290809631E+001,1107534308
ht,0,0,7,1, 9.098726654E+001,1119222139
ht,0,0,7,2, 2.129042664E+002,1129637758
ht,0,0,7,3, 1.633607635E+002,1126390875
ht,0,0,7,4, 2.460222816E+001,1103417693
ht,0,0,7,5, 2.697696114E+001,1104662737
ht,0,0,7,6, 1.665426941E+002,1126599406
ht,0,0,7,7, 2.116111603E+002,1129553013
ht,0,0,7,8, 8.736573792E+001,1118747458
ht,0,0,7,9, 6.197801232E-002,1031658664
ht,0,0,7,10, 9.462991333E+001,1119699588
ht,0,0,7,11, 2.140805054E+002,1129714844
ht,0,0,7,12, 1.601180420E+002,1126178360
ht,0,0,7,13, 2.232369423E+001,1102223085
ht,0,0,7,14, 2.944518471E+001,1105956797
ht,0,0,8,1, 4.432893372E+001,1110528212
ht,0,0,8,2, 1.037268066E+002,1120891936
ht,0,0,8,3, 7.958924866E+001,1117728178
ht,0,0,8,4, 1.198618698E+001,1094698860
ht,0,0,8,5, 1.314315796E+001,1095912032
ht,0,0,8,6, 8.113948822E+001,1117931371
ht,0,0,8,7, 1.030968018E+002,1120809360
ht,0,0,8,8, 4.256452942E+001,1110065684
ht,0,0,8,9, 3.019564040E-002,1022844121
ht,0,0,8,10, 4.610361862E+001,1110993435
ht,0,0,8,11, 1.042998657E+002,1120967048
ht,0,0,8,12, 7.800939178E+001,1117521103
ht,0,0,8,13, 1.087608719E+001,1093534836
ht,0,0,8,14, 1.434567261E+001,1097172960
ht,0,0,9,1, 4.610300064E+000,1083410324
ht,0,0,9,2, 1.078779984E+001,1093442260
ht,0,0,9,3, 8.277443886E+000,1090809961
ht,0,0,9,4, 1.246588111E+000,1067421747
ht,0,0,9,5, 1.366915107E+000,1068431123
ht,0,0,9,6, 8.438672066E+000,1090979021
ht,0,0,9,7, 1.072227859E+001,1093373556
ht,0,0,9,8, 4.426797867E+000,1083025492
ht,0,0,9,9, 3.140408546E-003,994955088
ht,0,0,9,10, 4.794871330E+000,1083797398
ht,0,0,9,11, 1.084739971E+001,1093504755
ht,0,0,9,12, 8.113136292E+000,1090637672
ht,0,0,9,13, 1.131135345E+000,1066453259
ht,0,0,9,14, 1.491979480E+000,1069480239
ht,0,0,10,1, 8.348494530E+000,1090884463
ht,0,0,10,2, 1.953493309E+001,1100760971
ht,0,0,10,3, 1.498909092E+001,1097847633
ht,0,0,10,4, 2.257365942E+000,1074821295
ht,0,0,10,5, 2.475258589E+000,1075735203
ht,0,0,10,6, 1.528104687E+001,1098153771
ht,0,0,10,7, 1.941628456E+001,1100698765
ht,0,0,10,8, 8.016203880E+000,1090536031
ht,0,0,10,9, 5.686763208E-003,1002067975
ht,0,0,10,10, 8.682723045E+000,1091234927
ht,0,0,10,11, 1.964285660E+001,1100817554
ht,0,0,10,12, 1.469155788E+001,1097535647
ht,0,0,10,13, 2.048300028E+000,1073944409
ht,0,0,10,14, 2.701729536E+000,1076685091
ht,0,0,11,1, 5.210664368E+001,1112567092
ht,0,0,11,2, 1.219261246E+002,1123277357
ht,0,0,11,3, 9.355353546E+001,1119558505
ht,0,0,11,4, 1.408921719E+001,1096904047
ht,0,0,11,5, 1.544918156E+001,1098330073
ht,0,0,11,6, 9.537576294E+001,1119797348
ht,0,0,11,7, 1.211856079E+002,1123180296
ht,0,0,11,8, 5.003266525E+001,1112023411
ht,0,0,11,9, 3.549359739E-002,1024549308
ht,0,0,11,10, 5.419270706E+001,1113113941
ht,0,0,11,11, 1.225997620E+002,1123365652
ht,0,0,11,12, 9.169648743E+001,1119315098
ht,0,0,11,13, 1.278434563E+001,1095535790
ht,0,0,11,14, 1.686268616E+001,1099359944
ht,0,0,12,1, 9.565369415E+001,1119833777
ht,0,0,12,2, 2.238233795E+002,1130353353
ht,0,0,12,3, 1.717389832E+002,1126939950
ht,0,0,12,4, 2.586399078E+001,1104079220
ht,0,0,12,5, 2.836051941E+001,1105388120
ht,0,0,12,6, 1.750840912E+002,1127159175
ht,0,0,12,7, 2.224639893E+002,1130264264
ht,0,0,12,8, 9.184642792E+001,1119334751
ht,0,0,12,9, 6.515664607E-002,1032155353
ht,0,0,12,10, 9.948316193E+001,1120335713
ht,0,0,12,11, 2.250599518E+002,1130434393
ht,0,0,12,12, 1.683299713E+002,1126716537
ht,0,0,12,13, 2.346860123E+001,1102823346
ht,0,0,12,14, 3.095533180E+001,1106748549
msfux,0,0,1,1, 1.009588480E+000,1065433650
msfux,0,0,1,2, 1.014347076E+000,1065473568
msfux,0,0,1,3, 1.017824173E+000,1065502736
msfux,0,0,1,4, 1.019708991E+000,1065518547
msfux,0,0,1,5, 1.019833326E+000,1065519590
msfux,0,0,1,6, 1.018185973E+000,1065505771
msfux,0,0,1,7, 1.014914155E+000,1065478325
msfux,0,0,1,8, 1.010310054E+000,1065439703
msfux,0,0,1,9, 1.004784942E+000,1065393355
msfux,0,0,1,10, 9.988325238E-001,1065333629
msfux,0,0,1,11, 9.929843545E-001,1065235513
msfux,0,0,1,12, 9.877628088E-001,1065147910
msfux,0,0,1,13, 9.836344719E-001,1065078648
msfux,0,0,1,14, 9.809679389E-001,1065033911
msfux,0,0,1,15, 9.800015092E-001,1065017697
msfux,0,0,2,1, 1.012884378E+000,1065461298
msfux,0,0,2,2, 1.016829371E+000,1065494391
msfux,0,0,2,3, 1.019271135E+000,1065514874
msfux,0,0,2,4, 1.019991517E+000,1065520917
msfux,0,0,2,5, 1.018926024E+000,1065511979
msfux,0,0,2,6, 1.016169906E+000,1065488859
msfux,0,0,2,7, 1.011969447E+000,1065453623
msfux,0,0,2,8, 1.006699800E+000,1065409418
msfux,0,0,2,9, 1.000831604E+000,1065360192
msfux,0,0,2,10, 9.948891997E-001,1065267471
msfux,0,0,2,11, 9.894032478E-001,1065175432
msfux,0,0,2,12, 9.848639369E-001,1065099275
msfux,0,0,2,13, 9.816766977E-001,1065045802
msfux,0,0,2,14, 9.801262021E-001,1065019789
msfux,0,0,2,15, 9.803509712E-001,1065023560
msfux,0,0,3,1, 1.015666485E+000,1065484636
