field,step,k,j,i,value,bits
up_heli_max,2,0,2,7, 0.000000000E+000,0
uh,2,0,2,8,-2.870478332E-001,-1097664529
up_heli_max,2,0,2,8, 0.000000000E+000,0
uh,2,0,2,9, 0.000000000E+000,0
up_heli_max,2,0,2,9, 0.000000000E+000,0
uh,2,0,2,10, 0.000000000E+000,0
up_heli_max,2,0,2,10, 0.000000000E+000,0
uh,2,0,2,11, 0.000000000E+000,0
up_heli_max,2,0,2,11, 0.000000000E+000,0
uh,2,0,2,12, 0.000000000E+000,0
up_heli_max,2,0,2,12, 0.000000000E+000,0
uh,2,0,2,13, 0.000000000E+000,0
up_heli_max,2,0,2,13, 0.000000000E+000,0
uh,2,0,2,14, 0.000000000E+000,0
up_heli_max,2,0,2,14, 0.000000000E+000,0
uh,2,0,3,1, 0.000000000E+000,0
up_heli_max,2,0,3,1, 0.000000000E+000,0
uh,2,0,3,2,-2.761279941E-001,-1098030938
up_heli_max,2,0,3,2, 0.000000000E+000,0
uh,2,0,3,3,-1.566805243E+000,-1077375725
up_heli_max,2,0,3,3, 0.000000000E+000,0
uh,2,0,3,4,-5.249011993E+000,-1062733848
up_heli_max,2,0,3,4, 0.000000000E+000,0
uh,2,0,3,5,-1.079353333E+001,-1054035376
up_heli_max,2,0,3,5, 0.000000000E+000,0
uh,2,0,3,6,-1.373359489E+001,-1050952498
up_heli_max,2,0,3,6, 0.000000000E+000,0
uh,2,0,3,7,-1.034601021E+001,-1054504638
up_heli_max,2,0,3,7, 0.000000000E+000,0
uh,2,0,3,8,-3.289252996E+000,-1068334305
up_heli_max,2,0,3,8, 0.000000000E+000,0
uh,2,0,3,9, 0.000000000E+000,0
up_heli_max,2,0,3,9, 0.000000000E+000,0
uh,2,0,3,10, 0.000000000E+000,0
up_heli_max,2,0,3,10, 0.000000000E+000,0
uh,2,0,3,11, 0.000000000E+000,0
up_heli_max,2,0,3,11, 0.000000000E+000,0
uh,2,0,3,12, 0.000000000E+000,0
up_heli_max,2,0,3,12, 0.000000000E+000,0
uh,2,0,3,13, 0.000000000E+000,0
up_heli_max,2,0,3,13, 0.000000000E+000,0
uh,2,0,3,14, 0.000000000E+000,0
up_heli_max,2,0,3,14, 0.000000000E+000,0
uh,2,0,4,1, 0.000000000E+000,0
up_heli_max,2,0,4,1, 0.000000000E+000,0
uh,2,0,4,2,-1.509056568E+000,-1077860156
up_heli_max,2,0,4,2, 0.000000000E+000,0
uh,2,0,4,3,-8.130249977E+000,-1056828031
up_heli_max,2,0,4,3, 0.000000000E+000,0
uh,2,0,4,4,-2.456276512E+001,-1044086645
up_heli_max,2,0,4,4, 0.000000000E+000,0
uh,2,0,4,5,-4.402973938E+001,-1037033868
up_heli_max,2,0,4,5, 0.000000000E+000,0
uh,2,0,4,6,-5.220882034E+001,-1034889771
up_heli_max,2,0,4,6, 0.000000000E+000,0
uh,2,0,4,7,-4.196523285E+001,-1037575066
up_heli_max,2,0,4,7, 0.000000000E+000,0
uh,2,0,4,8,-1.822968292E+001,-1047407004
up_heli_max,2,0,4,8, 0.000000000E+000,0
uh,2,0,4,9, 0.000000000E+000,0
up_heli_max,2,0,4,9, 0.000000000E+000,0
uh,2,0,4,10, 0.000000000E+000,0
up_heli_max,2,0,4,10, 0.000000000E+000,0
uh,2,0,4,11, 0.000000000E+000,0
up_heli_max,2,0,4,11, 0.000000000E+000,0
uh,2,0,4,12, 0.000000000E+000,0
up_heli_max,2,0,4,12, 0.000000000E+000,0
uh,2,0,4,13, 0.000000000E+000,0
up_heli_max,2,0,4,13, 0.000000000E+000,0
uh,2,0,4,14, 0.000000000E+000,0
up_heli_max,2,0,4,14, 0.000000000E+000,0
uh,2,0,5,1, 0.000000000E+000,0
up_heli_max,2,0,5,1, 0.000000000E+000,0
uh,2,0,5,2,-5.188488483E+000,-1062860775
up_heli_max,2,0,5,2, 0.000000000E+000,0
uh,2,0,5,3,-2.400489807E+001,-1044379128
up_heli_max,2,0,5,3, 0.000000000E+000,0
uh,2,0,5,4,-4.992860794E+001,-1035487515
up_heli_max,2,0,5,4, 0.000000000E+000,0
uh,2,0,5,5,-2.652136612E+001,-1043059774
up_heli_max,2,0,5,5, 8.906810760E+001,1118970591
uh,2,0,5,6, 5.432782650E+000,1085135195
up_heli_max,2,0,5,6, 1.558266907E+002,1125897122
uh,2,0,5,7,-2.392903137E+001,-1044418904
up_heli_max,2,0,5,7, 9.108335876E+001,1119234734
uh,2,0,5,8,-4.141101074E+001,-1037720352
up_heli_max,2,0,5,8, 4.021394730E+000,1082175300
uh,2,0,5,9,-2.459229946E+000,-1071815674
up_heli_max,2,0,5,9, 0.000000000E+000,0
uh,2,0,5,10, 0.000000000E+000,0
up_heli_max,2,0,5,10, 0.000000000E+000,0
uh,2,0,5,11, 0.000000000E+000,0
up_heli_max,2,0,5,11, 0.000000000E+000,0
