k,tbq
887,0.118898945E-1
888,0.119674560E-1
889,0.120454784E-1
890,0.121239861E-1
891,0.122029576E-1
892,0.122824209E-1
893,0.123623544E-1
894,0.124427611E-1
895,0.125236679E-1
896,0.126050748E-1
897,0.126869390E-1
898,0.127693349E-1
899,0.128521929E-1
900,0.129355872E-1
901,0.130194491E-1
902,0.131038297E-1
903,0.131887309E-1
904,0.132741323E-1
905,0.133600365E-1
906,0.134464707E-1
907,0.135334125E-1
908,0.136208897E-1
909,0.137088802E-1
910,0.137974126E-1
911,0.138864648E-1
912,0.139760375E-1
913,0.140661625E-1
914,0.141568398E-1
915,0.142480480E-1
916,0.143397888E-1
917,0.144320941E-1
918,0.145249646E-1
919,0.146183502E-1
920,0.147123355E-1
921,0.148068406E-1
922,0.149019528E-1
923,0.149975894E-1
924,0.150938109E-1
925,0.151906218E-1
926,0.152879953E-1
927,0.153859630E-1
928,0.154844988E-1
929,0.155836074E-1
930,0.156833194E-1
931,0.157836396E-1
932,0.158845410E-1
933,0.159860291E-1
934,0.160881300E-1
935,0.161908250E-1
936,0.162941422E-1
937,0.163980890E-1
938,0.165026039E-1
939,0.166077856E-1
940,0.167135410E-1
941,0.168199707E-1
942,0.169270113E-1
943,0.170346722E-1
944,0.171429813E-1
945,0.172519144E-1
946,0.173615087E-1
947,0.174717307E-1
948,0.175826196E-1
949,0.176941436E-1
950,0.178063400E-1
951,0.179191828E-1
952,0.180327035E-1
953,0.181468762E-1
954,0.182617363E-1
955,0.183772519E-1
956,0.184934307E-1
957,0.186103415E-1
958,0.187278837E-1
959,0.188461710E-1
960,0.189650934E-1
961,0.190847684E-1
962,0.192051269E-1
963,0.193261672E-1
964,0.194479357E-1
965,0.195703954E-1
966,0.196935907E-1
967,0.198174827E-1
968,0.199421197E-1
969,0.200674608E-1
970,0.201935526E-1
971,0.203203969E-1
972,0.204479620E-1
973,0.205762479E-1
974,0.207052995E-1
975,0.208350811E-1
976,0.209656376E-1
977,0.210969690E-1
978,0.212290436E-1
979,0.213619042E-1
980,0.214955155E-1
981,0.216298774E-1
982,0.217650812E-1
983,0.219010040E-1
984,0.220377762E-1
985,0.221752767E-1
986,0.223136321E-1
987,0.224527251E-1
988,0.225926824E-1
989,0.227334276E-1
990,0.228749625E-1
991,0.230173338E-1
992,0.231605470E-1
993,0.233045612E-1
994,0.234493818E-1
995,0.235950593E-1
996,0.237415973E-1
997,0.238889512E-1
998,0.240371730E-1
999,0.241862722E-1
1000,0.243361555E-1
1001,0.244869664E-1
1002,0.246386193E-1
1003,0.247911159E-1
1004,0.249445084E-1
1005,0.250988044E-1
1006,0.252539571E-1
1007,0.254100189E-1
1008,0.255669504E-1
1009,0.257248003E-1
1010,0.258835256E-1
1011,0.260431804E-1
1012,0.262037721E-1
1013,0.263652522E-1
1014,0.265276767E-1
1015,0.266910009E-1
1016,0.268552788E-1
1017,0.270204656E-1
1018,0.271866154E-1
1019,0.273536816E-1
1020,0.275217239E-1
1021,0.276907440E-1
1022,0.278606992E-1
1023,0.280316398E-1
1024,0.282035246E-1
