case,idx,arm,k,u,v,w,t,qv,p,pi,rho,dz8w,p8w,rthften,rqvften,rthraten,rthblten,rqvblten,rthcuten,rqvcuten,rqccuten,rqicuten,dudt_phy,dvdt_phy,gdc,gdc2
2,4,1,20, 2.0022499084472656E+001,-9.2359995841979980E-001, 1.9035639241337776E-002, 2.7374148559570312E+002, 3.0224600341171026E-003, 5.5685835937500000E+004, 8.4597134590148926E-001, 7.0749324560165405E-001, 4.2200000000000000E+002, 5.7123898437500000E+004, 1.3988749742566142E-005, 5.1910000742338980E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,21, 2.1099998474121094E+001,-1.0959999561309814E+000, 1.9605422392487526E-002, 2.7094000244140625E+002, 2.4375154171139002E-003, 5.2811117187500000E+004, 8.3325642347335815E-001, 6.7814892530441284E-001, 4.4000000000000000E+002, 5.4247777343750000E+004, 1.3449999642034527E-005, 4.7599999497549561E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,22, 2.2222499847412109E+001,-1.2755999565124512E+000, 1.9933743402361870E-002, 2.6802148437500000E+002, 1.9313857192173600E-003, 4.9944820312500000E+004, 8.2007658481597900E-001, 6.4852631092071533E-001, 4.5800000000000000E+002, 5.1374453125000000E+004, 1.2888749552075751E-005, 4.3110000014223715E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,23, 2.3389999389648438E+001,-1.4623999595642090E+000, 1.9983321428298950E-002, 2.6498599243164062E+002, 1.5406770398840308E-003, 4.7098046875000000E+004, 8.0644035339355469E-001, 6.1871427297592163E-001, 4.7600000000000000E+002, 4.8515187500000000E+004, 1.2304999472689815E-005, 3.8440002292361442E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,24, 2.4602499008178711E+001,-1.6563999652862549E+000, 1.9719045609235764E-002, 2.6183349609375000E+002, 1.2769090244546533E-003, 4.4281523437500000E+004, 7.9235666990280151E-001, 5.8881288766860962E-001, 4.9400000000000000E+002, 4.5680906250000000E+004, 1.1698750313371420E-005, 3.3589999670624593E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,25, 2.5859998703002930E+001,-1.8575999736785889E+000, 1.9109690561890602E-002, 2.5856399536132812E+002, 1.0444025974720716E-003, 4.1505546875000000E+004, 7.7783495187759399E-001, 5.5895859003067017E-001, 5.1200000000000000E+002, 4.2882140625000000E+004, 1.1069999345636461E-005, 2.8560001030797366E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,26, 2.7162500381469727E+001,-2.0659999847412109E+000, 1.8129840493202209E-002, 2.5517749023437500E+002, 8.4215274546295404E-004, 3.8779921875000000E+004, 7.6288509368896484E-001, 5.2924853563308716E-001, 5.3000000000000000E+002, 4.0128953125000000E+004, 1.0418750207463745E-005, 2.3349999711541614E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,27, 2.8510000228881836E+001,-2.2815999984741211E+000, 1.6761995851993561E-002, 2.5167399597167969E+002, 6.6870468435809016E-004, 3.6113906250000000E+004, 7.4751734733581543E-001, 4.9977794289588928E-001, 5.4800000000000000E+002, 3.7430890625000000E+004, 9.7449992608744651E-006, 1.7960000153749434E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,28, 2.9902500152587891E+001,-2.5044000148773193E+000, 1.4998755417764187E-002, 2.4805349731445312E+002, 5.2221049554646015E-004, 3.3516148437500000E+004, 7.3174256086349487E-001, 4.7063967585563660E-001, 5.6600000000000000E+002, 3.4796917968750000E+004, 9.0487501438474283E-006, 1.2389999026751752E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,29, 3.1340000152587891E+001,-2.7343997955322266E+000, 1.2845053337514400E-002, 2.4431599426269531E+002, 4.0050450479611754E-004, 3.0994664062500000E+004, 7.1557211875915527E-001, 4.4192349910736084E-001, 5.8400000000000000E+002, 3.2235380859375000E+004, 8.3299992184038274E-006, 6.6399991061061314E-010,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,30, 3.2822502136230469E+001,-2.9715998172760010E+000, 1.0320200584828854E-002, 2.4046150207519531E+002, 3.0118209542706609E-004, 2.8556759765625000E+004, 6.9901782274246216E-001, 4.1371539235115051E-001, 6.0200000000000000E+002, 2.9753947265625000E+004, 7.5887501225224696E-006, 7.0999858770015578E-011,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,31, 3.4349998474121094E+001,-3.2160000801086426E+000, 7.4597555212676525E-003, 2.3648999023437500E+002, 9.5007315394468606E-005, 2.6209017578125000E+004, 6.8209218978881836E-001, 3.8612768054008484E-001, 6.2000000000000000E+002, 2.7359572265625000E+004, 6.8249996729718987E-006,-5.4000021121325403E-010,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,32, 3.5922500610351562E+001,-3.4675998687744141E+000, 4.3168617412447929E-003, 2.3240148925781250E+002, 6.8308218033052981E-005, 2.3957253906250000E+004, 6.6480809450149536E-001, 3.5916841030120850E-001, 6.3800000000000000E+002, 2.5058462890625000E+004, 6.0387501434888691E-006,-1.1689996748387443E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,33, 3.7540000915527344E+001,-3.7263998985290527E+000, 9.6304650651291013E-004, 2.2819599914550781E+002, 4.7864643420325592E-005, 2.1806496093750000E+004, 6.4717918634414673E-001, 3.3295327425003052E-001, 6.5600000000000000E+002, 2.2856044921875000E+004, 5.2299997150839772E-006,-1.8159996839628434E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,34, 3.9202499389648438E+001,-3.9923996925354004E+000,-1.7484554915014883E-009, 2.2387350463867188E+002, 3.2603671570541337E-005, 1.9760957031250000E+004, 6.2921965122222900E-001, 3.0754929780960083E-001, 6.7400000000000000E+002, 2.0756945312500000E+004, 4.3987497519992758E-006,-2.4810005161413073E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,35, 4.0909999847412109E+001,-4.2655997276306152E+000,-1.7484554915014883E-009, 2.1943399047851562E+002, 2.1525795091292821E-005, 1.7824031250000000E+004, 6.1094439029693604E-001, 2.8301826119422913E-001, 6.9200000000000000E+002, 1.8764970703125000E+004, 3.5450004816084402E-006,-3.1640003950172968E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,36, 4.2662498474121094E+001,-4.5460000038146973E+000,-1.7484554915014883E-009, 2.1487750244140625E+002, 1.3729337297263555E-005, 1.5998275390625000E+004, 5.9236901998519897E-001, 2.5941595435142517E-001, 7.1000000000000000E+002, 1.6883093750000000E+004, 2.6687503122957423E-006,-3.8649998757023241E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,37, 4.4459999084472656E+001,-4.8336000442504883E+000,-1.7484554915014883E-009, 2.1020399475097656E+002, 8.4271205196273513E-006, 1.4285414062500000E+004, 5.7350975275039673E-001, 2.3679240047931671E-001, 7.2800000000000000E+002, 1.5113457031250000E+004, 1.7700003809295595E-006,-4.5840002904640187E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,4,1,38, 4.6302497863769531E+001,-5.1283998489379883E+000,-1.7484554915014883E-009, 2.0750000000000000E+002, 6.6012785282509867E-006, 1.2693641601562500E+004, 5.5447477102279663E-001, 2.1314957737922668E-001, 7.4600000000000000E+002, 1.3457370117187500E+004, 8.4874983485860866E-007,-5.3209996409009364E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
