case,idx,arm,ndiff_words_vs_gfdrv,ktop_direct,ktop_driver,xmbs_direct,xmbs_driver,ierr_direct
13,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,6,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,6,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,6,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,6,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,6,1,102,28,28, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,6,1,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,6,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,6,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,6,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,6,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,6,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
