case,idx,arm,k,zo,po,t2d,q2d,tn,qo,tshall,qshall,dhdt,us,vs,rhoi,omeg_in,zu,zd,cnvwt,cupclw,outt,outq,outqc,outu,outv,zus,cnvwts,cupclws,outts,outqs,outqcs,q2d_after,qo_after,omeg_after
5,4,1,5, 5.1400000000000000E+002, 9.5560278320312500E+002, 2.9372399902343750E+002, 1.1715654283761978E-002, 2.9372454833984375E+002, 1.1716344393789768E-002, 2.9372430419921875E+002, 1.1715774424374104E-002, 9.9582467228174210E-003, 5.7560000419616699E+000, 7.9839998483657837E-001, 1.1255463361740112E+000,-2.9043727554380894E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1715654283761978E-002, 1.1716344393789768E-002,-2.9043727554380894E-003
5,4,1,6, 6.7500000000000000E+002, 9.3818670654296875E+002, 2.9267749023437500E+002, 1.1046852916479111E-002, 2.9267803955078125E+002, 1.1047532781958580E-002, 2.9267779541015625E+002, 1.1046973057091236E-002, 9.9322581663727760E-003, 5.9974999427795410E+000, 7.3399996757507324E-001, 1.1094337701797485E+000,-3.7691744510084391E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1046852916479111E-002, 1.1047532781958580E-002,-3.7691744510084391E-003
5,4,1,7, 8.5400000000000000E+002, 9.1912481689453125E+002, 2.9151400756835938E+002, 1.0341525077819824E-002, 2.9151452636718750E+002, 1.0342194698750973E-002, 2.9151431274414062E+002, 1.0341645218431950E-002, 9.9034160375595093E-003, 6.2659997940063477E+000, 6.6240000724792480E-001, 1.0916969776153564E+000,-4.6927151270210743E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0341525077819824E-002, 1.0342194698750973E-002,-4.6927151270210743E-003
5,4,1,8, 1.0510000000000000E+003, 8.9850823974609375E+002, 2.9023348999023438E+002, 9.6096992492675781E-003, 2.9023400878906250E+002, 9.6103567630052567E-003, 2.9023379516601562E+002, 9.6098193898797035E-003, 9.8717361688613892E-003, 6.5615000724792480E+000, 5.8360004425048828E-001, 1.0723938941955566E+000,-5.6615434587001801E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6096992492675781E-003, 9.6103567630052567E-003,-5.6615434587001801E-003
5,4,1,9, 1.2660000000000000E+003, 8.7643511962890625E+002, 2.8883599853515625E+002, 8.8615436106920242E-003, 2.8883618164062500E+002, 8.8620679453015327E-003, 2.8883599853515625E+002, 8.8615436106920242E-003, 0.0000000000000000E+000, 6.8839998245239258E+000, 4.9760001897811890E-001, 1.0515872240066528E+000,-6.6603906452655792E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8615436106920242E-003, 8.8620679453015327E-003,-6.6603906452655792E-003
5,4,1,10, 1.4990000000000000E+003, 8.5300982666015625E+002, 2.8732150268554688E+002, 8.1070326268672943E-003, 2.8732168579101562E+002, 8.1075429916381836E-003, 2.8732150268554688E+002, 8.1070326268672943E-003, 0.0000000000000000E+000, 7.2335000038146973E+000, 4.0439999103546143E-001, 1.0293464660644531E+000,-7.6722046360373497E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1070326268672943E-003, 8.1075429916381836E-003,-7.6722046360373497E-003
5,4,1,11, 1.7500000000000000E+003, 8.2834222412109375E+002, 2.8569000244140625E+002, 7.3558231815695763E-003, 2.8569015502929688E+002, 7.3563186451792717E-003, 2.8569000244140625E+002, 7.3558231815695763E-003, 0.0000000000000000E+000, 7.6100001335144043E+000, 3.0400002002716064E-001, 1.0057464838027954E+000,-8.6782444268465042E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.3558231815695763E-003, 7.3563186451792717E-003,-8.6782444268465042E-003
5,4,1,12, 2.0190000000000000E+003, 8.0254748535156250E+002, 2.8394149780273438E+002, 6.6170478239655495E-003, 2.8394165039062500E+002, 6.6175274550914764E-003, 2.8394149780273438E+002, 6.6170478239655495E-003, 0.0000000000000000E+000, 8.0135002136230469E+000, 1.9640004634857178E-001, 9.8086792230606079E-001,-9.6582574769854546E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.6170478239655495E-003, 6.6175274550914764E-003,-9.6582574769854546E-003
5,4,1,13, 2.3060000000000000E+003, 7.7574481201171875E+002, 2.8207598876953125E+002, 5.8991387486457825E-003, 2.8207611083984375E+002, 5.8996011503040791E-003, 2.8207598876953125E+002, 5.8991387486457825E-003, 0.0000000000000000E+000, 8.4440002441406250E+000, 8.1600010395050049E-002, 9.5479667186737061E-001,-1.0590760968625546E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.8991387486457825E-003, 5.8996011503040791E-003,-1.0590760968625546E-002
5,4,1,14, 2.6110000000000000E+003, 7.4805688476562500E+002, 2.8009350585937500E+002, 5.2096922881901264E-003, 2.8009359741210938E+002, 5.2101360633969307E-003, 2.8009350585937500E+002, 5.2096922881901264E-003, 0.0000000000000000E+000, 8.9014997482299805E+000,-4.0400028228759766E-002, 9.2762345075607300E-001,-1.1453403159976006E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.2096922881901264E-003, 5.2101360633969307E-003,-1.1453403159976006E-002
5,4,1,15, 2.9340000000000000E+003, 7.1960925292968750E+002, 2.7799398803710938E+002, 4.5552919618785381E-003, 2.7799404907226562E+002, 4.5557166449725628E-003, 2.7799398803710938E+002, 4.5552919618785381E-003, 0.0000000000000000E+000, 9.3859996795654297E+000,-1.6960000991821289E-001, 8.9944440126419067E-001,-1.2223475612699986E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5552919618785381E-003, 4.5557166449725628E-003,-1.2223475612699986E-002
5,4,1,16, 3.2750000000000000E+003, 6.9052954101562500E+002, 2.7577749633789062E+002, 3.9414847269654274E-003, 2.7577755737304688E+002, 3.9418889209628105E-003, 2.7577749633789062E+002, 3.9414847269654274E-003, 0.0000000000000000E+000, 9.8975000381469727E+000,-3.0599999427795410E-001, 8.7035936117172241E-001,-1.2878473848104477E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9414847269654274E-003, 3.9418889209628105E-003,-1.2878473848104477E-002
5,4,1,17, 3.6340000000000000E+003, 6.6094610595703125E+002, 2.7344400024414062E+002, 3.3726366236805916E-003, 2.7344403076171875E+002, 3.3730191644281149E-003, 2.7344400024414062E+002, 3.3726366236805916E-003, 0.0000000000000000E+000, 1.0435999870300293E+001,-4.4959998130798340E-001, 8.4047186374664307E-001,-1.3396798633038998E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3726366236805916E-003, 3.3730191644281149E-003,-1.3396798633038998E-002
