i,zet,phim,phih
245,-7.8000001907348633E+000, 2.3004430532455444E-001, 1.5850114822387695E-001
246,-7.7500000000000000E+000, 2.3051303625106812E-001, 1.5885615348815918E-001
247,-7.6999998092651367E+000, 2.3098474740982056E-001, 1.5921276807785034E-001
248,-7.6499996185302734E+000, 2.3146146535873413E-001, 1.5957421064376831E-001
249,-7.6000003814697266E+000, 2.3194098472595215E-001, 1.5993875265121460E-001
250,-7.5500001907348633E+000, 2.3242682218551636E-001, 1.6030561923980713E-001
251,-7.5000000000000000E+000, 2.3291552066802979E-001, 1.6067647933959961E-001
252,-7.4499998092651367E+000, 2.3340815305709839E-001, 1.6104990243911743E-001
253,-7.3999996185302734E+000, 2.3390543460845947E-001, 1.6142678260803223E-001
254,-7.3500003814697266E+000, 2.3440635204315186E-001, 1.6180711984634399E-001
255,-7.3000001907348633E+000, 2.3491263389587402E-001, 1.6219121217727661E-001
256,-7.2500000000000000E+000, 2.3542332649230957E-001, 1.6257852315902710E-001
257,-7.1999998092651367E+000, 2.3593825101852417E-001, 1.6297054290771484E-001
258,-7.1499996185302734E+000, 2.3645746707916260E-001, 1.6336494684219360E-001
259,-7.1000003814697266E+000, 2.3698174953460693E-001, 1.6376298666000366E-001
260,-7.0500001907348633E+000, 2.3751091957092285E-001, 1.6416406631469727E-001
261,-7.0000000000000000E+000, 2.3804539442062378E-001, 1.6457033157348633E-001
262,-6.9499998092651367E+000, 2.3858404159545898E-001, 1.6498053073883057E-001
263,-6.8999996185302734E+000, 2.3912823200225830E-001, 1.6539496183395386E-001
264,-6.8500003814697266E+000, 2.3967730998992920E-001, 1.6581243276596069E-001
265,-6.8000001907348633E+000, 2.4023246765136719E-001, 1.6623270511627197E-001
266,-6.7500000000000000E+000, 2.4079191684722900E-001, 1.6665911674499512E-001
267,-6.6999998092651367E+000, 2.4135708808898926E-001, 1.6708898544311523E-001
268,-6.6499996185302734E+000, 2.4192762374877930E-001, 1.6752290725708008E-001
269,-6.6000003814697266E+000, 2.4250340461730957E-001, 1.6796100139617920E-001
270,-6.5500001907348633E+000, 2.4308550357818604E-001, 1.6840350627899170E-001
271,-6.5000000000000000E+000, 2.4367350339889526E-001, 1.6885066032409668E-001
272,-6.4499998092651367E+000, 2.4426674842834473E-001, 1.6930133104324341E-001
273,-6.3999996185302734E+000, 2.4486625194549561E-001, 1.6975790262222290E-001
274,-6.3500003814697266E+000, 2.4547207355499268E-001, 1.7022001743316650E-001
275,-6.3000001907348633E+000, 2.4608439207077026E-001, 1.7068475484848022E-001
276,-6.2500000000000000E+000, 2.4670231342315674E-001, 1.7115497589111328E-001
277,-6.1999998092651367E+000, 2.4732702970504761E-001, 1.7162978649139404E-001
278,-6.1499996185302734E+000, 2.4795931577682495E-001, 1.7211079597473145E-001
279,-6.1000003814697266E+000, 2.4859702587127686E-001, 1.7259651422500610E-001
280,-6.0500001907348633E+000, 2.4924129247665405E-001, 1.7308664321899414E-001
281,-6.0000000000000000E+000, 2.4989378452301025E-001, 1.7358207702636719E-001
282,-5.9499998092651367E+000, 2.5055223703384399E-001, 1.7408174276351929E-001
283,-5.8999996185302734E+000, 2.5121963024139404E-001, 1.7458879947662354E-001
284,-5.8500003814697266E+000, 2.5189334154129028E-001, 1.7510026693344116E-001
285,-5.8000001907348633E+000, 2.5257498025894165E-001, 1.7561751604080200E-001
286,-5.7500000000000000E+000, 2.5326395034790039E-001, 1.7614054679870605E-001
287,-5.6999998092651367E+000, 2.5396126508712769E-001, 1.7666929960250854E-001
288,-5.6499996185302734E+000, 2.5466662645339966E-001, 1.7720538377761841E-001
289,-5.6000003814697266E+000, 2.5538009405136108E-001, 1.7774611711502075E-001
290,-5.5500001907348633E+000, 2.5610280036926270E-001, 1.7829233407974243E-001
291,-5.5000000000000000E+000, 2.5683259963989258E-001, 1.7884552478790283E-001
292,-5.4499998092651367E+000, 2.5757223367691040E-001, 1.7940437793731689E-001
293,-5.3999996185302734E+000, 2.5832056999206543E-001, 1.7996895313262939E-001
294,-5.3500003814697266E+000, 2.5907766819000244E-001, 1.8054115772247314E-001
295,-5.3000001907348633E+000, 2.5984495878219604E-001, 1.8112152814865112E-001
296,-5.2500000000000000E+000, 2.6062256097793579E-001, 1.8170583248138428E-001
297,-5.1999998092651367E+000, 2.6140838861465454E-001, 1.8229854106903076E-001
298,-5.1499996185302734E+000, 2.6220554113388062E-001, 1.8289768695831299E-001
299,-5.1000003814697266E+000, 2.6301306486129761E-001, 1.8350464105606079E-001
300,-5.0500001907348633E+000, 2.6382982730865479E-001, 1.8411743640899658E-001
301,-5.0000000000000000E+000, 2.6465898752212524E-001, 1.8473839759826660E-001
302,-4.9499998092651367E+000, 2.6549845933914185E-001, 1.8536806106567383E-001
303,-4.8999996185302734E+000, 2.6635009050369263E-001, 1.8600422143936157E-001
304,-4.8500003814697266E+000, 2.6721304655075073E-001, 1.8664830923080444E-001
305,-4.8000001907348633E+000, 2.6808822154998779E-001, 1.8730062246322632E-001
306,-4.7500000000000000E+000, 2.6897460222244263E-001, 1.8796002864837646E-001
307,-4.6999998092651367E+000, 2.6987451314926147E-001, 1.8862807750701904E-001
308,-4.6499996185302734E+000, 2.7078789472579956E-001, 1.8930572271347046E-001
309,-4.6000003814697266E+000, 2.7171498537063599E-001, 1.8998974561691284E-001
310,-4.5500001907348633E+000, 2.7265536785125732E-001, 1.9068372249603271E-001
311,-4.5000000000000000E+000, 2.7360975742340088E-001, 1.9138693809509277E-001
312,-4.4499998092651367E+000, 2.7457791566848755E-001, 1.9209820032119751E-001
313,-4.3999996185302734E+000, 2.7556198835372925E-001, 1.9281911849975586E-001
314,-4.3500003814697266E+000, 2.7656096220016479E-001, 1.9354879856109619E-001
315,-4.3000001907348633E+000, 2.7757620811462402E-001, 1.9428765773773193E-001
316,-4.2500000000000000E+000, 2.7860820293426514E-001, 1.9503545761108398E-001
317,-4.1999998092651367E+000, 2.7965611219406128E-001, 1.9579535722732544E-001
318,-4.1499996185302734E+000, 2.8072184324264526E-001, 1.9656330347061157E-001
319,-4.1000003814697266E+000, 2.8180611133575439E-001, 1.9734185934066772E-001
320,-4.0500001907348633E+000, 2.8290742635726929E-001, 1.9813054800033569E-001
321,-4.0000000000000000E+000, 2.8402972221374512E-001, 1.9892978668212891E-001
322,-3.9500007629394531E+000, 2.8517043590545654E-001, 1.9973975419998169E-001
323,-3.8999996185302734E+000, 2.8633201122283936E-001, 2.0056033134460449E-001
324,-3.8500003814697266E+000, 2.8751403093338013E-001, 2.0139116048812866E-001
325,-3.7999992370605469E+000, 2.8871846199035645E-001, 2.0223283767700195E-001
326,-3.7500000000000000E+000, 2.8994596004486084E-001, 2.0308798551559448E-001
327,-3.7000007629394531E+000, 2.9119557142257690E-001, 2.0395189523696899E-001
328,-3.6499996185302734E+000, 2.9247027635574341E-001, 2.0482766628265381E-001
329,-3.6000003814697266E+000, 2.9377019405364990E-001, 2.0571541786193848E-001
330,-3.5499992370605469E+000, 2.9509651660919189E-001, 2.0661574602127075E-001
331,-3.5000000000000000E+000, 2.9644876718521118E-001, 2.0752733945846558E-001
332,-3.4500007629394531E+000, 2.9783052206039429E-001, 2.0845162868499756E-001
333,-3.3999996185302734E+000, 2.9924106597900391E-001, 2.0938754081726074E-001
334,-3.3500003814697266E+000, 3.0068218708038330E-001, 2.1033459901809692E-001
335,-3.2999992370605469E+000, 3.0215543508529663E-001, 2.1129560470581055E-001
336,-3.2500000000000000E+000, 3.0366164445877075E-001, 2.1226918697357178E-001
337,-3.2000007629394531E+000, 3.0520081520080566E-001, 2.1325397491455078E-001
338,-3.1499996185302734E+000, 3.0677771568298340E-001, 2.1425259113311768E-001
339,-3.1000003814697266E+000, 3.0839121341705322E-001, 2.1526342630386353E-001
340,-3.0499992370605469E+000, 3.1004476547241211E-001, 2.1628665924072266E-001
